http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Ikaria (Regionalbezirk),312911955
卡爾季察州,2784238783
Unidad periférica de Karditsa,2717142070
أتيكا الشرقية,1434268009
Achaea,3348257517
غرب أثينا,66873719
Atenas Septentrional,150515015
Beocia,3022171833
Kos (regional unit),303107118
Heraclião (unidade regional),2761061569
Argolide (unità periferica),2174127500
Maiao,8925448
Pieria (unità periferica),1529217065
Corfu (regional unit),643409103
وسط أثينا,89079476
Arcádia (Grécia),5063705868
Unidad periférica de Evros,4258663583
阿哈伊亞州,3155981326
カリムノス県,434652859
Argolis,1948988691
Naxos (district régional),675266463
Thesprotia,1543386448
Nationaal park Kluane,22368198971
Milos (Regionalbezirk),357795147
ماياو,9044320
Trikala (regional unit),3331402906
Kalymnos (regional unit),411717761
Salonicco (unità periferica),3724664496
Jednostka regionalna Ateny-Sektor Centralny,93029797
Béotie,2962379515
Federaal District (Brazilië),6370542875
茲拉馬州,3892352561
Ioannina (departement),5396712302
Arcadie,4114185546
Салоники (ном),3305551905
Distrito Federal (Brasil),5883587660
Jednostka regionalna Kos,369159853
派拉州,2231011965
Unidad periférica de Léucade,336638417
كورينثيا,2392318187
Korinthia,2371171053
Nomos Janina,5398591293
Ikaria (regional unit),282101454
Jednostka regionalna Attyka Wschodnia,1425109610
Trikala (Regionalbezirk),3613581287
Euritania,1921232116
Arta (Regionalbezirk),1709678926
テスプロティア県,1491764557
ヨアニナ県,5392577264
Jednostka regionalna Eubea,4395850667
Xanthi (Regionalbezirk),1603502144
Parc national et réserve de parc national de Kluane,20593475137
Réthymnon (district régional),1322239679
テッサロニキ県,3595879120
Jednostka regionalna Ateny-Sektor Zachodni,68105703
