http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Level Up (TV series),33
Verhekst!,86
According to Jim,165
Once Upon a Time... Life,28
La llaman Mariamor,189
Ironside,207
Филантроп (телесериал),8
"Amor en custodia (série télévisée, 2005)",224
The Georgian House,7
Beethoven Virus,19
Married to the Kellys,22
Shark Tank,156
10 Things I Hate About You (série télévisée),22
Cugino & cugino,13
Джеронимо Стилтон (мультсериал),73
Level Up,37
Due poliziotti a Palm Beach,178
蝙蝠俠智勇悍將,59
The Family (1974 TV series),12
Time Team America,9
Kocham cię na zabój (telenowela),118
Akai Ito (TV series),11
Kim Possible,86
Epic Rap Battles of History,60
Random! Cartoons,14
Sanctuary (TV series),56
Quantum Leap,96
蒙提·派森的飛行馬戲團,45
Perfect Strangers (miniseries),3
Sugat ng Kahapon,1
L'Aventure des premiers hommes,5
Симпсоны,626
歷史零時差,17
X-Or,46
Avatar: The Last Airbender,62
係咪小兒科 (中國大陸),155
Donna,6
Romance Zero,17
Madventures,45
Are You Smarter than a 5th Grader? (Chinese game show),24
"Raffles, ladro gentiluomo",13
Little Clowns of Happytown,18
État d'alerte,6
Bouli de sneeuwpop,125
雷霆第一關,31
Alphas,23
Panday Kids,67
Tales of Mystery,28
General Hospital: Night Shift,27
A to Z (電視劇),14
Doctor in Charge,40
Twice in a Lifetime (TV series),45
In casa Lawrence,76
Capitan Onedin,87
Tak to leciało!,122
Springhill (TV series),56
The Battle Among the Clans,27
Rebelde (telenovela brasiliana),422
Quinceañera (telenovela),91
Anita (telenowela),146
الملكة البيضاء,10
Сестра Джеки,83
The Super Mario Bros. Super Show!,61
Festival de la Canción de Intervisión,5
The Chamber (game show),6
Brothers and Sisters (1979 TV series),12
مغامرات تان تان (رسوم متحركة),39
Nikki (televisieserie),40
Amor sin maquillaje,23
Los hermanos Venture,81
一生為奴,38
Out of Tune (TV series),40
10 Things I Hate About You (TV series),19
Due onesti fuorilegge,47
Anandham,1274
Jane the Virgin,46
General Hospital: Night Shift,26
PitchMen,18
The Paper Chase (TV series),61
Delfy y sus amigos,91
WWE Raw,1236
Truth Be Told (TV series),11
The Super Hero Squad Show,59
水戸黄門 (パナソニック ドラマシアター),1222
High Society (2015 TV series),16
Miss Naked Beauty,6
Triangle (電視劇),27
Snake 'n' Bacon,1
Charlie's Angels,99
キャットドッグ,66
Le fantastiche avventure dell'astronave Orion,7
Fuoriclasse,8
تومي وأوسكار,52
Porta a Porta,1551
Past Life,7
Arystokraci (serial telewizyjny),6
大俠霍元甲,19
Xena: la princesa guerrera,123
Danny Fantôme,47
Blonde Charity Mafia,6
Some Mothers Do 'Ave 'Em,24
The Lucy Kennedy Show,5
Can't Lose,17
Hunted,8
The Venture Bros.,4
Calvin e o Coronel,27
Festival Intervisão da Canção,5
俄羅斯輪盤 (電視節目),125
Booker (TV series),24
ECW (WWE),197
D.U.I. (TV series),11
Paw Paws,20
Verbotene Liebe,5264
Власть в ночном городе,30
Scream Queens (programma televisivo),15
G.I. Joe: Renegades,24
Eva und Adam (Fernsehserie),15
Carrusel de las Américas,119
W ostatniej chwili (serial telewizyjny 2000),12
Жизнь с Луи,41
Timmy Time,85
Danny Phantom,51
Love Court,19
Nos vies secrètes,75
Public Atorni: Asunto o Areglo,150
The Electric Company (2009 TV series),45
Poor Prince,49
The Secret Saturdays,37
Genesis (Fernsehserie),50
The Real World: Miami,21
Believe (série télévisée),12
وقت المغامرة,248
"The Game (série télévisée, 2006)",151
Tabaluga,75
Notorious Woman,7
The Lair,25
Golan the Insatiable,12
Die Abenteuer der Bremer Stadtmusikanten,27
Wallace and Gromit,1
New York Goes to Work,9
Boys Over Flowers (TV series),26
以一敵百 (中國大陸),36
Cosmic Odyssey (documentary),9
Beauty and the Geek Australia,53
暗警,22
S Club 7 Go Wild!,7
Corner the Con Man,19
The Family (Fernsehserie),12
Prawo i bezprawie,12
Corazón partido,82
料理の鉄人,13
Childrens Hospital,81
ربيع الطفولة,13
Safe House (Fernsehserie),8
Everybody Hapi,89
Sesame Street,4433
My Secret Identity,77
Paris Hilton's British Best Friend,8
Dark Shadows (serial telewizyjny 1966),1155
Totally Tracked Down,12
Fifi and the Flowertots,115
Patton 360°,11
The Black Donnellys,12
Clueless (serie de televisión),61
Killin' N Grillin',19
Ben 10: Ultimate Alien,51
Built to Last (TV series),8
Big (série de televisão),16
True Life,322
Nosal i Skrob,18
ウルトラギャラクシー大怪獣バトル NEVER ENDING ODYSSEY,13
Whitechapel (televisieserie),19
N1ckola,107
Graceland (serie de televisión),35
A Chip Off the Old Block,19
Héroes (serie de televisión),74
Calvin i pułkownik,26
فريق البطل: 108,106
Pyaar Kii Ye Ek Kahaani,291
A Gifted Man,15
La dottoressa Giò,12
Damon Runyon Theater,37
The Player,9
Running in Heels,8
The Strip (NZ TV series),41
The Word (TV series),105
Spenser (film series),3
異常犯罪捜査班S.F.P.D.,13
Wheeler Dealers : Occasions à saisir,149
Colonel Bleep,95
Bad Family (TV series),15
حدث ذات يوم كوكب الأرض,26
Star Magic Presents,97
Brothers & Sisters,119
Murder Prevention,6
Es war einmal … das Leben,23
ゼフロンクの楽しいキッチン,20
"Les Nouvelles Aventures de Zorro (série d'animation, 1981)",13
Stars on Trial,8
1911 Revolution (TV series),40
The Walking Dead (serie de televisión),86
Centennial International,4
冒險王奇克,112
Born Diva,15
Mrs. Brown's Boys,29
Beast Wars: Transformers,58
Weird-Oh's,13
刑事ハンター,169
48 часов (телесериал),1100
Gawayn,103
Chuck (serie televisiva),87
Keep It in the Family (TV series),33
StarStruck (season 4),82
Londyńczycy,31
"Archie, mystères et compagnie",37
奥特曼列传,146
Talang 2009,12
夜班医生,37
The Garfield Show,106
Who Do You Think You Are?,60
Family Dog (TV series),9
Trust Me (Fernsehserie),13
Moja piękna grubaska,181
Conviction,12
The Game (televisieserie),153
Belinda (telenovela),117
"Go, Diego, Go",81
Agathe kann’s nicht lassen,5
Life (televisieserie),32
"Pueblo chico, infierno grande (telenovela)",139
名探偵の掟,10
Catalina y Sebastián,111
Arrivano i Rossi,38
Getting On (UK TV series),14
Justice (2011 TV series),5
Parks and Recreation,117
Line of Fire,14
Floricienta,388
Small Potatoes (1999 TV series),12
Samantha oups!,297
Chansons (TV series),13
The Adventures of Super Mario Bros. 3,24
Vier gegen Z,40
Sons and Daughters (1991 TV series),14
غريفز (مسلسل),1
不滅的李舜臣,102
إمباكت ريسلنغ,665
Z Cars,819
Bouli de sneeuwpop,39
The Rousters,12
I ragazzi di padre Tobia,14
Topmodel (Belgium cycle 1),10
學警狙擊,31
My Kind of Music,50
Pavitra Rishta,1393
Dreams (TV series),12
Huntik: Łowcy tajemnic,56
Duckman,70
Godzilla: The Series,43
Beauty Queen (TV series),83
Le stagioni del cuore (serie televisiva),13
Twin Peaks,28
Monster Moves,32
El último escándalo de mi vida,17
リング・オブ・オナー・レスリング,268
Yam Roll,44
All My Life (TV series),62
Wolverine y los X-Men,24
No Signal!,9
The Muppet Show,124
Towards the Republic,59
K 2000 (série télévisée),87
Viza za budućnost,199
Heartland (Canadian TV series),164
I Simpson,546
Dilbert (serie),28
I delitti del cuoco,10
Nonni and Manni,6
La que no podía amar,165
The Powerpuff Girls,79
Les Maîtres de l'horreur,25
Animali meccanici,39
Hot Pursuit (TV series),56
Animals Do the Funniest Things,28
American Idol Extra,45
The Shapies,29
Shagun,698
الحدائق والمنتزهات (مسلسل),120
Łowca krokodyli (program popularnonaukowy),56
Adventure Inc.,21
Boy Meets Girl (2015 TV series),13
Scrubs: Interns,12
Twin Peaks,30
معجب عجيب (برنامج تلفزيوني),1026
Il bello delle donne,37
فيفي والزهرات الصغيرات,109
超人力霸王銀河S,15
Casa Cecilia,20
Fame L.A.,22
Młode lwy (serial telewizyjny),24
The Bubble (game show),6
Es war einmal … die Entdeckung unserer Welt,27
Timmy Time,89
Un passo dal cielo,50
Don Fumino,25
Rookie Blue,66
Conan (série télévisée),23
Creative Persons,13
Wallace & Gromit,6
Tool Academy (U.S. TV series),26
Eyewitness (1994 TV series),37
My Ghost Story,76
Muchacha de barrio,219
Crime Busters x 2,20
How the Earth Was Made,27
Gawayn,109
A Third Testament,6
Brotherhood (televisieserie),28
The Six Million Dollar Man,111
Und täglich grüßt das Erdmännchen,55
Leap of Faith (TV series),6
Kim Kolwiek,77
Chousei Kantai Sazer-X,35
Designing Women,154
زينا: الأميرة المحاربة,124
The Stones (TV series),9
'Til Death,82
Dr. House,166
Rahe Bipayan,26
Miami Medical,13
Straight Up (TV series),14
Wij Alexander,8
Generations (South African TV series),166
The City,34
Vikings (TV documentary series),3
The Philanthropist (TV series),8
