http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Stayton High School,706
"Carrollton High School (Carrollton, Georgia)",1357
布拉格捷克理工大学,23758
"St. Xavier's School, Godavari",926
"Abraham Lincoln High School (Des Moines, Iowa)",2269
Coleg Meirion-Dwyfor,23150
Cleveland Institute of Music,448
North Hall High School,1092
Мессинский университет,22292
Georgia Institute of Technology,26625
Universität Ryūkyū,7937
"Riverside Junior/Senior High School (Boardman, Oregon)",427
Aysgarth School,166
East Central College,2939
Our Lady of Perpetual Help School,380
Kühne Logistics University,191
Bethel Park School District,4982
Kirkcaldy High School,1000
University of Nottingham,47826
"University of Applied Sciences, Mainz",4937
Belarusian State Medical University,5607
جامعة ريدجو كالابريا المتوسطية,10
Università Araba di Beirut,14259
Tomken Road Middle School,1331
John Leland Center for Theological Studies,49
Dover High School (New Jersey),807
"Ursuline High School, Wimbledon",1327
Oriel High School,1292
Llantarnam School,1266
Cégep de La Pocatière,1860
Harper School (Oregon),98
Clay-Chalkville High School,1277
Freeport High School (Maine),553
Central York School District,5719
Trion City School District,1303
Wetherby School,255
Justin-Siena High School,640
Nipomo High School,1321
Католический университет Лилля,26116
大葉大學,11536
"St Dunstan's School, Glastonbury",577
Bradley Stoke Community School,1155
Université des Indes occidentales,37481
Stockholm University,72731
达喀尔大学,56963
Collegium Civitas,2220
George Mason-universiteit,36668
John Stark Regional High School,656
Universidade de Simon Fraser,36963
Universiteit van Ghana,41123
"Colerain High School (Cincinnati, Ohio)",2073
Hoover High School (Alabama),2963
Aldine High School,2543
Dollar Bay High School,328
The International School of Penang (Uplands),584
Universiteit van Molise,7291
Warminster School,605
Oberoi International School,1588
John G. Diefenbaker High School,1384
Piedmont College,2221
Cleeve Park School,1071
Utrecht University School of Economics,995
"Friends' School, Lisburn",947
University of Swaziland,5958
Geneseo High School,759
Université de commerce international et d'économie de Shanghai,10663
North Oconee High School,1037
Smith-Cotton High School,965
カルダス大学,12
College of Southern Maryland,26108
Université Alexandru Ioan Cuza de Iași,23674
University of Modena and Reggio Emilia,19791
Truro School,1110
Universität Reggio Calabria,10
Universidade Federal Rural do Rio de Janeiro,12507
"Dunbar High School (Dayton, Ohio)",571
陳瑞祺（喇沙）書院,1084
Pasco High School,1658
High School for Recording Arts,206
Grenoble Institute of Political Studies,2031
"El Dorado High School (Placerville, California)",1109
Università degli Studi di Cagliari,28972
Pontotoc High School,785
Vale High School,321
Universiteit van Silezië,38820
Parthenope University of Naples,13987
McGuffey High School,957
