http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
珀澤申群島,0
Ometepe,29514
El Hierro,9568
Woodlark,1788
جزيرة مايناو,191
Mili (Islas Marshall),930
جزيرة ألكسندر,0
Hayling Island,16428
Pašman (île),2805
Vanna (Troms),901
Anholt (Insel),152
Ruhnu,91
Abemama,3531
Príncipe,5212
Isla de Astove,2
Bøving Island,0
Distretto delle Nicobare,39284
مون (الدنمارك),9892
Sal (Cap-Vert),37416
Kvitøya,0
Écréhous,0
Bonaire,15778
Хоккайдо,5093364
Осмуссаар,4
Маупихаа,10
Baltrum,450
Ilhéu das Rolas,176
Märket,0
Île Chuginadak,0
Isla Vasilievski,219743
Saipan,46485
Ash Point,0
聖靈群島,1615
叙尔特岛,19816
Канарские острова,2064915
Vis (île),3585
Nepean Island,0
Géographie de Nauru,9710
Dionysades,0
Atoll Farquhar,20
Inishbofin (Galway),152
جزيرة أديلايد,95
Sorgu,0
Isola Baranof,7546
Pakin,85
Сицилия,5244934
Kiawah Island,1449
瓦恩島,1049
Лифу,10731
سيروس,21734
Märket,0
ثاسوس,13032
Ryūkyū,1681272
Сен-Франсуа (атолл),0
Île Platte,3
Isla Grande de Chiloé,159037
فانجر أوخه,880
バヌアレブ島,135922
馬卡泰阿島,60
Niulakita,26
Arquipélago Ártico Canadiano,14793
尼亞斯島,780404
Omey Island,1
Artemis (island),0
博罗伊岛,4659
Antwerpeneiland,46
Kure Atoll,0
Éfaté,69498
Île de la Gonâve,81670
テルセイラ島,56512
Lazaretta,0
パグ島,10280
Guadalupe (wyspa),211
聖約瑟夫島,1696
Île de la Gonâve,75845
Kish Island,21001
Epi,4983
Flinders Island,737
Susak,158
雷岛,18678
Ostriw Zmijinyj,98
Элафониси,0
Izenajima,1725
Wiencke-Insel,0
Исабела (остров),1808
Reao,348
Inis Oírr,226
春牟古丹島,0
Ilha de Marajó,242520
Políegos,0
Nieuw-Ierland,133312
São Nicolau (Kaapverdië),13647
Ventotene,654
Сандвип,347923
Tuần Châu,1473
Aukena,42
Isole Cíes,3
Keppeleiland,0
阿納環礁,453
伊尼什特克島,62
Vanua Levu,127064
Thurø,3306
Sark,559
Insel Hiddensee,1034
Mangole,33189
Coëtivy,235
リトルダイオミード島,107
Ilha Keppel,0
Čiovo,6005
Йонагуни (остров),1673
Motiti Island,28
安蒂波德斯群岛,0
Isla Clarence (Antártida),0
Terra do Fogo,139438
Autonome Region Madeira,280390
Sporades,14181
Buton,442995
La Palma,76946
Norderney,5671
Hisingen,138179
Marathos Island,5
Sejerø,448
Viðoy,619
Roque del Este,0
Pašman,2864
Socotra,39311
Coron (île),2347
Jost Van Dyke,307
Socotra,44317
Vega Island,0
Aunu'u,419
Mykonos,9258
Jolo,486377
جزيرة أراباوا,57
Asuncion Island,0
Howe Island,522
Whiddy Island,23
Minamidaitō-jima,2014
Dek Island,4346
志林規島,0
Charimkotan,0
Gawdopula,3
Мацзу (острова),12610
Jejudo,620588
كياوا أيلاند (كارولاينا الجنوبية),1632
Kavaratti,10482
Nias,858017
Samos,37810
Bora Bora,8387
Farquhar,23
スポラデス,14063
Motu One (Isole Marchesi),0
Askøy (island),22687
Либ,106
Diego Garcia,4122
Aucklandinseln,0
ブバケ,8401
Sofía (Echinades),0
Каф-оф-Мэн,2
Île Saint-Laurent,1263
Rowett (eiland),0
Denison Island,0
Terihi,0
Célebes,16616646
Maiana,2105
兰萨罗特岛,127492
越渇磨島,0
吉廖島,1520
Cerdeña,1776737
Rakahanga,127
费尔南多·迪诺罗尼亚群岛,2620
Strait Island,40
Île de Molène (Finistère),202
Capraia Isola,397
Раб (остров),9870
Hopen,4
詹努特里島,27
Аммассалик (остров),1928
Moala,3360
Idjiwi,245930
Thirasia,269
Paximadia,0
Wyspy Nawietrzne,435220
Сиберут,38161
Hokkaido,5241379
Keppel Island (Falklandinseln),0
Gavdopoula,3
South Andaman Island,213847
Paama,1783
Southern Moreton Bay Islands (Redland City),4412
Chichi-jima,2120
阿納托姆島,849
Donsö,1439
Wyspy Magdaleny,13083
Île du Sud-Est,0
Лесбос,82292
Бадия (остров),0
Лоу (остров),0
Shikoku (eiland),4234530
Takaroa,827
Flores (Indonésia),1945579
加利尼亞斯島,1407
Valchedram Island,0
Ilha Baccalieu,0
Utirik,454
Solentiname,955
Rangiroa,2795
Barren Island,0
Bali (wyspa),3833729
Australeilanden,6572
Woodlark,1532
Socorro Island,44
Хершел (остров),0
Ambelau,10113
Île Clarence (Chili),5
Long Island (Bahamas),2865
Mili Atoll,1048
Bougainville (isola),151985
Great Barrier,874
奥莱龙岛,22824
默恩島,8587
Therese Island,0
アンブリム島,8001
Ilhas Chelbacheb,6
Danajon Islet,11028
布阿里基島,1054
Haida Gwaii,4957
Тутуила,58119
烏卡拉島,14279
São Nicolau,12094
Islas Amami,123796
Abaiang,6006
塞爾夫島 (毛里裘斯),0
アンホルト島,149
Selvagem Grande,2
Källö-Knippla,356
Île Socorro,44
Manitoulin,12421
Kihnu (wyspa),503
伊斯帕尼奥拉岛,23637893
Galinhas (Guiné-Bissau),1577
Fernando de Noronha,2885
Takaroa,811
Ilha Winter,0
Darnley Island,453
Klein-Cornwallis,0
小迪门岛,0
Capraia Isola,360
Grande Caimão,56050
火地群岛,142723
卡巴拉島,709
ボルネオ島,22011045
Taimyr-Insel,0
Niihau,133
Isla Attu,0
Hrísey,165
コスメル,105547
Lummi Island,865
Bequia,4638
Abd al Kuri,473
エマエ島,732
Nukulaelae,289
Olchon,1577
Attu Island,0
Nekselø,21
Île des Sœurs,19298
Île d'Yeu,5231
バス・テール島,185802
Rømø,582
جزيرة بورو,171671
フォルメンテラ島,11277
Porto Santo,5686
Isola di Dursey,3
Inis Meáin,159
MacCarthy Island,4183
Линдисфарн,176
Baltrum,476
كاواي,72509
Broughton Island (Neuseeland),0
Lindisfarne (Insel),180
弗雷德里克岩,0
希辛延島,124087
Herschel Island,0
Северный Бородино,739
Île Cortes,974
Île d'Yeu,5072
Capraia,406
莫索島,260
Bangka Island,911127
Isla Dominicos,23
درة البحرين,964
Ilhéu Grande,0
Isla de Lobos,0
Elba,34601
Muna (isola),250532
Amerikiwhati Island,0
普卡魯阿環礁,225
Felicite Island,21
メジット島,307
Tatakoto,272
Maupihaa,9
Gozo,36330
Chrysi,0
Lovund,414
Парама,403
Vranjina,205
Parama Island,466
Sumatra,50524181
"São Vicente, Cape Verde",87401
Amager,168388
Tatakoto,282
Сатавал,460
Кальсой,135
Ilha de São Lourenço,1263
Acaill,2779
Gozo,36294
Калимантан,19617060
Isla Ayon,500
Märket,0
Isla Swains,17
Лампионе,0
شيكوكو,3905333
Tarawa,50986
Zug Island,0
Île à Vache,15127
Heiberg Islands,0
Аунуу,461
Saaremaa,29119
Sorgu,0
南部珊瑚群島,268
Ljusterö,1718
Asinara,1
Wyspy Antypodów,0
Ambelau (île),9744
Pantelleria,7906
Niulakita,29
ディスコ島,985
Ljusterö,1688
Sazan,0
Maupihaa,9
Isla Victoria (Rusia),0
Öland,23663
Jost Van Dyke,294
Drejø,69
Ilhéu Rabo de Junco,0
Filfla (île),0
Manuae (Isole della Società),0
Madouri,0
Sint Maarten (wyspa),82473
Barren Island (Andamanen),0
Таймыр (остров),0
