http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Guiné,8507054
Capo Verde,504152
India,1397283444
Turkménistan,4776892
Saint-Vincent-et-les-Grenadines,112430
巴林,1251588
Isole Marshall,68615
Albania,2715187
吉布提,794004
Kira (miasto),326372
セントビンセント・グレナディーン,111679
Chile,17525461
Panama (land),4058974
马达加斯加,21912629
Колумбия,48834295
Belize,392522
Malta,467040
Малави,16233713
Laos,6495425
التشيك,11119814
Granada (país),107806
エジプト,75005
Tadschikistan,9875509
Senegal,12649064
Papua New Guinea,7267194
印度,1351052416
Kaapverdië,489441
Бутан,709271
Somalia,12389455
Mozambique,27868905
Guinée équatoriale,1112027
Albanien,2847458
Cameroun,20733220
Saint Vincent and the Grenadines,101294
斐濟,909232
لوكسمبورغ,635883
Burundi,9864042
Bolívia,12586264
刚果共和国,4299544
Niue,1293
中央アフリカ共和国,4514150
巴布亚新几内亚,6251891
Cambodja,15293050
チュニジア,10514738
莱索托,1866272
Oman,4896602
Qatar,2615754
キラ (ウガンダ),302374
Zuid-Soedan,12892671
Repubblica Ceca,11833072
喀麦隆,24373078
Burundi,10819728
瑞典,10227640
أنتيغوا وباربودا,92308
Vietnam,90517358
Dominika,75304
Cape Verde,485985
Tunisia,10069607
Катар,2518770
Того,7306748
Panama,3554195
Kenia,45487091
أذربيجان,8752548
Paragwaj,6747571
République démocratique du Congo,77218512
جزر المالديف,366724
卢森堡,547123
Paquistão,200280298
Switzerland,8689456
جزر سليمان,589090
Bahama's,419113
Saint Kitts e Nevis,62285
Wybrzeże Kości Słoniowej,23527925
Saint Kitts and Nevis,56699
باكستان,192294752
الهند,1285228426
Emiratos Árabes Unidos,5459654
بوليفيا,11790847
佛得角,474970
Malawi,16331464
Maldivas,413723
Моравия,2786742
Svizzera,8044444
Maldives,393974
Мальдивы,370366
Ямайка,2573909
Tanzania,53345507
Portugal,9268004
Trinité-et-Tobago,1263800
Zentralafrikanische Republik,4971386
Omã,4967753
Kazakhstan,17632968
Sudan Południowy,12946651
Senegal,13735645
أروبا,94974
Гватемала,16157876
زامبيا,16019214
Йемен,23389631
Polen,40286151
Griechenland,10649678
Noord-Korea,22700548
ジャマイカ,3332715
Bolivien,11395589
Panamá,4447730
Kazajistán,15578833
جامايكا,3090872
Cambogia,16961446
Tunezja,11328390
Malawi,17776511
قيرغيزستان,6110189
Vietnã,86694356
Люксембург,631923
Словакия,5615308
Katar,2362910
Malawi,16865190
キプロス,1280527
Figi,825468
Burkina Faso,16954798
باراغواي,6691790
