http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Hejian,806708
Dalkhola,69567
Lapanga,7155
Cartersville,21103
Ranipur,19044
Kanazawa,412931
Waszkowce,5233
Dhilwan,7113
Mahemdavad,34185
Fatehganj Pashchimi,21525
Bolechów (miasto),19797
Niederstotzingen,4873
جمبي (مدينة),555758
Shergarh,13983
Chhachhrauli,8711
Ramgarh Cantonment,888758
Moriguchi,138140
萨姆塔尔,18862
Ундзен (город),44625
Vartej,9972
Čornomors'k,55081
Tsurugi (Tokushima),11211
Alcaudete,11650
Colonelganj,25825
Venturosa,16811
Сантипонсе,7518
ميتو (إيباراكي),303002
Bhagwant Nagar,32408
Treguaco,5009
Reasi,37708
Hola Prystan,15812
Colina (Cile),86800
Lehragaga,21535
Labbaikudikadu,10754
Kalayat,17714
Chebba,27452
Алькоркон,148569
Parbbatipur,8214
Kamjanka,14082
Schydatschiw,10895
Piplya Mandi,14923
Mulchén,28310
Tanakpur,40356
Calapor,11140
Sakhanu,7702
هامبتون (تكساس),150
Nargund,32355
Rudbeneh,4119
Machados,11603
Mukatsar,114256
Chuxiong,470721
Фуэнте-Обехуна,5350
Los Muermos,17052
Mitoyo,77844
Katghar Lalganj,631115
Landhaura,26832
Godhar,10245
港北區 (日本),349872
Махабан,8114
卡緬卡-布濟卡,11145
Puerto Serrano,6649
Huajuapan de León,40382
Pipiganj,11447
Auraiya (Indie),70501
Rasra,512758
"Aweil, South Sudan",31222
莫吉利夫-波季利西基,34040
Baft,37407
Kurume,283111
Abidjan,4904356
Tumaco,214468
"L'Île-Cadieux, Quebec",115
Fermont,2855
Aizuwakamatsu,127712
Curacautín,16403
Achalpur,539357
"Salehabad, Ilam",1881
库埃佩姆,15263
Sébastopol,410755
Nandurbar,337298
Risia Bazar,12395
ウドギル,84317
Mücheln (Geiseltal),8611
Omitama,51094
Alagoinhas (gemeente),130157
Nuapatna,13336
Franklin (Wisconsin),37026
Araioses,36449
Sakhanu,9490
Busko-Zdrój (district),74622
Kuraoli,22095
乌德吉尔,94295
Gariadhar,32949
Nowshehra,9401
Nandura,42016
Исламабаде-Герб,83682
Khamaria,26510
Mahroni,8603
تويوهاشي (آيتشي),335373
卡拉奇耶,6718
Tilpat,6218
アカリグア,200588
Hébron,196060
Devsar,9319
Ratia,34635
Teocuitatlán de Corona,10260
Huajuapan de León,42470
Dhaurehra,20331
"Shiura, Aomori",2625
萊奧瓦,9714
Imizu,85658
Farafangana,26283
Tantoyuca (Veracruz),26763
Fuenlabrada,180577
Bahman,6620
Dhahran,130463
Freelandgunj,15799
Кайвано,40654
Gelgaudiškis,1821
Khosrowshahr,11483
Vergara (Uruguay),3891
Valpoi,7916
Sougueur,79047
Unquillo,16848
Samurou,15072
Dineshpur,9317
Мукури,34592
香取市,70740
Hafshejan,22461
Chitrakoot Dham,52910
Ciudad Nezahualcóyotl,1106241
Kelachay,11668
Basaria,4078
Halvad,21051
Naqneh,7589
Atsugi,208725
Salatiga,184886
Rafah,151776
Panipat Taraf Rajputan,18901
Lushui,684748
Omuta,122687
Ciudad de Río Tercero,47619
Shrigonda,24734
Battambang,149009
Raipur Rani,6535
Haaren (Aachen),13244
Vapi INA,24102
Cachi (localidad),2175
González Catán,165028
Jejuri,12912
Forbesganj,50477
Gorontalo,179416
Obiliq,21020
Kalmunai,100419
Пилар (муниципалитет),1
Tanda (Rampur),36091
Dumai,272504
Saunkh,8732
Nagur,3239
Моделу (Санта-Катарина),3721
Nanakvada,8156
格拉內羅斯,32845
Aalborg,117298
Ramallah,25203
Baliari,10681
سينشي (مدينة),865142
Villamanrique de la Condesa,4234
Radechiw,9982
Chillán Viejo,29521
Pokrow (Ukraina),39121
North Dumdum,208055
Santa Coloma de Gramenet,123800
Padampur,18303
Tentha,7125
Machalí,45054
Khamaria,27087
Apóstoles (Misiones),25377
Tanna,3593
Taltal,12047
Channapatna,71932
Bahuwa,9025
北九州市,1014359
北安市,467445
Suzano,309699
Kodala,12405
Chalala,17234
داريان,10332
Ниёдогава,7195
Prado del Rey,5880
Хониара,69373
Coelemu,15714
Manikpur Sarhat,15241
Guadalcázar,1711
Намегата,30905
Bakiabad,3958
"Ukrainka, Kiev Oblast",14345
巴奇拉万,13088
Ishigaki (stad),51883
Керенд-э-Герб,7724
Combarbalá,12607
Javadabad,5160
Graneros,31707
شيمونوسيكي (ياماغوتشي),275159
Lamshang,6878
穆凯里亚恩,132489
Bridgeport (Connecticut),149475
Tocuyito,191165
Tsuchiura,155351
Гуаренас,211906
"Khorramabad, Mazandaran",9199
Акаригуа,225192
Mustafabad (Haryana),8928
北欖坡,105382
Huljajpole,14635
Gmina Szuto Orizari,16396
Erich,8858
Cachi (Salta),2020
