http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Schneider Kreuznach,660
Howaldtswerke-Deutsche Werft,2400
Bay View Bank,707
Companhia Brasileira de Aluminio,6500
Restaurant Brands,4500
ペガサス航空,3608
Bergenshalvøens Kommunale Kraftselskap,1008
Bestinvest,500
أستيلاس,17649
Axel Springer (entreprise),15023
Bank of Ireland,11086
ICON Aircraft,100
LG顯示,49000
Krones,12285
Frontiers Media,140
Mobexpert,3500
Taito (entreprise),615
Lyon & Lyon,250
Abiomed,800
BAE Systems Inc.,52000
LGT Bank,1950
IGM Financial,4643
جوال (شركة إتصالات),900
Siemens Healthcare,45000
China National Nuclear Corporation,100000
WuXi PharmaTech,6817
Disqus,61
Nutreco,9717
Eidos Montreal,500
Amer Sports,7954
UCoz,100
Nordea,29397
Lumon,765
SEAT,12700
Jawwal,900
Pinsent Masons,2500
BankAtlantic,1040
National Bank of Uzbekistan,9191
テキサス・インスツルメンツ,29977
MRV Engenharia,5706
Spotify,1600
Limagrain,9000
Calumet Photographic,200
Strands,100
Grupo Petrópolis,2500
T-Mobile US,50000
Empire Resorts,311
Sunwing Airlines,1500
Tavant Technologies,1500
Umicore,14438
Mexx,6000
Trex,630
Pacific Data Images,450
Spotify,1600
Daegu-Gyeongbuk Free Economic Zone,128
ヴァンシ,183320
National Mineral Development Corporation,5924
Oyak Renault Otomobil Fabrikaları,5739
Partners Harvard Medical International,50
Luxottica,79000
Marvelous Entertainment,184
Conseil international pour les initiatives écologiques locales,200
Emsa (article ménager),250
Jayco,2000
Jerini,139
Beter Bed,2513
Energy Transfer Partners,5000
HSBC Bank Bermuda,1100
Nude Maker,10
DLF (company),11495
GFI Group,2062
Volkswagen AG,610076
Australia and New Zealand Banking Group,50152
ديجيتال إكوبمينت,140000
Continente (Supermarket),28150
Kao Corporation,34743
إي إف,40500
Sensory Sweep Studios,100
Kaspersky Lab,3000
Coop Norge,2564
Belle International,71789
SouthPeak Games,100
ヌードメーカー,10
Nintendo Entertainment Analysis & Development,720
Dubek,300
加拿大滙豐銀行,6000
P&H Mining,2600
FEXCO,2300
Lionbridge,10000
Procter & Gamble,110000
Bugatti Automobiles SAS,73
ViaSat,3300
Rouses,4500
Julius Meinl,550
バーダル,34
Whirlpool Corporation,97000
KLMオランダ航空,32685
Tamedia,3400
Charles River Ventures,20
Viverso,150
Oxford BioMedica,72
Cumerio,700
Anglo Irish Bank,0
Paz Oil,2000
Wells Fargo,265200
SieMatic,500
カナダ原子力公社,3200
Medical Mutual of Ohio,2500
JTEKT,10563
Zoho Corporation,4500
مجموعة الخرافي,20000
Mizuho Financial Group,56109
MLP AG,1559
Bavaria,997
ArticlesBase,12
Schering AG,26000
Grezzo,57
Milestone (compañía),16
Bombardier Aerospace,25550
Pacific Access,100
川崎重工業,34010
ヘイズ・スペシャリスト・リクルートメント,8823
FirstGroup,114370
日立製作所,336670
Saxo Bank,1456
Agrale,12300
GFI Group,2062
Caleres,13400
Old Dutch Foods,1000
ブラジル・フーズ,105000
Fitch Ratings,2000
スターム・ルガー,2000
大日本住友製藥,7009
Petrof,1000
ThyssenKrupp,155697
GGB Bearing Technology,1100
Warner Music Group,3550
Bwin,1570
