http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Université normale de Guangxi,23721
Centre fédéral d'éducation technologique Celso Suckow da Fonseca,10523
Rydes Hill Preparatory School,200
Simon Fraser University,34990
Pabna University of Science & Technology,2700
St. Mark Catholic High School (Ottawa),1100
Fruitdale High School,500
Rydal Penrhos,185
Birla Public School,1100
"Zahira College, Colombo",8000
University of Agriculture (Faisalabad),16000
UC Davis College of Biological Sciences,5764
Hyderabad Public School,2800
Instituto de Tecnologia da Califórnia,2255
Woodhaven-Brownstown School District,5327
Central State University,2116
Pontiac Township High School,912
معهد كاليفورنيا للتقنية,2255
Lejeune High School,510
South Anchorage High School,1448
Fairfield Warde High School,1443
مدرسة التكامل الدولية,1545
Newport High School (Pennsylvania),376
Collège Montmorency,7390
Heinrich-von-Gagern-Gymnasium,1000
Diné College,2000
Manuel Dominguez High School,2609
Томский государственный архитектурно-строительный университет,7600
Universidad del Algarve,9095
Immanuel Christian School (Winnipeg),200
École nationale de la magistrature,550
Barrie North Collegiate Institute,1290
Misr University for Science & Technology,17000
Sint-Maartenscollege,1500
University of Montenegro,21595
Valley Springs High School,282
Brandon Valley School District,3119
Universität Hasselt,5500
Universidad Estatal de Ingeniería de Armenia,10000
Largo High School (Maryland),1102
Preston High School (Idaho),636
Benzie Central High School,513
Lake Park High School,3053
ISCTE – University Institute of Lisbon,9000
Политехнический университет Бухареста,25469
Newport Harbor High School,2370
阿爾卡拉大學,22836
Scott Christian University,500
Mitchell County High School,506
Université Pierre et Marie Curie,32000
المدرسة الأمريكية الدولية (الرياض),1600
Staatliche Pädagogische Universität Tomsk,6847
Palos Verdes Peninsula High School,2526
"Northwestern High School (Maple, Wisconsin)",428
Forest Hill Community High School,1981
Boyd-Buchanan School,850
Université de La Rioja,7600
Calderside Academy,1400
Universidad Félix Houphouët-Boigny,50000
Grape Creek High School,304
Kermit Independent School District,1235
Universidad de Túnez,28000
"University of Technology, Mauritius",4500
Edgewood Senior High School,600
Burns High School (Oregon),329
Alexander-von-Humboldt-Gymnasium Konstanz,985
塞麦尔维斯大学,10300
Белорусский государственный университет информатики и радиоэлектроники,17000
