http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/height
Atsushi Maruyama (actor),1.82
Brent Everett,1.6764
Joel Lawrence,1.7526
Sean Michaels,1.905
高田純次,1.75
Ariana (actress),1.6256
Hitomi Kobayashi,1.51
Jesse Jane,1.6002
Taylor Rain,1.6256
安藤沙耶香,1.6764
Erica Campbell,1.651
Monica Sweetheart,1.5748
約翰·侯爾姆斯,1.8542
Careena Collins,1.5748
Maddy O'Reilly,1.7018
McKenzie Lee,1.6256
Sinnamon Love,1.6002
Lynn LeMay,1.778
Manuel Ferrara,1.8288
مايومي أسانو,1.61
Mya Diamond,1.6002
"Майклз, Джианна",1.8034
Mariko Morikawa,1.5
Bionca,1.7526
Jesse Jane,1.6002
Seymore Butts,1.8669
Asuka Sakamaki,1.6
Lacie Heart,1.6764
Marilyn Chambers,1.7018
吉沢明歩,1.61
Tyra Misoux,1.6
Vanessa Blue,1.6002
Mr. Marcus,1.7272
"Энн, Джулия",1.7272
Ashley Long,1.8034
Jacqueline Lorains,1.778
Matthew Rush,1.8288
Шайла Дженнингс,1.5748
Johan Paulik,1.8
Daisy Marie,1.6256
Anna Malle,1.7018
Kitten Natividad,1.6256
Jeanna Fine,1.7018
Katja Kassin,1.5494
Alicia Rio,1.5748
Angelina Armani,1.778
Mya Diamond,1.6002
BiBi Jones,1.6764
Dane Cross,1.7272
Monica Mattos,1.6129
Sora Aoi,1.55
Calli Cox,1.6002
Alisha Klass,1.651
Yoshino Kimura,1.67
Seka (Pornodarstellerin),1.7272
中島健人,1.76
Junji Takada,1.75
Sally Yoshino,1.53
Allanah Starr,1.6764
Daniella Rush,1.651
Ashlynn Brooke,1.5748
Daisy Marie,1.6256
星野亞希,1.65
Анна Полина,1.524
Devon (Pornodarstellerin),1.6002
Ruddy Rodríguez,1.74
ローレン・フェニックス,1.778
下村愛,1.6
Eva Henger,1.77
Hollie Stevens,1.7526
ギア・パロマ,1.5494
Vince Vouyer,1.7145
多和田秀弥,1.85
Misha Cross,1.6764
Shayla LaVeaux,1.5494
チェシー・レイン,1.6764
Masuimi Max,1.7018
Tyra Misoux,1.6
琳達·拉芙蕾絲,1.7272
西島秀俊,1.78
Кобе Тай,1.6002
トミー・ガン (男優),1.7272
Tabatha Cash,1.7018
Victoria Paris,1.651
Mai Lin,1.6002
Kirsten Price,1.6256
Jada Fire,1.524
Janet Jacme,1.6002
"Кобаяси, Акира",1.8
Nyomi Banxxx,1.7272
Atsuo Nakamura,1.79
Chad Donovan,1.7526
Calli Cox,1.6002
"Эпплгейт, Эй Джей",1.5748
Nikita Gross,1.8542
Brian Pumper,1.7272
Azumi Asakura,1.56
Erik Everhard,1.778
John T. Bone,1.524
Veronica Hart,1.6764
小沢まどか,1.56
Синн Сэйдж,1.651
Ashlyn Gere,1.6002
Ashley Long,1.8034
Kelly Divine,1.7272
媞格·普莱斯利,1.524
遠藤舞,1.62
豊川悦司,1.86
Anja Juliette Laval,1.7272
Venus Lux,1.778
Azusa Itagaki,1.59
Julian Andretti,1.8796
Matthew Rush,1.8288
Mark Wood (actor),1.905
Cara Fawn,1.7272
Tim Hamilton (acteur),1.78
Виктория Пэрис,1.651
Cyrille Bara,1.9
"Сэйнт, Сильвия",1.65
Санни Леоне,1.6256
Ava Addams,1.6002
Стефани Свифт,1.5494
Sasha Grey,1.6764
Sophia Rossi,1.7018
Zdeňka Podkapová,1.6764
Ichigo Milk,1.57
Calvin Culver,1.7526
リリー・カーター,1.6002
Carter Cruise,1.6256
Джесса Роудс,1.651
Aino Kishi,1.57
Gwen Garci,1.7018
紺野まひる,1.6
Naomi Russell,1.7018
Mia Khalifa,1.5748
"Деармонд, Дана",1.7272
Aimi Yoshikawa,1.524
Courtney Cummz,1.6764
Skin Diamond,1.651
Chris Steele (pornographic actor),1.8288
رايلي ستيل,1.7018
Джилл Келли,1.7018
Anksa Kara,1.71
Bunny Bleu,1.6002
Kaylynn,1.7526
