http://dbpedia.org/ontology/ProtectedArea,http://dbpedia.org/ontology/maximumElevation
Dartmoor,621.0
Ancient Bristlecone Pine Forest,3410.0
Parque Centenario de Wangchuck,5100.0
Eno River State Park,223.114
Park Narodowy Skamieniałego Lasu,1900.43
Пенеда-Жереш,1559.0
Mendip Hills,325.0
Parc d'État de Hanging Rock,786.079
Parque nacional de Veľká Fatra,1592.0
North York Moors,454.152
Dartmoor kistvaens,621.0
Maya-Biosphärenreservat,636.0
Rich Hole Wilderness,1066.8
Parque nacional de Jigme Singye Wangchuck,4925.0
Washington Monument State Park,466.039
Cheaha State Park,733.654
Jigme-Singye-Wangchuck-Nationalpark,4925.0
Bumdeling Wildlife Sanctuary,6000.0
Goblin Valley State Park,1755.65
Morrow Mountain State Park,285.293
