http://dbpedia.org/ontology/MountainRange,http://dbpedia.org/ontology/elevation
Kreuzeck group,2784.0
Alpi e Prealpi Bergamasche,3050.0
Кордильера-Вилькабамба,6271.0
Cordilheira Bética,3478.0
Mürzsteger Alpen,1981.0
Dammersfeld Ridge,927.9
濱海阿爾卑斯山脈,3297.0
ピレネー山脈,3404.0
Shehy,706.0
ベーマーの森,1456.0
Ith,439.0
Monitor Hills,1860.0
Conger Range,1542.0
Cevennen,1702.0
Sierra de los Cuchumatanes,3837.0
Cevenas,1702.0
Osnabrücker Hügelland,232.5
Сонкёльтау,3856.0
Monti del Dachstein,2995.0
Monts Challenger,2225.0
Monti Aurunci,1533.0
Рён,950.0
Kordyliera Środkowa (Kostaryka),3432.0
阿特拉斯山脈,4165.0
Columbia Mountains,3519.0
Železné hory,697.0
凱撒山脈,2344.0
Leach Range,1890.0
Pacific Coast Range,5959.0
Mainhardter Wald,586.4
Gates Ocidentais,2695.0
納韋爾武塔山脈,1565.0
Хангай,4031.0
Bregenzerwald,2134.0
Serranía del Baudó,1810.0
Sierra Morena,1332.0
Rifgebergte,2455.0
Prospect Hill (New South Wales),117.0
Main Range (Snowy Mountains),2228.0
聖克魯斯山脈,1423.0
جبال الألب سامناون,3293.0
Sliabh Mis,851.0
Sierra Nevada (Espagne),3478.0
アララール山地,1431.0
"Antelope Range (Nye County, Nevada)",3080.0
飛驒山脈,3190.0
Uri Alps,3630.0
Grande Catena Divisoria,2228.0
Karnische Alpen,2782.0
جبال الألب غلاروس,3614.0
阿爾特桑達山脈,250.85
Alpy Zillertalskie,3510.0
Schobergruppe,3283.0
Sylarna,1762.0
Южные Известняковые Альпы,3905.0
Monti Aravalli,1722.0
本宁阿尔卑斯山脉,4634.0
Saltoro-Berge,7742.0
Berninagruppe,4049.0
Rhön,950.0
Selter (hills),395.0
Ogilvie Mountains,2362.0
Slumbering Hills,1772.0
Monts Loma,1945.0
馬拉山脈,3042.0
Jura (gebergte),1720.0
Cordilheira da Costa do Pacífico Sul,3114.0
Кордильера-Уайуаш,6635.0
中央山脈 (伊比利亞半島),2592.0
提贝斯提高原,3445.0
Westerwald,656.5
Larkspur Hills,1564.0
Apeniny,2912.0
Wicklow Mountains,925.0
Plateau Bogong,1893.0
Huy (Höhenzug),314.0
Arfakgebergte,2955.0
Plackwald,581.5
Monts Alaï,5544.0
Восточные Судеты,1491.0
Slieve Mish,851.0
Borgmassiv,2717.0
