http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/runwayLength
Eureka Airport (Nevada),2225.04
Winkler County Airport,1071.07
Fulton County Airport (Georgia),1766.62
Rusk County Airport (Wisconsin),975.0
Mercer County Airport (Illinois),755.904
Apalachicola Regional Airport,1606.6
Delta County Airport,1529.0
DeKalb–Peachtree Airport,1141.78
Jacqueline Cochran Regional Airport,2590.8
Schenectady County Airport,873.0
Bowers Airport,1703.83
Jackpot Airport,1884.58
North Texas Regional Airport,694.03
