http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/runwayLength
Port lotniczy Jose Aponte de la Torre,3353.0
Ocean City Municipal Airport (Maryland),1241.0
مطار تراباني-بيرغي,2695.0
Rochelle Municipal Airport,1288.0
Aeroporto di Lilla Lesquin,1580.08
Hyesan Airfield,1383.79
Montijo Air Base,2440.0
Aéroport de Tarbes-Lourdes-Pyrénées,3000.0
Władysław-Reymont-Flughafen Łódź,2500.0
Brazil Clay County Airport,896.417
Монтеррей (аэропорт),1801.06
Cut Bank Municipal Airport,1615.0
Municipal Airport (Oklahoma),1086.0
Aéroport de Szeged,609.905
Aeropuerto Internacional de Quetta,3657.6
Port lotniczy Fertőszentmiklós,985.114
Aeroporto di Iași,2400.0
White Cloud Airport,889.0
Port lotniczy Perugia-Sant'Egidio,2199.13
Renton Municipal Airport,1640.0
Port lotniczy Miszkolc,800.0
Nakuru Airport,1709.0
Port lotniczy Dothan,1675.79
Atlanta Regional Airport,1590.75
Aeropuerto de Friedrichshafen,2355.8
Aéroport d'Orenbourg Tsentralni,2500.0
Mostaganem Airport,1800.0
Aeropuerto de Rodez-Marcillac,2100.0
Aeroporto di Step'anakert,2178.0
Flughafen Bandırma,3006.85
Flughafen Toronto-Pearson,2743.2
Flughafen Limoges,800.0
Shoreham Airport,408.0
Айгугиг (аэропорт),914.0
惠山飛行場,1384.0
Rochester Airport (Kent),830.0
目達原駐屯地,659.892
Aéroport de La Môle - Saint-Tropez,1179.88
Aeropuerto de Río Cuarto,2247.6
Aeropuerto de Chachapoyas,2100.0
Elwood Airport,632.765
Port lotniczy Shoreham,408.127
Toulon–Hyères Airport,1902.0
Aeroporto Internacional de Bălți-Leadoveni,2240.28
Aéroport international Juanda,3000.15
Flughafen Invercargill,695.0
Port lotniczy Napier,1199.0
Aérodrome de Dunkerque - Les Moëres,640.08
Flughafen Båtsfjord,1000.0
Oostmalle Airfield,2980.0
Flughafen Kupang,1272.54
阿必尚國際機場,2999.84
Harrison County Airport (Texas),1006.0
Port lotniczy Bakel,1749.86
Aéroport d'Alghero-Fertilia,3000.15
Parakou Airport,1600.2
Bamako–Sénou International Airport,2706.0
Сарагоса (аэропорт),3023.92
Moussoro Airport,1197.86
Moore County Airport (North Carolina),1982.0
Tan Tan Airport,2000.0
St. Johns Industrial Air Park,1622.0
Кветта (аэропорт),3648.0
Aeropuerto de Bari-Palese,1683.0
Crookston Municipal Airport,1311.0
Oktyabrsky Airport,1499.92
Militärflugplatz Decimomannu,2610.61
Cimarron Municipal Airport,746.76
Aeroporto di Grenoble Isère,3050.13
图兹拉国际机场,2485.0
Aéroport de Pula,2950.0
Flugplatz Cambrai-Niergnies,900.0
ハイデラバード空港,3231.0
Vastrap,1600.0
Duchesne Municipal Airport,1768.0
Ángel Albino Corzo International Airport,2500.0
Gamal Abdul El Nasser Air Base,2998.0
Aeropuerto Regional de Manassas,1889.76
Albany Municipal Airport (Missouri),1006.0
Flughafen Chongqing-Jiangbei,3000.0
Port lotniczy Anapa,2500.0
Brest Airport,2620.06
McGhee Tyson Air National Guard Base,2744.72
Homa Bay Airport,1200.0
North Weald Airfield,1881.0
Aioun el Atrouss Airport,1598.68
Aeropuerto de Menorca,2550.0
Aéroport de Hualien,2749.91
Lotnisko Chatanga,2728.87
Regina/Aerogate Aerodrome,579.12
Aeroporto di Zara-Zemonico,2000.0
Aeropuerto Regional de Manchester-Boston,2819.0
Port lotniczy Karszy,2498.0
Harrison County Airport (Texas),1005.54
武夷山空港,2400.0
Aéroport de Toulon-Hyères,1902.0
Aéroport de La Corogne,2337.82
Flughafen Salzburg,2750.0
Anvik Airport,902.0
Scott Municipal Airport,1677.01
Aéroport de Morlaix Ploujean,899.77
Aérodrome de Saint-André-de-l'Eure,1093.0
Paamiut Airport,799.0
Aeroporto di Orenburg,2500.0
Aeropuerto de Bardufoss,2442.97
Port lotniczy China Bay,2397.0
Laguindingan Airport,2100.0
Aeropuerto General Manuel Serrano - Machala,1674.27
Internationale Luchthaven General Mariano Escobedo,1801.06
Gannan Xiahe Airport,3200.0
Aeropuerto Chachoan - Ambato,1925.0
Thanjavur Air Force Station,1731.0
Nuevo Aeropuerto de Chitose,4000.0
Aéroport de Bodrum-Milas,3000.0
Aéroport de Dole-Jura,2800.0
Luchthaven Satu Mare,2500.0
Kili Airport,1341.12
Port lotniczy Bamian,2000.1
Aitape Airport,843.991
St. Paul Island Airport,1981.0
トリノ空港,3300.0
Base Aérea de Manaus,2318.0
Aeropuerto Internacional de Quetta,3648.0
Houston Gulf Airport,1523.7
Aeroporto di Chambéry Aix-les-Bains,700.0
Серкл-Хот-Спрингс (аэропорт),1112.52
Aéroport de Casablanca Tit Mellil,1127.0
Southern Seaplane Airport,975.36
Aeroporto di Comiso,2538.0
Aeroporto di Kaliningrad-Chrabrovo,2500.0
Minute Man Air Field,487.68
Chesapeake Regional Airport,1676.0
Aeroporto di La Rochelle Isola di Ré,2255.0
Port lotniczy Taszkent,3905.1
Port lotniczy Sauðárkrókur,1887.0
Aeroporto di Pärnu,799.0
Bengbu Airport,2600.0
مطار مينسك-1,2000.0
柏加謝沃機場,2500.0
Port lotniczy Kiffa,1615.0
Port lotniczy Ronneby,2331.11
Aéroport Narimanovo,2499.97
Ghriss Airport,1699.87
Fitch H. Beach Airport,1066.8
Aeropuerto Internacional de Lamezia Terme,2414.0
Aeropuerto Internacional Bandaranaike,3350.06
"Комптон (аэропорт, Калифорния)",1013.0
Shennongjia Hongping Airport,2800.0
Kroonstad Airport,900.074
Aeroporto Internacional Carlos Ibáñez del Campo,2790.14
Port lotniczy Yakutat,2361.0
Akiak Airport,974.0
Aeropuerto de Brest-Bretagne,3100.0
Corlier Aerodrome,350.0
Ranai Airport,2560.0
Gusap Airport,1600.2
Port lotniczy Odessa,553.0
Aeropuerto Internacional de Erenhot Saiwusu,2400.0
Groningen Airport Eelde,1499.92
Flugplatz Butaritari,1066.8
Meerut Airport,1562.0
Aéroport de Minorque,2100.0
Upernavik Airport,799.0
مطار رأس مشعاب,3215.94
Aeropuerto de Zadar,2000.0
Hemmingson Airport,381.0
Alsek River Airport,567.0
El Fuerte Airport,1463.0
Telergma Airport,2200.66
Port lotniczy Pingdong,2438.0
Port lotniczy Czaghczaran,2.00101
