http://dbpedia.org/ontology/SportFacility,http://dbpedia.org/ontology/maximumElevation
Buckhorn Ski Club,2408.83
Wolf Ridge Ski Resort,1402.08
Le Relais,429.0
山形蔵王温泉スキー場,1661.0
Whistler Blackcomb,2182.0
Bukowel,1372.0
Flaine,2561.0
Boekovel,1372.0
Crystal Mountain,2137.26
Astún,2300.0
Cardrona Alpine Resort,1894.0
Glenshee Ski Centre,1068.02
Massif du Sud,915.0
Planai,1894.0
Plateau de Beille,2000.0
Wolf Mountain,1981.2
Monterosa Ski,3275.0
Isola 2000,2610.0
Les Sybelles,2620.0
Trije Kralji Ski Resort,1344.0
Cottonwood Butte,1746.5
Whistler Blackcomb,2436.0
Ski Cooper,3566.16
Edelweiss Valley,350.0
Hauser Kaibling,2015.0
Rødkleiva,479.0
Heavenly Valley,3068.42
Jasná,2024.0
Les Deux Alpes,3600.0
Squaw Valley Ski Resort,2758.44
士兵山谷,1792.83
Blizzard Mountain Ski Area,1921.76
Mount Waterman,2447.54
Hautacam,1800.0
Estación de esquí de La Pinilla,2273.0
Les Paccots,1487.0
Pla d'Adet,3194.0
Ax 3 Domaines,2400.0
Hautacam,1800.0
Holiday Valley (ski resort),685.8
Les Arcs,3250.0
Phoenix Mountain Ski Resort,1479.0
Sun Peaks,2152.0
Estación de Esquí Vodafone,1984.0
Alta Badia,2550.0
Kongsberg Skisenter,565.0
Rosa Khutor,2320.0
Monterreal,3445.0
Cypress Mountain Ski Area,1440.0
"Portillo, Chile",3310.0
Les Trois Vallées,3230.0
Bryce Resort,533.4
Soriška Planina Ski Resort,1550.0
Ax 3 Domaines,2400.0
Plattekill Mountain,1066.8
