http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/runtime
I'll Never Heil Again,1089.0
Commotion on the Ocean,994.0
Fiddlers Three (1948 film),1026.0
Hot Stuff (1956 film),955.0
Corny Casanovas,978.0
Pyramide (jeu télévisé),1320.0
Spook Louder,967.0
Three Loan Wolves,1000.0
Scotched in Scotland,931.0
Apocalypse (film series),23460.0
Scrambled Brains,950.0
Restless Knights,971.0
Self-Made Maids,947.0
Hoofs and Goofs,927.0
I'll Never Heil Again,1089.0
Dopey Dicks,943.0
Uncivil Warriors,1173.0
Half-Wits Holiday,1049.0
マスターシェフ 天才料理人バトル!,-5400.0
Fiddlers Three,1026.0
Loco Boy Makes Good,1044.0
Disney Club (homonymie),14100.0
