http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
هاسفيك,534460000.0
Contea di Bracken,533538000.0
Anoka County,1095560000.0
Stokke,116000000.0
"Бат (округ, Кентукки)",722607000.0
"Аллегейни (округ, Пенсильвания)",1890690000.0
Эйгерсунн,387430000.0
أفون (كولورادو),20719900.0
Ванюльвен,365410000.0
Bristol County (Massachusetts),1432260000.0
ハリバートン郡,4071860000.0
Contea di Doniphan,1017870000.0
ネバダ州,2.84396e+11
"Volusia County, Florida",2851650000.0
Балестранн,411220000.0
Реннебу,924960000.0
Meløy,798450000.0
"Бивер (округ, Пенсильвания)",1126640000.0
Tennessee,1.06846e+11
博根縣,603490000.0
Лаванген,296200000.0
مقاطعة رولنز (كانساس),2768700000.0
"Ben Hill County, Georgia",647497000.0
"Брэдли (округ, Арканзас)",1680900000.0
نوتودن,852000000.0
ラノディエール地域,12422200000.0
Eidsberg,229000000.0
Sokndal,267150000.0
Contea di Pratt,1903640000.0
Tjeldsund (Kommune),309340000.0
Hrabstwo Travis,2564090000.0
Hrabstwo Bath (Kentucky),722607000.0
هارستاد,429060000.0
Contea di Bedford (Virginia),1950260000.0
Modalen,380710000.0
Wilson County (Kansas),1476290000.0
Hrabstwo Bradley (Arkansas),1680900000.0
Sykkylven,328490000.0
Melhus,653760000.0
Suldal,1588500000.0
Bradford County (Pennsylvania),2970720000.0
Comté d'Adair (Kentucky),1048950000.0
レンフルー郡,7419000000.0
Мосс (Норвегия),58000000.0
Tennessee,1.06846e+11
Эурскуг-Хёланн,894000000.0
Andebu,183000000.0
Nannestad,324000000.0
Valle (Noruega),1135170000.0
مقاطعة وياندوت (كانساس),393678000.0
Nordreisa,3335370000.0
"Аллегейни (округ, Мэриленд)",1098150000.0
مقاطعة آدمز (نبراسكا),1458160000.0
Marshall County (Kansas),2330990000.0
Sauda,508520000.0
Hrabstwo Bristol (Massachusetts),1432260000.0
Contea di Pottawattamie,2460490000.0
Våler i Hedmark,678000000.0
Gjerstad,308360000.0
Benton County (Mississippi),1054130000.0
Ланодьер,12422200000.0
Batticaloa (district),2610000000.0
Сельюр,670000000.0
Contea di Benson,3597490000.0
Logan County (Kansas),2779060000.0
Allen County (Kansas),1294990000.0
"Аплинг (округ, Джорджия)",1313120000.0
Condado de Dickinson (Kansas),2193720000.0
Condado de Wyandotte,393678000.0
Comté de Bland (Virginie),927216000.0
Hrabstwo Boone (Arkansas),1528090000.0
Comté d'Addison,1983930000.0
ラサール郡 (イリノイ州),2939640000.0
مقاطعة أندرسون (كانساس),1502190000.0
"Блаунт (округ, Алабама)",1670540000.0
Torsken,235080000.0
Adams County (Idaho),3530150000.0
Labette County,1670540000.0
Condado de Lincoln (Kansas),1862200000.0
Comté d'Armstrong (Pennsylvanie),1691260000.0
"Adams County, Pennsylvania",1344200000.0
Contea di Bell (Kentucky),929806000.0
"Carteret County, North Carolina",1310530000.0
"Boyle County, Kentucky",466198000.0
Rhode Island (staat),2706540000.0
アントリム郡 (ミシガン州),1232830000.0
Мельдал,592540000.0
Ampara (district),4222000000.0
Tysvær,399710000.0
Comté de Bracken,533538000.0
奧克達爾,564180000.0
Karasjok,5209450000.0
Holmestrand,84000000.0
Decatur County (Kansas),2315450000.0
Masfjorden,510850000.0
Contea di Carter (Tennessee),883186000.0
Comté de Traill,2232570000.0
Røyrvik,1332400000.0
"Барбур (округ, Западная Виргиния)",883186000.0
Eidfjord (Kommune),1387310000.0
"Болдуин (округ, Джорджия)",668217000.0
مقاطعة أدير (ميزوري),1468520000.0
"Ассеншен (приход, Луизиана)",751097000.0
Comté d'Anderson (Kansas),1502190000.0
Halsa,292770000.0
サウスカロライナ州,77982000000.0
Fresno County,15431100000.0
"Stanton County, Kansas",1761190000.0
Comté d'Anson,1375280000.0
Comté de Belknap,1036000000.0
مقاطعة لابيت (كانساس),1670540000.0
Condado de Siskiyou,16259900000.0
Trøgstad,188000000.0
Hrabstwo Westmorland,3662020000.0
博肯,44560000.0
Condado de Baltimore,1548810000.0
Ås,101300000.0
Smøla,270440000.0
مقاطعة بيتز (ميزوري),2167820000.0
內布拉斯加州,1.99099e+11
Askøy,94390000.0
Molde,355930000.0
Contea di Baca,6617420000.0
Hemsedal,711000000.0
Лёдинген,504710000.0
Нуре-ог-Увдал,2274000000.0
貝縣 (密歇根州),1144770000.0
巴爾斯菲尤爾,1440690000.0
Solund,219100000.0
Andøy,616040000.0
"Angelina County, Texas",2066810000.0
Lennox and Addington County,2841100000.0
Ål (gemeente),1081000000.0
Grong,1097650000.0
Condado de Atlantic,1439260000.0
Bastrop County,2299910000.0
Attala County,1903640000.0
Melhus,653760000.0
Harvey County,1398590000.0
مقاطعة بيوريغارد,2996620000.0
"Ottawa County, Kansas",1867380000.0
Hof (Norwegia),148000000.0
Contea di Pulaski (Indiana),1123150000.0
Maryland,25314000000.0
Steigen,962870000.0
"Lawrence County, Indiana",1163340000.0
Nord-Fron,1092000000.0
多尼芬縣 (堪薩斯州),1017870000.0
"Thomas County, Kansas",2784240000.0
Contea di Stanton (Kansas),1761190000.0
艾于蘭,1382610000.0
Comté d'Albemarle,1867380000.0
Malvik,162000000.0
Rømskog,159000000.0
Хьельсунн,309340000.0
Bamble,282000000.0
Kristiansund,86280000.0
Южная Каролина,77982000000.0
比佛縣 (賓夕法尼亞州),1126640000.0
アルーストック郡 (メイン州),17277800000.0
Contea di Albany (Wyoming),11069600000.0
安德于,616040000.0
Røros,1757840000.0
Contea di Meade (Kansas),2533010000.0
Bollinger County,1600610000.0
"Одюбон (округ, Айова)",1147360000.0
Rælingen,56000000.0
Лексвик,399680000.0
Karlsøy,1049220000.0
Marker (Norvegia),368000000.0
杰佛逊堂区 (路易斯安那州),766636000.0
Улленсакер,250000000.0
Vevelstad,517140000.0
Vadsø,1233900000.0
Namdalseid,735010000.0
Herøy (Nordland),64220000.0
"Расселл (округ, Канзас)",2294730000.0
尼歐肖縣 (堪薩斯州),1478880000.0
Contea di Allen (Kansas),1294990000.0
Hrabstwo Adams (Ohio),1512550000.0
Contea di DuPage,846926000.0
Flå,670000000.0
Øyer,616000000.0
New Mexico,3.1459e+11
Гамвик,1353640000.0
Contea di Benton (Washington),4402980000.0
Bø (Nordland),235840000.0
"Franklin County, Kansas",1481470000.0
Contea di Cowley,2916330000.0
Осерал,798000000.0
テュスフィヨール,1359890000.0
Virginia Occidental,62361000000.0
Ørsta,785500000.0
Rennebu,924960000.0
Vega (Norwegia),161050000.0
Granvin,204940000.0
巴特勒縣 (堪薩斯州),3703680000.0
Lanark County,3024200000.0
Marnardal,376000000.0
Comté de Harper (Kansas),2074580000.0
兰纳尔斯县 (德克萨斯州),2722080000.0
Vågå,1253000000.0
"Andrew County, Missouri",1121460000.0
Inyo County,26368700000.0
Masfjorden,510850000.0
رينغساكر,1123000000.0
Eidskog,604000000.0
Kentucky,1.02895e+11
Comté de Brevard,2631430000.0
Contea di Kings (Nuova Scozia),2122180000.0
Vik,797320000.0
古爾 (挪威),514000000.0
Comté de Berks,2219620000.0
Comté d'Elko,44470100000.0
Bradley County (Tennessee),852106000.0
布拉福縣 (賓夕法尼亞州),2970720000.0
Comté d'Annapolis,3184970000.0
Condado de Beaver (Oklahoma),4700830000.0
Xian de Pingtan,371000000.0
比縣 (德克薩斯州),2279190000.0
Comté de Kane (Illinois),1346790000.0
Hyllestad,247810000.0
Condado de Ada,2727260000.0
Gausdal,1149000000.0
Allegheny County,1890690000.0
アンドロスコッギン郡 (メイン州),1212110000.0
勒羅斯,1757840000.0
貝阿恩 (挪威),1181110000.0
Bardu,2515730000.0
مقاطعة بركس (بنسيلفانيا),2219620000.0
Sogndal,736130000.0
Ордал,930120000.0
Lebesby,3231920000.0
Sør-Fron,714000000.0
Sørreisa (gemeente),346940000.0
Nesodden,61000000.0
"Беркс (округ, Пенсильвания)",2219620000.0
Contea di Arthur,1851840000.0
Fredrikstad,283000000.0
Condado de Adams (Illinois),2214440000.0
洛朗第,20560000000.0
North Dakota,1.78839e+11
アンテロープ郡,2219620000.0
مقاطعة بانديرا (تكساس),2048680000.0
Capitale-Nationale,18796900000.0
アラスカ州,1.48135e+12
Хамарёй,920310000.0
Эйер,616000000.0
Фуснес,473390000.0
Adair County (Kentucky),1048950000.0
ビッグホーン郡 (ワイオミング州),8124790000.0
