http://dbpedia.org/ontology/Event,Event,http://dbpedia.org/ontology/numberOfGoals
http://dbpedia.org/resource/1929–32_Nordic_Football_Championship,1929–32 Nordic Football Championship,46
http://dbpedia.org/resource/1935–36_in_Swedish_football,1935–36 in Swedish football,56
http://dbpedia.org/resource/Sweden_national_football_team_1999,Sweden national football team 1999,64
http://dbpedia.org/resource/1932–33_in_Swedish_football,1932–33 in Swedish football,73
http://dbpedia.org/resource/1980_in_Swedish_football,1980 in Swedish football,35
http://dbpedia.org/resource/1997_FIFA_World_Youth_Championship,1997 FIFA World Youth Championship,79
http://dbpedia.org/resource/Portugal–Spain_football_rivalry,Portugal–Spain football rivalry,11
http://dbpedia.org/resource/SocioMX_Cup,SocioMX Cup,20
http://dbpedia.org/resource/2003_South_American_Women's_Football_Championship,2003 South American Women's Football Championship,34
http://dbpedia.org/resource/Irish_Free_State_national_football_team_results,Irish Free State national football team results,65
http://dbpedia.org/resource/2007_FIFA_Women's_World_Cup_qualification_(UEFA),2007 FIFA Women's World Cup qualification (UEFA),89
http://dbpedia.org/resource/2014_CERH_European_Championship,2014 CERH European Championship,6
http://dbpedia.org/resource/1934–35_in_Swedish_football,1934–35 in Swedish football,82
http://dbpedia.org/resource/Brazil_at_the_1982_FIFA_World_Cup,Brazil at the 1982 FIFA World Cup,49
http://dbpedia.org/resource/1925–26_in_Swedish_football,1925–26 in Swedish football,31
http://dbpedia.org/resource/2006_FIFA_World_Cup_qualification_(OFC),2006 FIFA World Cup qualification (OFC),36
http://dbpedia.org/resource/2007_Copa_Libertadores_Second_Stage,2007 Copa Libertadores Second Stage,56
http://dbpedia.org/resource/2015_National_Ringette_League_playoffs,2015 National Ringette League playoffs,10
http://dbpedia.org/resource/1946–47_in_Swedish_football,1946–47 in Swedish football,84
http://dbpedia.org/resource/1931–32_in_Swedish_football,1931–32 in Swedish football,29
http://dbpedia.org/resource/2006_South_American_Women's_Football_Championship,2006 South American Women's Football Championship,73
http://dbpedia.org/resource/1989_in_Swedish_football,1989 in Swedish football,30
http://dbpedia.org/resource/2005–06_Royal_League,2005–06 Royal League,26
http://dbpedia.org/resource/UEFA_Euro_1968_qualifying,UEFA Euro 1968 qualifying,54
http://dbpedia.org/resource/1983_FIFA_World_Youth_Championship,1983 FIFA World Youth Championship,87
http://dbpedia.org/resource/2006_South_American_Women's_Football_Championship,2006 South American Women's Football Championship,29
http://dbpedia.org/resource/1972–77_Nordic_Football_Championship,1972–77 Nordic Football Championship,45
http://dbpedia.org/resource/Sweden_national_football_team_2005,Sweden national football team 2005,55
http://dbpedia.org/resource/2007_FIFA_Women's_World_Cup_qualification_(UEFA),2007 FIFA Women's World Cup qualification (UEFA),33
http://dbpedia.org/resource/1936–37_in_Swedish_football,1936–37 in Swedish football,12
http://dbpedia.org/resource/UEFA_Euro_1976_qualifying_Group_2,UEFA Euro 1976 qualifying Group 2,1
http://dbpedia.org/resource/1914–15_in_Swedish_football,1914–15 in Swedish football,19
http://dbpedia.org/resource/American_Soccer_Association_Cup,American Soccer Association Cup,86
http://dbpedia.org/resource/1920–21_in_Swedish_football,1920–21 in Swedish football,4
http://dbpedia.org/resource/1995_FIFA_World_Youth_Championship,1995 FIFA World Youth Championship,75
http://dbpedia.org/resource/1945–46_in_Swedish_football,1945–46 in Swedish football,84
http://dbpedia.org/resource/2007_FIFA_Women's_World_Cup_qualification_(UEFA),2007 FIFA Women's World Cup qualification (UEFA),28
http://dbpedia.org/resource/1987_FIFA_World_Youth_Championship,1987 FIFA World Youth Championship,30
http://dbpedia.org/resource/1912–13_in_Swedish_football,1912–13 in Swedish football,4
http://dbpedia.org/resource/Sweden_national_football_team_1994,Sweden national football team 1994,78
http://dbpedia.org/resource/2015_Segunda_División_play-offs,2015 Segunda División play-offs,88
http://dbpedia.org/resource/Sweden_national_football_team_1994,Sweden national football team 1994,45
