http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/capacity
ČD Class 810,52
ICE 1,67
CFL Class 2200,304
ICE 1,681
ICE-1列車,25
ICE 1,23
ICE-1列車,42
RATP-Baureihe MS 61,255
TCDD HT65000,321
ICE 1,44
CAF Hizlitren,442
Treno Servizio Regionale,120
Locomotiva DB 401,759
RATP MS 61,88
ICE 1,23
SJ Y6,37
SL X1,177
ATM Class 4600 and 4700,131
Tram ATM serie 4900,56
ICE 1,60
SJ X16,57
ICE 1,33
Locomotiva DB 401,15
CFL 2300,23
ACMU,121
ICE 1,22
ICE 1,42
Рельсовый автобус серии 810,42
M1/M3 (railcar),104
ICE 1,20
Baureihe 401,56
ICE 1,18
CSR EMU (Argentina),60
