http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Люксембург,626976
Gwatemala,13922406
Danemark,6723796
Moldavie,3310324
Paraguay,6320766
Equatoriaal-Guinea,1263503
Kazakhstan,20347092
Uruguay,3178969
Portugal,11154540
Jamaïque,3021923
グリーンランド,62489
Liberia,3940731
Luxembourg,573703
Libia,7469164
Sudan,37573010
Tanzania,47832801
Indonesia,223680160
Tunisie,11095551
Belize (land),398411
Libéria,5122514
Guatemala,15026497
Saint Kitts en Nevis,45749
Polen,33992524
Perù,30045682
Cyprus,1159572
Malta,455430
Guinea,9142139
トーゴ,7255549
Bolivia,10666685
Síria,18646298
Dominica,60009
Sudão do Sul,10836204
Egito,92365
Senegal,15304051
Yemen,27108387
キラ (ウガンダ),294228
巴拉圭,7439397
سوريا,13950864
Fiji,978543
Mähren,3655203
トリニダード・トバゴ,1334402
Oekraïne,42629210
Chile,14986307
Syria,18714190
Tagikistan,9134008
Yemen,21263356
Антигуа и Барбуда,93739
North Korea,27474343
阿魯巴,107122
Fiji,987259
Zambie,17144825
Belarus,9358014
Zentralafrikanische Republik,5381474
Bahamas,439367
Irak,32719821
Kap Verde,471736
Burkina Faso,14969600
Демократическая Республика Конго,86196108
Togo,6859883
カーボベルデ,473743
Jamaica,2936083
Kyrgyzstan,6789277
Líbia,5552277
Afghanistan,28754065
ベトナム,78395223
Ливия,6057704
コンゴ民主共和国,81645897
Bahama's,386187
Sudan Południowy,13986697
أروبا,95019
パラグアイ,7514572
Egypte (land),101598
Niue,1164
Индия,1074879322
Slovaquie,5382314
Repubblica Democratica del Congo,79410468
Vietnam,101280927
莱索托,1982251
Tunisia,12291368
تنزانيا,54039017
Republik Kongo,4860372
Panama,3464359
Burkina Faso,16133808
Сомали,14032753
فيتنام,94359628
Yémen,24330962
Laos,8587490
Maldives,405135
Egipto,83732
Groenlandia,57735
Laos,7884174
Liberia,4600107
カザフスタン,13989617
Катар,2220742
Kirguistán,5680918
Nicoya (ciudad),20201
Ukraine,44140124
Moldavia,2797911
Somalië,13973311
Лесото,2172161
لوكسمبورغ,543817
Mozambique,28214819
Guiné-Bissau,1619105
利比亚,6418097
Soudan du Sud,13547661
Gronelândia,53496
Malta,403790
Corea del Norte,23880111
Oman,4322341
Bahamas,375702
Мавритания,4073548
Кот-д’Ивуар,27164071
Замбия,15877930
Канада,34568217
مدغشقر,18201851
Grenade (pays),94998
Szwajcaria,9197466
غينيا,8032383
Portogallo,9080693
Того,7074283
Панама,3902983
Bhutan,817236
Bahrain,1445487
Burundi,9560663
كندا,45989540
Bolivia,11238293
バハマ,476429
سانت كيتس ونيفيس,48485
Сент-Китс и Невис,70252
Djibouti,756909
Ucraina,39632641
فيجي,1004230
ケニア,52549261
Burundi,10686376
Чили,18539990
Madagascar,20016028
Guinee-Bissau,1585865
الدنمارك,5635481
Suecia,9267444
Islas Salomón,559606
Malediven,372712
キプロス,1031831
马达加斯加,21516387
Moçambique,25305398
Pakistan,218155696
Мозамбик,21067888
Weißrussland,8579564
ベナン,10397723
Кения,48315062
Dschibuti,871766
Djibouti (land),844594
赤道几内亚,1139374
Benin,13501099
Cambodge,14180727
Malawi,19461004
Liberia,3755946
Denemarken,6267340
Białoruś,9641139
Central African Republic,4465436
السودان,38383844
Oman,3978854
سلوفاكيا,4548671
Trinidad und Tobago,1240791
Niue,1073
Guinea-Bissau,1914758
Costa d'Avorio,20232052
Malta (land),512651
Вьетнам,94974344
Burundi,11563442
الأوروغواي,2788041
オマーン,4731187
チェコ,10399039
Таджикистан,6879201
Äquatorialguinea,1195028
格鲁吉亚,4059522
Aruba,85375
千里達及托巴哥,1091695
Grèce,11112482
