http://dbpedia.org/ontology/Skier,http://dbpedia.org/ontology/weight
Thomas Magnusson (Skilangläufer),96850
Gunnar Larsson (narciarz),62151
Agnieszka Gąsienica-Daniel,62974
Dow Travers,70021
Willi Frommelt,72457
Adeline Baud-Mugnier,55612
Agnieszka Gąsienica-Daniel,51316
Marina Kiehl,70932
Thomas Magnusson,86496
Gino Caviezel,69308
Elis Wiklund,74015
Sebastian Brigović,67916
Gunnar Larsson (fondeur),70120
"Андреев, Владимир Михайлович",71674
"Андерссон, Бьярне",68934
Mauro Caviezel,103753
Martin Huber,112951
Adeline Baud,54830
Marino Cardelli,89880
Bjarne Andersson,64898
Alexandre Mohbat,62734
Nadieżda Patrakiejewa,54714
Maria Bedareva,65259
Mireia Gutiérrez,57855
Bengt-Erik Grahn,74246
Sture Grahn,80103
Barbara Kantorová,66711
Marija Kirkowa,70852
Mats Larsson,85845
Barbara Kantorová,57431
Marino Cardelli,70804
"Фроммельт, Вилли",69486
"Акирилоае, Йоан Валериу",75778
Andreas Žampa,65005
"Гутьеррес, Мирейя",49304
"Саалова, Кристина",61652
Rokas Zaveckas,93901
Frank Wörndl,64776
Kyung Sung-hyun,71819
Dmitry Koshkin,84722
