http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEpisodes
Choudenshi Bioman,51
Burning Flame III,33
Latin Lover,64
Chōdenshi Bioman,45
Great Productions,39
Engine Sentai Go-onger,48
Dekaranger,46
Ohio Valley Wrestling,997
Tokusou Sentai Dekaranger,51
Friends and Crocodiles,1
Tensou Sentai Goseiger,50
猪仔馆人家,25
Engine Sentai Go-onger,55
Kaizoku Sentai Gokaiger,54
Prince of Lan Ling,50
天裝戰隊護星者,48
Chōdenshi Bioman,51
Zyuden Sentai Kyoryuger,44
上流俗女,14
Mahou Sentai Magiranger,49
Juken Sentai Gekiranger,53
魔法戰隊魔法連者,43
Ring Ka King,30
Juken Sentai Gekiranger,55
