http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
Sapura HC,2
UST Growling Tigers,18
Penn State Nittany Lions men's soccer,14
SDC San Antonio,8
Sapura HC,18
Tulsa Golden Hurricane men's soccer,23
BM Ciudad Real,1
Maybank HC,19
Charlotte 49ers men's soccer,15
Charlotte 49ers men's soccer,23
Radford Highlanders women's soccer,24
Saint Louis Billikens men's soccer,23
Club Balonmano Ciudad Real,6
Sapura HC,7
UniKL HC,12
VCU Rams women's soccer,13
Plataneros de Corozal,6
Club Balonmano Ciudad Real,10
Ignition de Détroit,18
Al Rayyan Handball Team,3
SDC San Antonio,3
Plataneros de Corozal,12
Charlotte 49ers men's soccer,21
Markaz Balata,8
Shabab Al-Bireh Institute,10
UST Growling Tigers,5
Syracuse Orange men's soccer,2
Al Sadd Handball Team,96
Al Rayyan Handball Team,1
Charlotte 49ers men's soccer,2
Sociedad Deportiva Cultural San Antonio,13
Penn State Nittany Lions men's soccer,24
Laguna F.C.,18
Портланд Сан Антонио,11
Akron Zips men's soccer,8
Al Rayyan Handball Team,8
BM Ciudad Real,12
Ghazir Volleyball,20
SDC San Antonio,17
VCU Rams men's soccer,31
Plataneros de Corozal,12
Al-Sadd Sports Club Handball,35
Al Sadd Handball Team,23
Sapura HC,20
Detroit Ignition,101
BM Ciudad Real,3
Laguna F.C.,1
SDC San Antonio,10
Al Sadd Handball Team,15
Minija Kretinga,19
Lekhwiya SC (handball),2
BM Ciudad Real,18
Tulsa Golden Hurricane men's soccer,3
Al Rayyan Handball Team,23
Al Sadd Handball Team,12
Ignition de Détroit,10
"Al-Arabi (Saudi Arabia, handball club)",3
SDC San Antonio,13
SDC San Antonio,2
BM Ciudad Real,7
Syracuse Orange men's soccer,11
Laguna F.C.,23
"Al-Arabi (Saudi Arabia, handball club)",4
Penn State Nittany Lions men's soccer,23
VCU Rams men's soccer,18
Club Balonmano Ciudad Real,3
Radford Highlanders men's soccer,21
Ignition de Détroit,18
Портланд Сан Антонио,11
Laguna Football Club,18
Al-Sadd Sports Club Handball,103
SDC San Antonio,21
BM Ciudad Real,5
VCU Rams women's soccer,34
Plataneros de Corozal,3
Shabab Al-Bireh Institute,1
BM Ciudad Real,3
Al Sadd SC (handball),95
Sociedad Deportiva Cultural San Antonio,15
Akron Zips men's soccer,17
2011 Western New York Flash season,2
Yayasan Negeri Sembilan HC,13
Ignition de Détroit,26
Laguna F.C.,26
Tulsa Golden Hurricane men's soccer,30
VCU Rams men's soccer,84
Maybank HC,13
Tulsa Golden Hurricane men's soccer,9
Plataneros de Corozal,8
Radford Highlanders women's soccer,29
Laguna F.C.,12
Plataneros de Corozal,2
SDC San Antonio,14
Club Balonmano Ciudad Real,16
Laguna Football Club,3
Plataneros de Corozal,2
2013 NSCAA Men's Soccer All-Americans,6
Club Balonmano Ciudad Real,12
2013 NSCAA Men's Soccer All-Americans,11
Club Balonmano Ciudad Real,8
Penn State Nittany Lions men's soccer,2
UST Growling Tigers,22
SDCサン・アントニオ,99
Al-Sadd Sports Club Handball,63
Al-Sadd Sports Club Handball,109
Sapura HC,25
BM Ciudad Real,11
FIU Panthers men's soccer,22
Club Balonmano Ciudad Real,13
Sociedad Deportiva Cultural San Antonio,1
Equipo de fútbol masculino de la Universidad de San Luis,24
BM Ciudad Real,13
SDC San Antonio,15
SDC San Antonio,16
SDC San Antonio,2
Yayasan Negeri Sembilan HC,1
Al-Rayan SC Handball Team,5
Saint Louis Billikens men's soccer,23
Портланд Сан Антонио,3
Minija Kretinga,1
Al Sadd Handball Team,96
SDCサン・アントニオ,6
Sociedad Deportiva Cultural San Antonio,4
Club Balonmano Ciudad Real,3
Detroit Ignition,6
Yayasan Negeri Sembilan HC,2
Lekhwiya Handball Team,13
Sliema Hotsticks Hockey Club,28
2011 Western New York Flash season,34
Портланд Сан Антонио,17
Syracuse Orange men's soccer,23
BM Ciudad Real,12
Maybank HC,5
SDC San Antonio,6
Club Balonmano Ciudad Real,11
Maybank HC,12
Shabab Al-Bireh Institute,13
VCU Rams men's soccer,22
VCU Rams men's soccer,16
SDCサン・アントニオ,3
Sliema Hotsticks Hockey Club,19
Maybank HC,12
Al Sadd Handball Team,1
Shabab Al-Bireh Institute,17
SDC San Antonio,12
Club Balonmano Ciudad Real,17
Tulsa Golden Hurricane men's soccer,11
Akron Zips men's soccer,3
Al Sadd Handball Team,62
Al-Rayan SC Handball Team,22
Портланд Сан Антонио,1
Sliema Hotsticks Hockey Club,14
Maybank HC,9
Minija Kretinga,25
Shabab Al-Bireh Institute,6
VCU Rams women's soccer,32
Club Balonmano Ciudad Real,18
Akron Zips men's soccer,12
"Al-Arabi (Saudi Arabia, handball club)",7
Cincinnati Kids,2
Sociedad Deportiva Cultural San Antonio,13
Cincinnati Kids,19
FIU Panthers men's soccer,16
Портланд Сан Антонио,16
Shabab Al-Bireh Institute,4
SDCサン・アントニオ,17
