http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Unión Deportiva Lanzarote,6173
Эпиналь (футбольный клуб),8380
SC Fürstenfeldbruck,5126
Unión Atlético Maracaibo,40747
CD Numancia B,999
Gabala FK,1712
Futbol'nyj Klub Stal' Kamians'ke,3347
Playas de Castellón FS,6396
Union Sportive Boulogne Côte d'Opale,15741
ASC Police,12187
Fussballclub Naters,2832
Каламата (футбольный клуб),3478
Баскония (футбольный клуб),8016
НАК Бреда,17239
FC Naftan Navapolatsk,5207
Borgosesia Calcio,2111
Titanes de Tulancingo,2716
Club Deportivo Universidad de Concepción,29058
Harimau Muda A,26548
サンティアゴ・モーニング,5171
ES FC Malley,3093
SV Spittal,7180
Futbol'nyj Klub Rostov,12523
Sriwijaya FC,26162
1. Fußball Club Gera 03 e.V.,13775
HNK Gorica,7798
Krabi FC,6180
Formartine United F.C.,2085
AS Cherbourg,8050
Sorrento FC,4627
F.C. New York,4104
SV Grödig,3658
Extremadura UD,12762
CA River Plate (Montevideo),5904
FK Rostów,16086
贝林佐纳足球俱乐部,6311
卡瓦拉竞技俱乐部,10608
Tur Turek,2
アレマ・インドネシアFC,39356
Interblock Ljubljana,486
PFC Chernomorets Burgas,1822
墨尔本胜利足球俱乐部,49125
Maghreb Fez,48320
United Petrotrin,9620
Al-Shamali AC,14741
安祖荷姆斯足球會,3703
Nadi F.C.,15776
FK Rostov,15395
San Diego Sockers (2009–),16238
Club Irapuato,28606
SC Düdingen,2517
Finance and Revenue FC,40799
Al-Qowa Al-Jawiya,10101
FSV Zwickau,8706
Al-Sadd Sports Club,10762
De Treffers,4140
UC Ceares,1467
Kickers Emden,8444
Chiangrai United F.C.,14538
Ciudad de Lorca CF,2053
CD Idoya,843
Turbine Halle,1128
NSTG Asch,2584
FK Kuban Krasnodar,31967
FK Dainava Alytus,3429
Club Sportivo Italiano,7156
Myny-Futbol'nyj Klub Lokomotyv Charkiv,1593
Nõmme Kalju FC U21,376
K. Londerzeel S.K.,2223
NAC Breda,21185
CSD Independiente del Valle,9469
ヒバーニアンズFC,4235
نادي دلكورد,5650
Audax Italiano,10081
Portonovo SD,5048
Fotbalový Klub Dukla Praha,9193
Grasshopper Club Zürich (femminile),1193
Macaé Esporte Futebol Clube,17
カーシャルトン・アスレティックFC,5106
Persib Maung Bandung,37905
Pécsi Mecsek FC,7917
Sociedade Desportiva Juazeirense,7660
Ubon United F.C.,4895
Pahang Football Club,39707
Grønlands Seminarius Sportklub,2184
Club Atlético Rentistas,9392
A.C.D. Nardò,4327
CA Boca Unidos,12402
GPS Portland Phoenix,4681
ŽNK Pomurje,1618
CP Villarrobledo,6446
Borussia Verein für Bewegungspiele Neunkirchen,28325
Tak Chun Ka I,1779
CS Unirea Sânnicolau Mare,82
Southern Oregon Fuego,1715
TSVハルトベルク,4517
نادي فيتيبسك,8278
León Huánuco,15312
Bucheon FMC Best WFC,31019
Barenburger Sportverein Kickers Emden e.V.,7038
Impuls Sports Club Erebuni Dilidjan,1367
Club Deportivo Eldense,4031
Atlanta Beat,7234
Tschernomorez Pomorie,2167
Sporting Clube da Praia,8583
Granada CF,25774
NK Rudar Velenje,2602
Sriwijaya FC,22350
Montego Bay United F.C.,6909
Unión Deportiva Santa Marta,1545
FC Callatis Mangalia,5631
Ventforet Kōfu,15478
Académico do Aeroporto,7827
NK Interblock,577
阿拉伯承包商SC,32604
Mika Erywań,7518
法拿莫達利體育會,8824
Kano Pillars FC,25538
FC Hradec Králové,7752
Atlético Desportivo Moma,10
Olympique Saint-Quentin,9111
SpVgg 07 Ludwigsburg,20848
KMKM FC,5373
Saint George Sports Club,31000
JK Vaprus Pärnu,1679
JEF United Ichihara Chiba,18782
Каталле Тояма,32535
Yadanarbon Football Club,18125
IF Älgarna,2868
Yokohama Flügels,11656
Sportverein Spittal an der Drau,5596
Diósgyőri VTK,11779
泰羅芬斯體育會,4543
奧利維倫斯體育會,3962
Kano Pillars F.C.,28659
Nauti F.C.,1693
Sporting Plaza de Argel,269
Futbolniy Klub Ural,10056
"Олимпиакос (футбольный клуб, Волос)",9918
Pego CF,1031
FC Bern,13606
Vannes OC,10394
نادي ييدزين,25332
UCAM Murcia Club de Fútbol,6106
FK Ameri,1093
CD Miajadas,3040
AC Maceratese,5310
Real Club Celta de Vigo,33344
Boca Unidos,13178
Shabab Al-Dhahiriya SC,26118
FCジンブル・キシナウ,9421
Club Atlético River Plate (Puerto Rico),11656
A.T.A. (Greenland),1896
SSラツィオ,64874
Club Malvín,810
Brusque Futebol Clube,5934
Asociación Deportiva Limonense,2423
Tours Football Club,14942
Olympic Azzaweya SC,7353
CS Avion,4547
Grønlands Seminarius Sportklub,2128
Pretoria University Football Club,11701
Club Deportivo Unión Juventud,24060
Víkingur Gøta,1984
Fútbol Club Andorra,2219
Football Club de Sète 34,8152
Club Deportiu Masnou,2219
AD Dili Oeste,4390
NK Iskra Bugojno,13555
Olympique de Khouribga,9300
亚布洛内茨足球俱乐部,5608
Desportivo Manica,9495
Dunakanyar Vác FC,12943
Pol. Arzachena,3203
Sepahan Novin F.C.,5181
Fotbal Club Vaslui,7187
Millwall Lionesses L.F.C.,19231
Idrottsklubben Sirius,5854
FK Polimlje Murino,86
FC Cortaillod,485
Sociedad Deportiva Atlético La Albericia,808
Persipura Jayapura,25163
Víkingur Gøta,2086
Unión Sporting Club (Lavadores),2507
FK Makedonija GP Skopje,2920
FC Orenburg,8353
Village United FC,3388
Ayacucho FC,16395
Makói FC,2239
C.D. Plaza Amador,6586
ENPPI Club,17710
NK Rudar 47,496
Hakoah Amidar Ramat Gan,9080
Club Deportivo Laudio,3745
Tamanuku,1534
アビスパ福岡,20384
Al-Ansar (Beirut),21092
Hakoah Amidar Ramat Gan Football Club,7755
JS Kairouan,27959
Al-Sailiya Sports Club,25825
Northwood F.C.,3005
Racing Club Haïtien,9081
Football Club Iskra-Stal Rîbnița,4039
Аль-Вакра (футбольный клуб),9857
Club Atlético Huracán (Tres Arroyos),8249
ديلا غوري,4288
Real Potosí,27257
SD Salvatierra,908
Fotbal Club Nistru Otaci,2279
TSV Amicitia Viernheim,3745
C.D. Arcense,6487
Deportes Naval de Talcahuano,8477
Мажейкяй (футбольный клуб),2321
Akonangui FC,3759
"Беласица (футбольный клуб, Струмица)",6447
OC Vannes,8247
CSD Comunicaciones,16204
Colo Colo de Futebol e Regatas,8861
Dolina Padina,1056
Кортулуа,16024
