http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/areaTotal
Jogindarnagar,310966968
Taiamã Ecological Station,102414259
Estação Ecológica de Taiamã,103213505
Gwaldam,1006084
Juami-Japurá Ecological Station,9546963708
"Evansville, Indiana",104794211
Evansville (Indiana),132799077
Evansville (Indiana),139752571
Jari Ecological Station,1973011287
Kalimpong,1210628858
Estación ecológica Río Acre,630710357
Evansville (Indiana),125130893
Kurseong,4881250
埃文斯維爾 (印第安納州),112545283
Uruçui-Una Ecological Station,1247397745
