http://dbpedia.org/ontology/Sea,http://dbpedia.org/ontology/areaTotal
Mer d'Irlande,42540593192
波斯湾,262563856466
Morze Karaibskie,2791703266544
Morze Bałtyckie,348568837255
アドリア海,128421693366
Mar de Java,299698633640
Тиморское море,620185691224
Ierse Zee,37307346787
Mer Méditerranée,2388247074801
Mer d'Irminger,764925000593
Morze Tyrreńskie,229641436818
Laptev Sea,872662934151
Morze Północne,580157237726
Norwegian Sea,1465075023649
Mare interno di Seto,19344691616
Mar de Irlanda,46703088978
拉克代夫海,678858071839
Scotiazee,902951343527
Mar Egeo,199096125683
Amerykańskie Morze Śródziemne,3982521253923
البحر الأبيض,102143153918
Mare di Barents,1135526320232
Stac Levenish,21601
Morze Lincolna,66021230866
Mer de Timor,540699473358
Egeïsche Zee,233929976322
بحر أندامان,648657301262
亞速海,38954682142
Andamanse Zee,705530818448
Botnik Północny,46013575521
Laccadive Sea,775252298775
Timor Sea,748902982568
アイリッシュ海,46279395806
Mare d'Irlanda,57457179111
North Sea,678905896120
Beaufort Sea,183112631264
Irminger Sea,777699239135
Baia di Baffin,847157658312
Irische See,42895208747
Лабрадор (море),988892007714
伊爾明厄海,967885382637
Mar Adriático,145997943321
Mar Baltico,359188410045
Mer Adriatique,144213337291
Karazee,822995008279
Stac Levenish,23326
Scotiasee,934440927077
Mer du Groenland,1266786563860
Chukchi Sea,623355029134
بحر النرويج,1108051005102
Korallenmeer,4533899325388
Morze Ochockie,1577615194090
American Mediterranean Sea,4122036476880
Mar da Irlanda,43883800838
Лаккадивское море,925024473055
Stac an Armin,111652
Schwarzes Meer,377371761804
Tyrreense Zee,244050681321
斯科舍海,939673360090
Java Sea,353811795975
Mar dei Coralli,3780467993561
