http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Puch bei Weiz,2139
Liebenau (Alta Áustria),1704
Saint-Luc (Valais),2042
"Iskra, Kuyavian-Pomeranian Voivodeship",121
Wilkowo Nowowiejskie,178
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",999
Dompierre-sur-Nièvre,149
Río Segundo (cidade),23564
Coin-lès-Cuvry,687
Torrente de Cinca,934
Němčice nad Hanou,2293
"Zano, Bam",981
Langeneß,118
Saint-Sauveur (Finistère),870
贝恩多夫 (莱茵兰-普法尔茨州),484
Le Plessis-Hébert,399
Perreux (Loire),2421
Крепи (Эна),1836
"Tila, Chiapas",73816
Mée,163
Kirchdorf an der Krems,3920
Sankt Martin am Wöllmißberg,882
Ahillones,1095
Taufkirchen an der Trattnach,1694
Dommartin-le-Saint-Père,252
"Waltham Township, LaSalle County, Illinois",460
Le Plessis-Pâté,3869
Nandgaon (Uttar Pradesh),12172
Soisy-sur-École,1253
Neuenkirchen (Landhagen),2301
Tales,803
Montagny-près-Louhans,426
Bevern (Holstein),691
Boissy-lès-Perche,542
"Siget, Novi Kneževac",293
Ист (остров),166
"Brzeziny, Biłgoraj County",170
Aappilattoq (Qaasuitsup),197
Trou-Bonbon,5517
Padma (Hazaribagh),43101
Vigneux-de-Bretagne,4703
伦塔,823
Saint-Sauveur (Gironde),1498
Morašice (district de Znojmo),283
Gournay-en-Bray,6079
Tusk-e Sofla,564
Suri (Birbhum),65591
Gmund am Tegernsee,7649
Сен-Сатюрнен-де-Лен,316
Königsfeld im Schwarzwald,5754
Mahou (Mali),17290
"Pleasant Valley Township, Dodge County, Nebraska",228
Lolme,121
Marsac (Creuse),760
Úmbria,1016446
"Bryn Mawr, California",206
"Municipio de Cedar (condado de Nance, Nebraska)",114
"Mesta, Bulgaria",269
Biskupice (Pobiedziska),1167
Strombeek-Bever,11080
"La Forge, Vosges",576
Gans,191
Barzan,457
Ahigal de Villarino,37
"Municipio de Braceville (condado de Grundy, Illinois)",7149
"Carnet, Manche",515
Pommiers (Loira),413
Luzino,6651
Marey-lès-Fussey,55
El Alia,23135
"Offham, Kent",629
La Celle (Allier),366
"Municipio de Genoa (condado de Nance, Nebraska)",270
Montagny-près-Louhans,430
"Bartow, West Virginia",114
"Akbarabad, East Azerbaijan",103
Fara Novarese,2034
Ar-Rastan,30045
Gans,199
Boissy-Mauvoisin,669
Curon Venosta,3064
زعفران عليا (مقاطعة إسلام آباد غرب),544
吉梅莱卡斯卡代,595
"Grasshopper Township, Atchison County, Kansas",617
Saint-Saturnin (Charente),1403
Němčice (Prachatice District),200
忠県,669711
Saint-Sauveur-de-Meilhan,213
Lavardin (Sarthe),850
Sosa (Eibenstock),1906
Aizumisato,24039
Saint-Sauveur-de-Peyre,262
Mikulovice (Morávia do Sul),593
Celle (Var),1203
Le Plessis-Placy,290
Dompierre-sur-Charente,563
Saint-Sauveur (Haute-Saône),2229
Carbonate,2894
Lignerolles (Allier),791
Sunyer,316
Dommartin-lès-Cuiseaux,768
Montagny-Sainte-Félicité,342
Villedieu-la-Blouère,2267
ロスタ,5169
Fors (Deux-Sèvres),1363
Hamr (Jindřichův Hradec),381
Fara Gera d'Adda,8379
Ongar,6898
Boissy-Maugis,471
Jelen Do,153
La Celle (Varo),1248
Grunwald (Grunwald),887
特劳恩河畔魏斯基兴,3200
Gaza,481611
Berlin-Blankenburg,7962
Schloßberg (Steiermark),1044
"Condorcet, Drôme",453
Le Tremblay-Omonville,251
كورفيرا دي تورانزو,2130
Spitz (Austria),2164
"Reti, Pakistan",15397
North Lakes,12238
Bute (Australië),230
Département de Río Segundo,116825
Белло (Мёрт и Мозель),665
Pepperell (Massachusetts),9629
Lor (Syunik),327
Olmedo,3135
Monforte d'Alba,1898
Akhmeta (municipalité),40972
Saint-Sauveur-la-Vallée,32
Везенберг (Гольштейн),970
グァンタナモ州,564865
Rewal,1038
"Dompierre, Oise",187
Pers-Jussy,2251
São Cristóvão do Sul,4656
Suri,59689
Saint-Parize-en-Viry,169
Dommartin-lès-Vallois,72
"Agios Dimitrios, Cyprus",51
Campana (Panamá),2059
Marsac-en-Livradois,1342
ザムトゲマインデ・ベーヴェルン,7784
Kopp (Allemagne),205
Dommartin (Ain),831
Ormesson,256
Pigna (Italia),821
Selva di Progno,1067
Olmedo (Espanha),3525
Carville-Pot-de-Fer,115
Bartow (Niemcy),573
Бартов (Мекленбург),590
Biskupice Radłowskie,1068
Dobromilice,839
Saint-Cyprien (Lot),325
Trient VS,1989
"Charmoille, Haute-Saône",440
"Pleasant Township, Wabash County, Indiana",2091
غرادسكو (فيليس),2516
Martell,949
"Fowlerville, Livingston County, New York",211
洛弗附近圣马丁,1119
Vol'skij rajon,29721
"Samandar, Iran",174
Лимбах (Фогтланд),1584
Beauregard (Lot),300
Коп (город в Германии),220
北区 (浦項市),288327
Aappilattoq (Kujalleq),147
Le Plessis-l'Évêque,246
Leménil-Mitry,3
Blain,7823
Паска (Тюрингия),123
Kruklanki,1113
Wieden (Badenia-Wirtembergia),579
鬱南県,349178
"Arauco, Chile",35465
"Eel Township, Cass County, Indiana",19931
لاور دين,119
Gmina Grand Meadow (hrabstwo Cherokee),181
Piombino Dese,9249
Tlacolula de Matamoros,15568
Hamry nad Sázavou,1394
