http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
萊克斯維克,338434413
喬治亞州,167605593479
Евнакер,216279268
Montana,394680711373
Stafford County (Kansas),2238033545
Квитесэйд,595799378
Hrabstwo Finney,3714771122
Ringsaker,1107905979
バッファロー郡 (サウスダコタ州),1435504170
Flakstad,199080508
Vestre Toten,239303983
Hrabstwo Amite,1836329233
エドワーズ郡 (カンザス州),1439521038
"Лайон (округ, Кентукки)",471706166
Gjerstad,351851606
Flekkefjord,553398441
Namsos,835788359
"Baraga County, Michigan",2445814163
Маннар (округ),1846483323
Hrabstwo Boundary,3149630727
Gamvik (gemeente),1519116603
Hrabstwo Geary,908087126
Hrabstwo Buchanan (Missouri),876330948
Contea di Bowman,3130530855
ベントン郡 (アーカンソー州),2035166528
Hemsedal (gemeente),591172253
Balestrand,379703468
Vadsø,1265680730
مقاطعة بالدوين (ألاباما),3699095465
Condado de Sheridan (Kansas),2677731654
Ерстад,272106053
Fusa,336660866
Skodje,120626302
Condado de Bexar,3775288512
Hrabstwo Bay (Floryda),2526184230
Condado de Anderson (Texas),2739521328
アダムズ郡 (ペンシルベニア州),1247978622
"Bø, Telemark",248654065
Selbu,1178997745
Согндал,886596326
Boone County (Arkansas),1438523371
Hrabstwo Travis,2739184233
德拉门,108617024
Lund (Norwegen),398757594
"Atlantic County, New Jersey",1606648566
布尤納維斯塔縣,1660698352
Crawford County (Kansas),1456058619
レーロース,1841696183
Kvænangen,2007256829
Condado de Haskell (Kansas),1351990249
Contea di Baker (Florida),1738696202
Condado de Bowie,1992803362
Comté d'Amelia,1001945276
比爾縣 (德克薩斯州),2594835708
Condado de Butler (Missouri),1955362994
Contea di Morris (Kansas),1564620240
Aure,636263132
Breckinridge County,1567977619
Aurland,1408661255
Benson County,3343107274
Lesja,2390195604
Фитьяр,141231421
"De Baca County, New Mexico",6273349268
カラショーク,4551119487
Eidsvoll,371319357
Comté de Bond,997293649
布洛克县 (亚拉巴马州),1625222362
Comté d'Atoka,2367374209
Oklahoma,164359545249
Lurøy,261712071
"Anderson County, Kentucky",562818401
Nordkapp,862767912
Steigen,1086602268
Condado de St. Clair (Alabama),1831735228
Hrabstwo Amelia,768580315
ポタワトミー郡 (カンザス州),2448388924
Hrabstwo Rawlins,2986836674
Kristiansund,88093966
ブキャナン郡 (ミズーリ州),1018120200
Comté de Benton (Washington),5063946350
"Benton County, Tennessee",953804837
"Адамс (округ, Айова)",968602387
阿勒根縣,2210503119
Hrabstwo Burleson,1885701790
Tana (Finnmark),2824069571
奧德班縣 (愛阿華州),1093844526
Contea di Berrien (Georgia),1249655363
Colombo (district),685314543
Bibb County (Alabama),1594665258
Contea di Smith (Kansas),2490025257
Malvik,185943603
Vågsøy,140742040
Nordre Land,826983910
"Донифан (округ, Канзас)",989474198
Ohio,93078273920
Vågå,1055586006
馬瑟于,1114386460
"Команчи (округ, Канзас)",2236269452
مقاطعة بتلر (ألاباما),2415148443
摩麗絲區,36356354705
Østre Toten,434092254
Gol (Norvegia),530114113
Hægebostad,432764502
Hjartdal,606004311
アウドレイン郡,1878449724
阿格德內斯,314759887
"Стаффорд (округ, Канзас)",2327883008
賓厄姆縣 (愛達荷州),6718250440
Mauricie,33855200244
Moss (Norvège),65954392
Alger County,2210283809
Lødingen,620385889
Hrabstwo Wilson (Kansas),1596161335
Condado de Anderson (Kansas),1630179656
Rollag,424542654
カータレット郡 (ノースカロライナ州),1425108675
Delaware,6294871998
Namsos,849441495
Ibestad,216585478
مقاطعة فرانكلين (تينيسي),1255789178
Hof (Norvège),150718658
Contea di Montgomery (Kansas),1667578823
Bergen County,742326372
Маркер (Норвегия),428778820
Dovre,1472992417
Skedsmo,66781312
孫達爾,1570115200
Hrabstwo Addison,1773686469
Kvæfjord (Kommune),472622614
Atlantic County,1660228107
Condado de Brantley,1304887449
Frøya (Sør-Trøndelag),228671782
ساربسبورغ,425676018
Meland,101093896
Georgia (staat),158550372636
Tana (Norvegia),3746799688
Lanaudière,11432557027
布拉福縣 (佛羅里達州),679532548
內瑟比,1663005121
Condado de Boundary,2979131244
Karasjok,4920689976
Løten,460502790
Capitale-Nationale,15582521477
Outaouais,27599346500
سنيلفيورد,504016269
Contea di Angelina,2209203520
Brunswick County (Virginia),1391174232
Agdenes,252498194
Condado de Seward (Kansas),1433002644
Condado de Bergen,556671634
Karasjok (gemeente),5243486330
Distrito de Trincomalee,2907338880
Аскволл,349374256
Hemnes,1221884874
阿斯克沃爾,354241370
博根縣,629308416
