http://dbpedia.org/ontology/SoccerClub,SoccerClub,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,4
http://dbpedia.org/resource/2014–15_Viborg_FF_season,2014–15 Viborg FF season,25
http://dbpedia.org/resource/CWKS_Resovia,CWKS Resovia,21
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,16
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,3
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,13
http://dbpedia.org/resource/Tenaga_Nasional_Berhad_HC,Tenaga Nasional Berhad HC,17
http://dbpedia.org/resource/Vipers_SC,Vipers SC,16
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,30
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,17
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,19
http://dbpedia.org/resource/Tacoma_Tides,Tacoma Tides,19
http://dbpedia.org/resource/Los_Angeles_Skyhawks,Los Angeles Skyhawks,1
http://dbpedia.org/resource/FK_Bratstvo_Cijevna,FK Bratstvo Cijevna,6
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,9
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,2
http://dbpedia.org/resource/Vipers_SC,Vipers SC,26
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,28
http://dbpedia.org/resource/Sport_Bissau_e_Benfica,Sport Bissau e Benfica,16
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,36
http://dbpedia.org/resource/Vipers_SC,Vipers SC,28
http://dbpedia.org/resource/Chhlam_Samuth,Chhlam Samuth,3
http://dbpedia.org/resource/Vipers_SC,Vipers SC,2
http://dbpedia.org/resource/Tacoma_Tides,Tacoma Tides,2
http://dbpedia.org/resource/HSG_Wetzlar,HSG Wetzlar,23
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,26
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,14
http://dbpedia.org/resource/Tenaga_Nasional_Berhad_HC,Tenaga Nasional Berhad HC,16
http://dbpedia.org/resource/2003–04_Manchester_City_F.C._season,2003–04 Manchester City F.C. season,25
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,28
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,33
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,7
http://dbpedia.org/resource/FK_Cetinje,FK Cetinje,45
http://dbpedia.org/resource/CWKS_Resovia,CWKS Resovia,18
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,10
http://dbpedia.org/resource/Tacoma_Tides,Tacoma Tides,5
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,35
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,23
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,21
http://dbpedia.org/resource/F.C._Cape_Town,F.C. Cape Town,16
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,28
http://dbpedia.org/resource/Vipers_SC,Vipers SC,3
http://dbpedia.org/resource/Benadir_SC,Benadir SC,33
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,1
http://dbpedia.org/resource/Chhlam_Samuth,Chhlam Samuth,8
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,14
http://dbpedia.org/resource/UR_La_Louvière_Centre,UR La Louvière Centre,21
