q 25,18,99,201,300.75
q 75,300,1500,3000,4500
Min,6,30,60,90
max,300,1500,3000,4500
median,79.5,390,808.5,1255.5
avg,137.69,682.75,1366.58,2069.16
stddiv,127.76,633.08,1265.55,1899.65
,,,,
,V SMALL,SMALL,MEDIUM,LARGE
,99,1500,3000,300
,63,1500,345,108
,9,165,3000,4500
,300,156,3000,261
,6,219,129,1326
,300,123,3000,1134
,105,198,3000,153
,48,168,87,777
,300,1500,3000,963
,21,1500,3000,234
,84,240,3000,108
,189,99,3000,4440
,300,81,3000,4500
,300,1500,342,4500
,300,810,738,237
,6,51,75,3000
,102,546,267,4500
,90,1500,102,1308
,300,1500,2100,3489
,108,108,231,4500
,15,252,3000,1374
,12,1500,201,4500
,300,1500,909,4500
,24,1500,1044,1038
,300,1500,2001,4500
,18,531,753,4500
,300,858,870,237
,300,78,921,2580
,36,1500,132,1596
,18,1500,936,4500
,300,36,1821,4500
,300,522,3000,4500
,6,1500,474,4500
,300,1500,3000,4500
,39,132,3000,402
,300,456,3000,4500
,300,1500,3000,111
,300,1500,1065,4500
,27,1500,363,1566
,6,1500,156,327
,300,1500,75,4500
,105,345,219,4500
,93,999,3000,4500
,21,1500,3000,756
,24,78,993,249
,300,1500,1719,300
,300,1161,156,4500
,90,435,3000,723
,18,1500,3000,4500
,15,1500,60,156
,300,378,3000,2433
,108,441,522,1641
,300,87,72,474
,6,99,3000,663
,42,36,1113,495
,300,36,846,504
,204,1479,2043,4500
,87,321,102,600
,300,258,156,372
,300,51,99,4500
,15,78,219,4500
,102,171,156,834
,72,108,372,4500
,27,459,1821,291
,6,30,120,438
,300,36,3000,195
,21,123,645,4500
,300,1500,3000,1128
,12,42,1095,189
,21,99,3000,4083
,300,1449,288,402
,18,171,357,4500
,171,1500,1095,210
,24,1050,765,1503
,300,180,72,4500
,30,36,3000,1698
,6,423,63,120
,300,510,693,4500
,84,30,3000,4500
,51,1221,69,105
,9,222,144,759
,300,1500,3000,4500
,33,540,3000,411
,300,60,3000,1404
,300,1500,93,4500
,300,1500,111,4500
,48,846,3000,180
,48,135,351,2541
,12,468,120,4500
,99,1500,84,4500
,6,1500,3000,4500
,33,132,3000,1536
,300,1500,3000,4500
,300,1500,3000,4500
,24,1500,1131,399
,33,510,870,666
,300,1500,3000,3663
,300,252,249,4500
,6,1500,2325,1623
,300,501,72,4500
,6,69,2442,519
,300,132,198,4353
,168,1500,360,1272
,6,33,1023,96
,21,1500,444,1530
,33,564,3000,108
,9,1500,3000,540
,6,39,219,3150
,108,96,3000,111
,9,1500,3000,93
,87,276,201,132
,231,144,2958,4500
,42,63,555,303
,36,375,756,369
,180,1359,168,513
,300,63,159,327
,162,1500,210,1383
,75,1500,87,4500
,18,45,519,237
,18,99,2721,93
,111,1500,3000,4500
,300,429,2838,252
,18,105,444,489
,48,1500,3000,147
,300,207,315,4500
,30,45,3000,3063
,9,1500,324,90
,9,87,3000,234
,300,30,3000,231
,300,423,3000,1668
,6,252,915,4500
,33,186,165,786
,255,174,399,273
,9,1500,3000,108
,300,1500,3000,4500
,300,1500,198,432
,270,144,72,4500
,300,114,252,1305
,300,33,3000,249
,75,1500,3000,4500
,300,42,1083,90
,243,54,3000,132
,6,1500,885,693
,300,948,336,234
,21,177,3000,198
,300,1500,3000,4500
,18,168,3000,105
,9,36,858,132
,45,909,60,177
,300,144,975,4500
,207,321,288,132
,300,1035,207,4500
,96,33,3000,537
,300,66,81,4500
,6,1500,3000,126
,27,42,156,2850
,300,1500,342,4500
,78,42,3000,168
,198,57,315,3111
,15,1500,3000,507
,15,81,183,111
,9,1500,1623,969
,6,1500,105,2733
,6,36,63,438
,300,1500,69,432
,6,144,3000,4500
,12,435,3000,4500
,45,30,246,105
,300,42,102,4500
,33,78,165,348
,87,231,3000,1269
,36,30,72,96
,300,555,2901,135
,300,75,3000,4500
,81,78,3000,261
,33,48,87,528
,282,162,3000,558
,300,1020,3000,4500
,75,1500,234,762
,15,1500,3000,300
,15,90,3000,4500
,51,261,2073,1287
,21,30,3000,4500
,9,78,1002,135
,300,1500,774,4500
,300,84,63,624
,300,1500,417,318
,12,126,1695,4500
,6,1500,3000,411
,30,453,90,4500
,15,1500,3000,111
,300,237,72,234
,180,1500,231,3864
,300,222,273,1491
,12,414,303,159
,102,387,267,351
,288,108,3000,156
,6,108,219,1461
,15,1500,141,216
,63,1500,483,1110
,300,93,3000,108
,21,381,267,4500
,300,102,3000,4500
,300,57,483,4500
,15,1500,849,4500
,300,171,69,4500
,30,1500,504,4500
,69,546,72,4500
,6,1500,156,141
,300,1500,3000,4257
,24,1500,87,2733
,6,60,3000,546
,18,114,3000,4500
,300,1500,126,726
,15,99,642,471
,6,150,507,1182
,300,909,117,1587
,210,1419,2577,180
,27,156,441,345
,6,528,3000,4500
,75,393,192,4500
,294,180,174,453
,300,1500,90,4500
,111,240,462,300
,84,36,273,513
,300,369,186,4500
,300,117,1899,177
,54,72,3000,312
,15,486,291,1146
,39,51,117,279
,300,1500,3000,4500
,9,1500,291,1644
,27,1500,1056,4500
,27,45,789,327
,300,1500,504,1161
,42,1500,3000,4500
,300,1500,336,4500
,15,1500,330,330
,300,78,1020,1242
,300,36,174,666
,300,1500,828,1362
,90,135,3000,4500
,24,1500,63,4500
,33,1287,153,381
,12,495,3000,4500
,48,51,201,711
