http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
Condado de Box Elder,17875660052
مقاطعة بلدسو (تينيسي),953286171
切爾松,346443251
Gausdal,970328914
Condado de Lyon (Kentucky),475254089
Bay County (Michigan),1064218254
米德縣 (堪薩斯州),2366828497
Saltdal,2149692110
オレンジ郡 (カリフォルニア州),1833781897
"Антрим (округ, Мичиган)",1200868433
مقاطعة فريسنو (كاليفورنيا),12831732923
Andrews County,3710696713
Condado de Allegany (Maryland),990144972
Comté d'Allen (Kansas),1346991032
Hemne,659102322
Sandøy,21045051
"Олбани (округ, Вайоминг)",13294437639
Dovre,1193433932
McPherson County (Kansas),2657918162
فانغ (أوبلاند),1267124161
Лейрфьорд,388392573
"Vang, Oppland",1590615600
Hrabstwo Black Hawk,1778691337
Dakota del Norte,202280597764
"Бентон (округ, Орегон)",1383434348
Dyrøy,299094334
"Amherst County, Virginia",1278283108
Namsskogan,1640301308
Contea di Sherman (Kansas),2144685178
Condado de Bladen,2413689955
Hasvik,458769367
Condado de Elk (Kansas),1641018183
Lindås,433078738
Atoka County,2900892353
Condado de Banks,513655698
Alamosa County,1916420247
Comté de Franklin (Kansas),1721005939
Сконланн,421904920
Condado de Adams (Wisconsin),1609857715
Moskenes,102542235
Nord-Aurdal,970442120
Avon (Colorado),24240127
Spydeberg,121918893
カウトケイノ,7604779294
Råde,112698422
松訥,144017401
Hrabstwo Washington (Kansas),2719143715
Contea di Johnson (Kansas),1434292355
Vågå,1297062446
Bent County,3961849702
アシュランド郡 (オハイオ州),963067380
Placer County,3856290792
Lavangen,331345059
艾倫縣 (俄亥俄州),1084489795
Bremer County,977643841
"Decatur County, Kansas",1998630276
Sokndal,288503496
Sande på Sunnmøre,92629043
"Elbert County, Colorado",5204285592
Sørreisa (gemeente),341151140
勒姆斯庫格,133619517
Vågå,1172209432
ボックスエルダー郡 (ユタ州),14623388906
Comté d'Anderson (Caroline du Sud),1938586015
Osterøy,258851473
Bayfield County,3357750484
Contea di Anderson (Texas),3171974756
Рёдёй,515924099
Dakota del Sur,197435324754
Condado de Bates,2379397938
Benton County (Missouri),1851521115
"Huron County, Michigan",2352058938
Nannestad,325676307
Колорадо,267309919914
Svelvik,65029223
"Атлантик (округ, Нью-Джерси)",1251665619
Bleckley County,656415232
Contea di Elgin,1803002723
Greenwood County (Kansas),3081060747
Condado de Augusta,2889953130
Boyle County,449368551
Фоллдал,1269938402
Nøtterøy,66862306
Røyrvik,1383822452
Lavangen,321515723
Mitchell County (Kansas),2185479914
Сёмна,183731061
布盧厄斯縣 (明尼蘇達州),2109411069
Vennesla,377243787
"Атенс (округ, Огайо)",1368139685
Sokndal,281278910
ベルトラミー郡 (ミネソタ州),6246217981
مقاطعة ألاموسا (كولورادو),1881148080
Ballangen (gemeente),917170428
"Meade County, Kansas",2384739579
Tinn,1525106564
Hrabstwo Lawrence (Pensylwania),727437226
Songdalen,184738088
Huron County (Ontario),3367842369
Винье,2538633034
ماريلاند,24364218802
Hrabstwo Allen (Kentucky),941660338
Hitra,643741623
Antrim County,1178986780
Comté de Stevens (Kansas),1767476922
霍 (挪威),295829713
Hrabstwo Saline (Kansas),1679331727
阿勒根縣,2544068808
Condado de Avery,695641982
カウリー郡 (カンザス州),3042192335
Condado de Bedford (Tennessee),1265896014
ハーベイ郡 (カンザス州),1359745332
"Бритит (округ, Кентукки)",1138030914
Contea di Belmont,1454002103
Hrabstwo Adair (Kentucky),898449120
Rennebu,950882633
أيدسبرغ,235238721
Kongsvinger,814690087
Aremark,289840071
史蒂文斯縣 (堪薩斯州),1927179208
Hrabstwo Bates,2334006925
弗隆特納克縣,3654385215
Condado de Harvey,1335421202
ソノマ郡 (カリフォルニア州),3424990720
Wallace County,2036024974
"Osborne County, Kansas",2351191588
托什肯,210917428
مقاطعة بينيواه (أيداهو),1884750087
亞爾發法縣,2094663854
Vavuniya (Distrikt),2070305017
Gmina Time,152691152
Оппегор,36241335
Rissa,502561283
Sarpsborg,296004433
Dakota Północna,154388872252
烏塔韋區,34264863229
Tana (Noruega),4539249781
Lyon County (Kansas),1958379107
إينيباك,199289488
Sømna,183524055
沃爾達,664201218
Ohio,113443202205
Bardu,2572027663
Arendal (gemeente),259886921
مقاطعة أشتابولا (أوهايو),2169867715
Jondal,198443402
Stranda,760378070
سيلبو,1257688030
Rhode Island,3195344481
مقاطعة باث (فيرجينيا),1182820455
比伯县 (佐治亚州),757433339
Comté de Greenwood (Kansas),2963268667
Pulaski County (Kentucky),1578466116
Jackson County (Kansas),1414953326
Hrabstwo Allen (Kansas),1280554777
Мидсунн,94544205
Contea di Brewster,17370807632
Rice County (Kansas),1728897952
Bailey County,2706089617
Etnedal,487891108
مقاطعة إليوتينس إيست بورو (ألاسكا),17165938006
"Anoka County, Minnesota",1144809407
أوركدال,575607321
"Команчи (округ, Канзас)",2063967981
Stokke,105081573
Condado de Adams (Nebraska),1342048658
Kolorado,231470461260
オーグレイズ郡 (オハイオ州),1163319639
Клебу,169518546
Rælingen,67445133
ブレイン郡 (モンタナ州),10901838193
Notodden,1076079108
Agdenes,311018347
Haugesund,55922835
كارلسوي,1239355469
فينيه,2636758607
Барнстейбл (округ),1068753247
Bø (Telemark),252811752
Tingvoll,280923754
Jefferson County (Kansas),1309418396
Condado de Logan (Kansas),3208946243
مقاطعة بيغ هورن (مونتانا),12757364393
Jondal,260314046
ジャクソン郡 (カンザス州),1794078139
Archer County,2588702100
مقاطعة آدمز (نبراسكا),1381502778
Laurentides,21307309855
Hrabstwo Alcona,1443183958
"Banks County, Georgia",544692386
Condado de Archuleta,3616576708
Pulaski County (Kentucky),1728270974
Ballangen,812104656
مقاطعة كراوفورد (كانساس),1414747770
Vaksdal,711648719
Contea di Placer,3213682120
オーデュボン郡 (アイオワ州),1093754553
"Мэрион (округ, Канзас)",2418616134
Lindås,500491165
Connecticut,13408789213
Kongsberg,726493844
Åseral,741873137
Hrabstwo Bladen,2064183246
Changdao County,59194990
Vardø,527164873
Gjerstad,370550625
مقاطعة ليون (كانساس),2378524129
Ibestad,219205496
Contea di Bibb (Alabama),1638111444
Sauda,604875316
Barton County (Missouri),1564726052
Drammen,135431375
Hrabstwo Braxton,1450927420
Муллайтиву (округ),2787134582
Condado de Pottawattamie,3113762280
Comté de Beaver (Utah),7578107039
Condado de Antelope,2222827382
Vaksdal,834454117
Hrabstwo Armstrong (Teksas),2593604383
Condado de Ada,2859107518
Boone County (Iowa),1417122068
"Bartholomew County, Indiana",954885189
Audnedal,249597248
Contea di Baylor,2293771803
Condado de Cloud,1974484037
Stafford County (Kansas),1852450862
Beiarn,1341453718
Сёррейса,310074732
كراغرو,261762365
Flå,574923796
Ringsaker,1088986539
Comté de Garrett,1274096504
Хёугесунн,74978836
Kvitsøy,7181988
Тана (коммуна),4385888744
Condado de Berrien (Georgia),1046112893
Snillfjord,580857152
Bindal,1108754839
考利縣 (堪薩斯州),2370564619
Квинесдал,850104668
Sandøy,18580725
Lenvik,800260365
Ulvik,654731870
Condado de Bourbon (Kentucky),604995592
Løten,279920749
Hrabstwo Bay (Michigan),1226260480
Hrabstwo Baylor,2295102743
厄什塔,683359986
Contea di Newton (Georgia),713611031
مقاطعة آدمز (إنديانا),933347929
Comté de Jasper (Indiana),1481892424
Loppa,656158980
聖華金縣,3413864422
Øygarden,55431789
Nesodden,64901936
Сильян (Норвегия),198651198
Rissa (Noorwegen),564015812
ボンネビル郡 (アイダホ州),4948434351
Nærøy,887857275
勒斯特,9177623
"Breckinridge County, Kentucky",1518115560
Contea di Beckham,2342826690
Contea di Bannock,2750040668
"Бент (округ, Колорадо)",3555333324
Hrabstwo Benton (Missisipi),977463897
弗于斯克,1143884425
Leksvik,351899070
Røyrvik,1286305097
Samnanger,239127769
مقاطعة بولينغر (ميزوري),1542064309
مقاطعة برادفورد (فلوريدا),875257184
Vefsn,1737185496
アベリー郡 (ノースカロライナ州),604295650
Gran,680418321
ローレンス郡 (ペンシルベニア州),909613028
فورديه (النرويج),590371463
Nore og Uvdal,2477810373
勞倫斯縣 (賓夕法尼亞州),1111193345
托克,785157269
"Блэр (округ, Пенсильвания)",1204733576
مقاطعة بتروليوم (مونتانا),4207513610
北蘭,876271469
Parroquia de Ascension,731263365
瑟姆納,205755134
プレイサー郡 (カリフォルニア州),3063972623
Condado de Frontenac (Ontário),3593124616
Arkansas (staat),149573352977
Nes (Buskerud),714110947
Jølster,674812103
مقاطعة أليكزاندر (إلينوي),661352664
Condado de Alfalfa,2416666004
Rælingen,58968090
Comté de Russell (Kansas),1890262719
Skien,612634390
阿什縣 (北卡羅萊納州),1098682087
Condado de Clark (Kansas),2577090488
Трикомали (округ),2752536347
Masfjorden,526209620
Лёренскуг,80995646
Condado de Bland (Virginia),1044241720
Berlevåg,1072816050
Kvinnherad,956194007
Kvinesdal,894273156
Baker County (Georgia),720006828
Balsfjord,1417238301
Rindal,645645952
Hrabstwo Blaine (Oklahoma),2373811772
"Митчелл (округ, Канзас)",1615997333
Condado de Bibb (Alabama),1311597373
Augusta County,2567525328
مقاطعة أتشيسون (كانساس),1093567868
Nes (Akershus),614988396
Hrabstwo Boyd (Kentucky),474969316
Stordal,283376364
Йёльстер,698140577
"Оттава (округ, Канзас)",1520512229
مقاطعة بيغ ستون (مينيسوتا),1456634298
Comté de Pulaski (Kentucky),1959647754
Comté de Bracken,490067129
Condado de Wichita (Kansas),1761233746
Condado de Appanoose,1144843735
Franklin County (Kansas),1396565680
貝克縣 (喬治亞州),1114098664
Parafia Bienville,2169306233
Contea di Sedgwick (Kansas),2598462702
バークレー郡 (ウェストバージニア州),795841087
Tysnes,272115476
Lardal,245801974
Eid,410337010
ガンパハ県,1208610297
Frøya,202571841
Contea di Rush (Kansas),1937550306
Nesset,929867603
فارسوند,262668671
Storfjord,1301907827
Alabama,115503403379
Klepp,90258853
Hrabstwo Kearny,1859257954
Elk County (Kansas),1373167872
Condado de Benton (Misuri),1499151839
Condado de Boyd (Kentucky),370906044
アリゲイニー郡 (バージニア州),1062534581
Delaware,5849918793
苏特兰 (挪威),764961916
Rakkestad,353257279
Nes (Akershus),541220938
Tjeldsund,349971390
Adams County (Pennsylvania),1444509239
Bykle,1014108501
Flekkefjord,487675503
斯特蘭,164675627
Hrabstwo Archuleta,3170108400
Vestnes,424610873
Hrabstwo Audubon,1105708171
مقاطعة آدامز (داكوتا الشمالية),2840193542
Contea di LaSalle,3545182312
邦納縣 (愛達荷州),4854335172
威爾遜縣 (堪薩斯州),1529621471
Луннер,264229089
مقاطعة بينغهام (أيداهو),5726054169
Boone County (Arkansas),1464077416
Ness County,3021685087
"Ashland County, Wisconsin",3085968152
Dakota do Norte,185077753780
Sveio,208789494
Lørenskog,84217533
"Bon Homme County, South Dakota",1439953166
Nore og Uvdal,2316952116
Asker,98184785
Radøy,107224527
Ford County (Kansas),2537286262
梅勒于,931195149
Amherst County,1259604051
Condado de Ottawa (Ohio),547180170
Condado de Benton (Minnesota),1197448194
ウエストモーランド郡 (ニューブランズウィック州),3254046111
比縣 (德克薩斯州),2611541621
伊伯斯特,255337596
"Alta, Norway",3562983797
Comté de Barry (Missouri),1900386767
Trøgstad,157152363
ألتا (النرويج),3664423465
Odda,1543644010
Gmina Skånland,438463354
Hattfjelldal,2239076779
Gampaha (district),1272326943
Contea di Kearny,2335186697
"Coffey County, Kansas",1763949412
كوفيورد,1038821095
مقاطعة أوتوغا (ألاباما),1554112862
Condado de Benton (Tennessee),889707320
順昌県,1811128242
Hrabstwo Orange (Kalifornia),2392083868
Radøy,98515935
布拉佐里亞縣,4213562984
"Ярмут (графство, Новая Шотландия)",2262003592
Condado de Bandera,1668826941
Condado de Banks,640601280
Contea di Allen (Kentucky),880025582
Sør-Odal,502074575
Hrabstwo Mono,7232899400
Tromsø,2426687159
"Ben Hill County, Georgia",708314054
Kvalsund,1775009646
Eidfjord (gemeente),1052937528
Contea di Jefferson (Kansas),1350176788
Saline County (Kansas),1647614524
凱恩縣 (伊利諾伊州),1267083541
مقاطعة بولدر (كولورادو),1993155943
バス郡 (ケンタッキー州),613536006
Maine (États-Unis),78246718071
Appanoose County,1200701024
Benton County (Minnesota),1126182650
Condado de Cheyenne (Kansas),2509230048
Карасйок,5112514083
Leirfjord,467907979
Gratangen,289661104
"Смит (округ, Канзас)",2277815132
Ваксдал,674768259
エセックス郡 (オンタリオ州),1655201543
Ashland County (Wisconsin),2641008866
Comté de Sonoma,4393959613
مقاطعة بوربون (كنتاكي),849401938
Vermont,24310253732
Osborne County,2323894427
رينغساكر,988810284
Eidfjord,1465467134
Sauherad,293612645
Inderøy,342257515
Condado de Butler (Kansas),4505000378
Nord-Odal,571339403
Hamarøy,1023813085
Wallace County,2247917056
Giske,40694171
リレハンメル,463359823
Naustdal,302947650
Ullensvang,1403086012
Rooks County,2421210134
"Бэрроу (округ, Джорджия)",490246445
Skiptvet,103915589
Horten,69191454
索姆奈縣 (堪薩斯州),2381560036
Øystre Slidre,985533863
Nøtterøy,66049344
Comté d'Adams (Pennsylvanie),1480309895
アームストロング郡 (テキサス州),2610794704
Condado de Bolivar,2274785500
Modum,411995969
Målselv,3579386419
Contea di Bernalillo,2749329921
ブラクストン郡 (ウェストバージニア州),1167185867
"Сарри (округ, Северная Каролина)",1154549912
纳帕县,1747035817
霍爾默斯特蘭,89176557
Meldal,571351547
Smøla,270375101
Sola (Noruega),59731592
Contea di Alpine,1953708953
Hrabstwo Marion (Kansas),2713973116
Meldal,487778214
Fjaler,357251437
Arapahoe County,1843603599
Tromsø,2667490717
Condado de Pottawatomie (Kansas),2051995025
"Bernalillo County, New Mexico",3061188023
Bernalillo County,2524319292
Вефсн,1647480550
Comté de Boone (Nebraska),1714865236
Osen,327186204
奧斯伯恩縣 (堪薩斯州),2530733663
布萊恩縣 (奧克拉荷馬州),2746356050
ベンソン郡 (ノースダコタ州),3470865318
Hrabstwo Arenac,854916895
比爾肯內斯,636224556
Comté de Bourbon (Kentucky),660273958
Nedre Eiker,107193674
Marshall County (Kansas),2207924850
Condado de Surry (Carolina do Norte),1430345250
Pennsylvania,137060886829
Contea di Berkshire,2522503414
Boone County (Illinois),673733307
休倫縣 (安大略省),2889764700
مقاطعة رايس (كانساس),2049532210
Maine,85249856768
بودو (مدينة),1433192293
"Adams County, North Dakota",2834455306
Arendal,260679799
Hrabstwo Bosque,2254381769
Hrabstwo Harvey,1365369079
Jølster,582227386
Meland,78261858
Stokke (gemeente),116416956
مقاطعة ألباني (نيويورك),1546072077
مقاطعة تشيس (كانساس),2113613695
Tønsberg,118480719
Vinje (Noorwegen),2956767952
謝爾曼縣 (堪薩斯州),2560768644
"Трэйлл (округ, Северная Дакота)",2186490160
"Bibb County, Georgia",791719421
Стурфьорд,1392126053
Condado de Lyon (Kansas),2073527509
Farsund,225829454
安纳波利斯县,3417965085
Porsgrunn,140456626
Bergen County,662449556
Bledsoe County,827031503
Melhus,630018173
Gulen,634768121
روروس,1520072173
Okręg Aleutians East,18992110967
卡尼縣 (堪薩斯州),2295269809
Baxter County,1582491851
"St. Clair County, Alabama",1831254271
مقاطعة بارين (كنتاكي),1340094699
Condado de Pawnee (Kansas),1780918336
Stokke,95923521
Aure (Noorwegen),776675564
Gjesdal,633166712
Condado de Armstrong (Pensilvânia),1689957168
ブルース郡,3439981546
Hrabstwo Ben Hill,542592753
Condado de Bourbon (Kansas),1618545021
Comté de Braxton,1128232981
Marnardal,417795610
Inyo County,26163117258
"Кларк (округ, Канзас)",2743527618
Comté d'Ottawa (Ohio),575900390
Contea di Arapahoe,2135908786
"Addison County, Vermont",1706536406
Contea di Berkeley (Carolina del Sud),2754007657
Condado de Neosho,1570253169
Mannar District,1600385020
Contea di Bay (Michigan),1345387251
مقاطعة براتسوز (تكساس),1349829268
Nesseby,1533160294
奈于斯特達爾,341251319
أورلاند,68136780
Condado de Ottawa (Kansas),1825056662
"Bourbon County, Kansas",1412028514
"Amelia County, Virginia",861263954
"Huron County, Ontario",3583441611
Krødsherad,408803813
Hrabstwo Douglas (Kansas),1191891346
Condado de Bradford (Pensilvania),3470204653
نيس، آكرشوس,600716857
Bremanger,672178341
Condado de Benewah,1876380526
Мандал,210394007
Bedford County (Tennessee),1289340356
Hrabstwo Jewell,2717557041
Kvinnherad,1208567097
Pingtan County,390470299
Sund (Hordaland),100687056
Sarpsborg,368820321
Samnanger,236393759
مقاطعة غرينوود (كانساس),2868361706
Tranøy,462402418
Condado de Allen (Kentucky),865046840
Vang,1110909033
Condado de Archuleta,4086208967
ビエンビル郡 (ルイジアナ州),2351079187
Nordreisa,3435193713
Condado de Jewell,2198412915
Boyle County,434436523
"Sumner County, Kansas",2771947700
مقاطعة بارو (جورجيا),320958411
Aure,569089697
"Johnson County, Kansas",1336631160
Hrabstwo Bath (Kentucky),774514188
Condado de Alcorn,1014229141
Rana (Norvegia),3751294354
Batticaloa District,2216416767
Contea di Pawnee (Kansas),2083036641
Notodden,943930665
Averøy,168085493
比弗黑德縣,14991705250
Merced County,4394564553
Finnøy,101692939
مقاطعة بنسون (داكوتا الشمالية),3448406539
Comté de Beaver (Oklahoma),4030349776
Leka (Norwegen),124334328
Comté d'Aurora,1636326186
Gjemnes,339564642
Condado de Elko,40876430516
Contea di Audrain,2012796791
Bolivar County,2324041093
Zhenxiong County,3709190935
Colombo (district),559649470
Condado de Bingham,5858217888
Mauricie,31876691546
Paróquia de Bossier,2221888515
Sandøy,18467486
"Осейдж (округ, Канзас)",2117725596
"Augusta County, Virginia",2438882708
Contea di Benewah,2211501054
"Rice County, Kansas",1988424721
مقاطعة فرانكلين (تينيسي),1436716756
Dovre,1450532633
Comté de Bon Homme,1461594200
Contea di Cook (Illinois),2424962883
"Брекинридж (округ, Кентукки)",1333181207
Bartow County,1356669749
Fjell,151463367
Gol (Noruega),496470961
セジウィック郡 (カンザス州),2226368212
艾于蘭,1556723149
渥太華縣 (堪薩斯州),2059393642
Comté de Borden,2557080275
Louisiana,98981885775
Contea di Ness,2833179134
Hrabstwo Allen (Ohio),1085601102
霍寧達爾,213754200
Contea di Box Butte,2938767230
Comté d'Autauga,1276271347
Vennesla,402132131
Hrabstwo Berrien (Michigan),1508266927
亞他斯科沙縣,2949505551
ホッジマン郡 (カンザス州),2440641375
Sør-Aurdal,917213856
Condado de Bergen,539332260
Yarmouth County,2229417447
Ulstein,108917236
Транёй,528496280
Broadwater County,3262481703
"Bledsoe County, Tennessee",1121684540
Condado de Boise,5154859136
Шиптвет,99115232
ルッパ,753139087
Lierne (Noorwegen),2304343841
布恩縣 (阿肯色州),1528602440
Hasvik,682881094
Dovre,1323894798
Askim,58679254
Усен (Норвегия),348477730
弗拉克斯塔,139076960
貝縣 (密歇根州),1065749740
Condado de Bracken,540150879
Condado de Dickinson (Kansas),2363067591
Condado de Tuscola,1844403032
Condado de Bolivar,2637411106
Contea di Androscoggin,1339028151
Condado de Santa Cruz,1232406426
Hrabstwo Barton (Missouri),1375963099
Vevelstad,533774589
布里瓦德縣 (佛羅里達州),2743314652
Comté d'Asotin,1708499255
مقاطعة ألين (كانساس),1224631286
Condado de Allen (Kentucky),878164813
Contea di Orange (California),1971442759
Krødsherad,290944281
Condado de De Baca,6478041450
Condado de Arapahoe,2009119043
Сискию (округ),17521067623
Stordal,244390140
Stanton County (Kansas),1830285028
亞當斯縣 (印地安納州),860566545
Alstahaug,163514887
Vardø,661618612
Adams County (Colorado),3365742771
Comanche County (Kansas),1632272731
Nordkapp,865885749
Bærum,158765421
Condado de Lincoln (Kansas),1804953203
Beaver County (Pennsylvania),1109188048
"Amite County, Mississippi",1649487355
Storfjord (Kommune),1556135368
Ulstein,78458386
Condado de San Mateo,1291022698
