http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Schneider Kreuznach,639
Howaldtswerke-Deutsche Werft,2056
Bay View Bank,720
Companhia Brasileira de Aluminio,6929
Restaurant Brands,4290
ペガサス航空,3555
Bergenshalvøens Kommunale Kraftselskap,1128
Bestinvest,505
أستيلاس,14384
Axel Springer (entreprise),15768
Bank of Ireland,12934
ICON Aircraft,87
LG顯示,47113
Krones,14706
Frontiers Media,143
Mobexpert,3222
Taito (entreprise),659
Lyon & Lyon,255
Abiomed,782
BAE Systems Inc.,43493
LGT Bank,1847
IGM Financial,4882
جوال (شركة إتصالات),861
Siemens Healthcare,47681
China National Nuclear Corporation,113008
WuXi PharmaTech,6641
Disqus,62
Nutreco,10789
Eidos Montreal,444
Amer Sports,7348
UCoz,105
Nordea,27567
Lumon,832
SEAT,12834
Jawwal,1060
Pinsent Masons,2351
BankAtlantic,1004
National Bank of Uzbekistan,9977
テキサス・インスツルメンツ,29182
MRV Engenharia,5996
Spotify,1874
Limagrain,7947
Calumet Photographic,195
Strands,93
Grupo Petrópolis,2244
T-Mobile US,51170
Empire Resorts,314
Sunwing Airlines,1431
Tavant Technologies,1348
Umicore,12943
Mexx,5289
Trex,731
Pacific Data Images,378
Spotify,1665
Daegu-Gyeongbuk Free Economic Zone,158
ヴァンシ,170284
National Mineral Development Corporation,5533
Oyak Renault Otomobil Fabrikaları,6282
Partners Harvard Medical International,55
Luxottica,69191
Marvelous Entertainment,201
Conseil international pour les initiatives écologiques locales,186
Emsa (article ménager),259
Jayco,2063
Jerini,119
Beter Bed,2536
Energy Transfer Partners,4908
HSBC Bank Bermuda,995
Nude Maker,12
DLF (company),10963
GFI Group,1893
Volkswagen AG,542634
Australia and New Zealand Banking Group,54810
ديجيتال إكوبمينت,123518
Continente (Supermarket),29195
Kao Corporation,40848
إي إف,36426
Sensory Sweep Studios,97
Kaspersky Lab,3008
Coop Norge,2418
Belle International,64309
SouthPeak Games,107
ヌードメーカー,12
Nintendo Entertainment Analysis & Development,780
Dubek,234
加拿大滙豐銀行,5213
P&H Mining,2323
FEXCO,1913
Lionbridge,9874
Procter & Gamble,125922
Bugatti Automobiles SAS,71
ViaSat,2584
Rouses,4106
Julius Meinl,546
バーダル,33
Whirlpool Corporation,90603
KLMオランダ航空,34784
Tamedia,3264
Charles River Ventures,21
Viverso,128
Oxford BioMedica,66
Cumerio,695
Anglo Irish Bank,0
Paz Oil,1893
Wells Fargo,235670
SieMatic,537
カナダ原子力公社,2763
Medical Mutual of Ohio,2443
JTEKT,10399
Zoho Corporation,4892
مجموعة الخرافي,17735
Mizuho Financial Group,57482
MLP AG,1315
Bavaria,1056
ArticlesBase,14
Schering AG,27027
Grezzo,57
Milestone (compañía),16
Bombardier Aerospace,19223
Pacific Access,83
川崎重工業,38084
ヘイズ・スペシャリスト・リクルートメント,7175
FirstGroup,115557
日立製作所,408278
Saxo Bank,1322
Agrale,12081
GFI Group,1803
Caleres,11944
Old Dutch Foods,1032
ブラジル・フーズ,113022
Fitch Ratings,1693
スターム・ルガー,1782
大日本住友製藥,6998
Petrof,1053
ThyssenKrupp,155363
GGB Bearing Technology,1011
Warner Music Group,3000
Bwin,1787
"Герцог, Фокс и Неэман",297
Enagás,1312
China Resources Vanguard,15266
京福電氣鐵道,832
PrivatBank,0
Cellcom (Israel),7071
Qt Development Frameworks,166
SieMatic,510
Cavalier Corporation,1013
三越伊勢丹控股,18965
Selex ES,14452
神華集團,195013
Intelsat,957
Oliver Typewriter Company,854
Cambridge Antibody Technology,317
セブン-イレブン,45548
Warner Music Group,3372
Id Software,176
Cing,28
Océ,20716
PSION,790
Wincor Nixdorf,7802
Riot Games,1055
CBS Films,19
WH Group,60944
Gyldendal,368
Ace Hardware,84953
Uber (entreprise),8199
TeliaSonera,31670
Imperial Chemical Industries,23518
Indra (azienda),37879
Pegasus Airlines,3642
Mitsubishi Research Institute DCS,1615
Opel,36497
Mashable,118
Fibria,14668
ロビンソン・ヘリコプター,1496
