http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Limbach (Baden),5167
Berndorf (Salzburg),1820
City of Botany Bay,32732
Lány (Vysočina),62
布瓦西莫吉,398
Lagny-le-Sec,1706
"Jazan, Alborz",329
Frymburk,1133
圣西普里安 (卢瓦尔省),2335
Ilhas Menores Distantes dos Estados Unidos,268
Рафах (город),177605
"Milburn Township, Custer County, Nebraska",82
Saix,194
São Cristóvão do Sul,5060
Stambridge,614
Saint-Saturnin (Cantal),233
Frymburk (Boêmia do Sul),1422
Saint-Sauveur-de-Peyre,251
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",911
"Drage, Nordfriesland",516
"Carignan, Ardennes",2808
La Marne,1323
Saint-Saturnin-de-Lucian,310
Loria,8708
Yungay,16799
Merville (Haute-Garonne),4503
Kuik-e Majid,214
Перт-ле-Бриен,80
Le Plessis-aux-Bois,220
Saint-Brice (Sena y Marne),743
جزيرة بمبا,463369
Municipio de Pleasant (Illinois),931
Rückersdorf (Niederlausitz),1835
L'Épinay-le-Comte,197
"Krishnanagar, Nepal",20446
Saint-Sauveur (Somme),1130
Gaza,472759
"Матаморос (Чиуауа, муниципалитет)",5352
Saint-Sauveur-sur-École,1240
Dźwirzyno,564
L'Hôpital (Moselle),6372
Campana (Francja),22
Montastruc (Tarn i Garonna),194
Viry (Jura),971
Roșiori (Brăila),2697
ベシエール,3681
圣萨蒂尔南德吕西昂 (埃罗省),282
Kněžice (Jihlava District),1615
Powiat Kladno,121945
"Pommiers, Aisne",695
Wieden (Badenia-Wirtembergia),530
Lora de Estepa,873
Salim Chaf,362
"Steinfeld, Mecklenburg-Vorpommern",570
Gmina Terweł,15372
Montastruc (Altos Pirenéus),302
Lichnowy (powiat malborski),982
Ampani,4778
Carnet,555
塞瓦斯托波爾,339456
Adjamé,340872
"Potto, North Yorkshire",314
"Biskupice, Częstochowa County",752
"Angara, Andhra Pradesh",13370
Le Plessis-Grammoire,2180
"Ziyaret, Kozluk",382
Villedieu-le-Château,338
Alto (Piemont),113
Grandfontaine-sur-Creuse,69
Dayu County,348944
Boissy-Lamberville,288
Damery (Marne),1316
Ribera del Fresno,3072
Ongar,5643
زيويه (سقز),307
Sankt Martin im Mühlkreis,4228
Al-Qa'im (distrito),156
特里比恩鎮區 (格里利縣),1243
Oliva de la Frontera,6011
Janów Podlaski (plaats),3254
Dommartin-le-Coq,68
Bousse (Sarthe),426
Königsfeld im Schwarzwald,5753
"Mineral Township, Barry County, Missouri",916
Dommartin (Rodano),2797
Malla (Barcelona),233
Damery (Marna),1558
Talki (województwo warmińsko-mazurskie),211
Сен-Максимен,617
Damery (Somme),197
