http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Greek football transfers summer 2010,19
List of French football transfers summer 2013,9
Lisbon Lions,7
List of Greek football transfers summer 2010,24
List of Japanese football transfers summer 2012,8
1999 Indiana Hoosiers men's soccer team,20
List of Hungarian football transfers winter 2013–14,39
Delta Queens,3
2014 Indonesian Inter Island Cup qualification squads,96
Charlotte 49ers men's soccer,20
2013–14 UEFA Youth League squads,47
2008–09 Paris Saint-Germain F.C. (Ladies) season,10
List of Chinese football transfers summer 2010,41
2013 FIFA Club World Cup squads,3
2014 Indonesian Inter Island Cup qualification squads,31
Elencos da Copa do Mundo de Clubes da FIFA de 2013,39
Клубный чемпионат мира по футболу 2008 (составы),24
2010–11 Querétaro F.C. season,1
2006 FIFA Club World Cup squads,17
List of South Korean football transfers winter 2011–12,27
List of Russian football transfers summer 2012,56
2003–04 Fulham F.C. season,16
Radford Highlanders women's soccer,23
Radford Highlanders women's soccer,15
Los Angeles Skyhawks,14
2002–03 Manchester City F.C. season,26
List of Cypriot football transfers winter 2013–14,104
UMBC Retrievers men's soccer,15
Lijst van Bundesliga-transfers zomer 2013,34
2010 FIFA Club World Cup squads,1
2008 FIFA Club World Cup squads,18
List of Estonian football transfers winter 2012–13,22
Virginia Cavaliers men's soccer,23
List of Russian football transfers winter 2010–11,7
List of Cypriot football transfers summer 2013,32
List of Latvian football transfers summer 2012,14
1980 CIS Men's Soccer Championship,18
List of North American Soccer League transfers in 2014,27
List of Belgian football transfers winter 2013–14,38
List of Maltese football transfers summer 2010,24
List of German football transfers summer 2012,27
List of Chinese football transfers summer 2010,32
Akron Zips men's soccer,9
2010–11 Jaguares de Chiapas season,25
Full Members Cup 1988-89,1
List of Russian football transfers summer 2010,83
2010–11 Puebla F.C. season,14
List of Bulgarian football transfers winter 2011–12,23
UC Santa Barbara Gauchos men's soccer,17
Manchester City Football Club 2000-2001,15
2010–11 Estudiantes Tecos season,23
2010–11 Querétaro F.C. season,27
Union Royale La Louvière Centre,7
List of Belgian football transfers summer 2014,44
List of German football transfers summer 2009,31
List of Albanian football transfers summer 2010,7
Delaware Fightin' Blue Hens men's soccer,13
2010–11 Deportivo Toluca season,8
List of Mexican football transfers winter 2013–14,6
Eredivisie 2010/11 (mannenvoetbal)/Transfers winter,11
1999–2000 Blackpool F.C. season,14
South Florida Bulls men's soccer,7
List of Russian football transfers winter 2009–10,36
List of Maltese football transfers summer 2009,20
List of German football transfers summer 2010,7
List of German football transfers summer 2010,1
List of Mexican football transfers summer 2012,23
List of Russian football transfers winter 2011–12,21
List of Azerbaijan football transfers summer 2009,45
Sportsklubben Brann 2006,11
Clemson Tigers men's soccer,8
List of Macedonian football transfers winter 2014–15,9
Клубный чемпионат мира по футболу 2008 (составы),17
2014–15 UEFA Youth League squads,2
List of Iranian football transfers winter 2013–14,60
List of Mexican Football Transfers Winter 2011–12,18
List of Bulgarian football transfers summer 2013,28
List of South Korean football transfers winter 2013–14,6
List of Maltese football transfers summer 2009,15
Ignition de Détroit,6
New Mexico Lobos men's soccer,30
List of South Korean football transfers winter 2011–12,4
List of Chinese football transfers winter 2014,51
Elencos da Copa do Mundo de Clubes da FIFA de 2010,12
List of Hungarian football transfers winter 2013–14,104
Cal Poly Mustangs men's soccer,22
Penn State Nittany Lions men's soccer,23
