http://dbpedia.org/ontology/Train,http://dbpedia.org/ontology/weight
E-class Melbourne tram,65058295
CAF Civity,88034130
V250 (train),407989889
Sydney Trains T set,41239795
D-class Melbourne tram,30975240
TGV Atlantique,409142651
TGV POS,353030780
Siemens P2000,38753255
Automotrice RhB ABe 4/4 III,49605591
TGV Réseau,358754812
E7 Series Shinkansen,433105482
ČD Class 471,164452982
TMK 101,13836792
Mitsubishi Heavy Industries Crystal Mover C810,14065955
Ban’etsu Monogatari Gō,33383299
IC4,152976383
CRH3,376177086
TT Class 8,22825525
Alstom AGV,232669256
81-760/761,36535286
Sydney P-Class Tram,16821494
ICE-3列車,362666317
British Rail Class 350,215568259
Stadler KISS,336572412
JR西日本321系電車,261408357
السكة الحديدية البريطانية فئة 365,141728920
R8A (New York City Subway car),25055224
General Utility Van,31030373
Talgo AVRIL,312598382
NZR RM class (Silver Fern),123351299
ニューヨーク市地下鉄R142A電車,32615657
ICE 1,52003329
Bombardier BiLevel Coach,45435132
HHA Typ DT3,45771152
Serie 120 de Renfe,253076471
Série 81-740/81-741,39038726
RENFE Class 120 / 121,202056175
Dieselmaterieel '90,109212707
VRSm3電車,338271954
Shinkansen-Baureihe N700,605097261
RABe 520,97054107
SJ Y6,18487826
BM70,194413435
NSB Class 92,61288847
British Rail Class 312,157634314
British Rail Class 438,34756725
ICE 2,388477023
SJ X14,111162677
British Rail Class 501,116463092
シンガポール地下鉄C751B形電車,195676977
H-series (Toronto subway),25241275
TGV Thalys PBKA,327046355
KTM Class 83,118485844
Treno Servizio Regionale,57164229
Tatra T6A5,20618923
SL X10p,28547211
新幹線N700系電車,809157125
マッターホルン・ゴッタルド鉄道Deh4/4 51-55形電車,45455573
South African Class 5M2,64665555
马来亚铁路91型电力动车组,227137610
C-class Melbourne tram,30318826
SJ X9,99635673
Ultra Dome,97700527
ČSD Class EMU 29.0,31409650
British Rail Class 465,121534858
R188 (New York City Subway car),27619103
レンフェ102系,271911163
Baureihe 401,45878626
Sleeper Either Class,50029105
Wagon de garnison Peacekeeper,255371958
AGV,305520806
新幹線E4系電力動車組,457987375
Sri Lanka Railways S8,81929656
Shinkansen série E7,601883707
British Rail Class 165,71493761
British Rail Class 153,42680890
R42 (New York City Subway car),27321333
JKOY Class Sm5,141621666
British Rail Class 350,162285382
EN57,117248021
ロンドン地下鉄A60・A62形電車,29605245
British Rail Class 442,210896848
Talgo AVRIL,274590737
DR Class 270,68443836
DRG Class ET 125,49911820
B-class Melbourne tram,31128685
TCDD MT5200,81695141
Automotrice RhB ABe 4/4 II,42172292
Amfleet,50633938
R62 (New York City Subway car),33667315
ČSD Class EMU 89.0,53018098
Renfe série S-120,261865949
SBB RAm TEE / NS DE IV,267248875
British Rail Class 411,198873360
NSB Class 62,47640856
Вагон метро 2009 серии,172520300
SL X60,216895218
Automotrice à grande vitesse,269378183
FS Class ETR 470,740894331
R11/R34 (New York City Subway car),32745698
Acela Express,503406414
Shinkansen série E5,530506595
SNCF Class Z 9500,124001403
Tatra KT4,22764465
British Rail Class 395,277610067
Valmet RM 2,24131349
South Australian Railways Bluebird railcar,57962028
London Underground A60 and A62 Stock,31133083
Stadler GTW,59275814
R68A (纽约地铁车辆),41102972
MTR CNR Changchun EMU,16091636
MR-63,23160108
BVZ ABDeh 6/6,65185314
新幹線E7/W7系電力動車組,567844994
马来亚铁路81型电力动车组,102437312
RŽD-Baureihe ЭС250,358916058
ETR 460,461359386
Keystone (train),40262599
British Rail Class 377,213641051
BB Fe 2/2,10484625
シンガポール地下鉄C651形電車,34039660
RENFE Class 592,118299878
ICE 1,53972735
MF 01,135412059
レーティッシュ鉄道ABe4/4 51-56形電車,48385412
Séries N700 - Shinkansen,826201712
ЭМ167,57801481
ICE 1,797002828
NSB 73,222043447
Séries E4 - Shinkansen,466107063
RhB ABe 4/4 (Réseau de base),34189327
Pafawag 5Bs/6Bs,159991613
British Rail Class 139,11636123
Сапсан (электропоезд),557390325
DR-Baureihe ET 91,40586122
JR北海道キハ160形気動車,33601099
British Rail Class 221,218471030
Red Devil (interurban),20845291
Canadian Light Rail Vehicle,39163513
ICE 2,384520607
ICE 1,758567989
CRH1,483651419
デンマーク国鉄IC3型気動車,105150584
British Rail Class 185,178321598
