http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Stayton High School,687
"Carrollton High School (Carrollton, Georgia)",1435
布拉格捷克理工大学,21534
"St. Xavier's School, Godavari",871
"Abraham Lincoln High School (Des Moines, Iowa)",2088
Coleg Meirion-Dwyfor,22021
Cleveland Institute of Music,396
North Hall High School,1077
Мессинский университет,22272
Georgia Institute of Technology,28463
Universität Ryūkyū,8875
"Riverside Junior/Senior High School (Boardman, Oregon)",423
Aysgarth School,166
East Central College,2886
Our Lady of Perpetual Help School,356
Kühne Logistics University,167
Bethel Park School District,5095
Kirkcaldy High School,1060
University of Nottingham,43747
"University of Applied Sciences, Mainz",4527
Belarusian State Medical University,5894
جامعة ريدجو كالابريا المتوسطية,11
Università Araba di Beirut,12468
Tomken Road Middle School,1339
John Leland Center for Theological Studies,56
Dover High School (New Jersey),758
"Ursuline High School, Wimbledon",1251
Oriel High School,1272
Llantarnam School,1354
Cégep de La Pocatière,2103
Harper School (Oregon),103
Clay-Chalkville High School,1295
Freeport High School (Maine),501
Central York School District,5916
Trion City School District,1187
Wetherby School,276
Justin-Siena High School,549
Nipomo High School,1311
Католический университет Лилля,26398
大葉大學,12657
"St Dunstan's School, Glastonbury",635
Bradley Stoke Community School,1191
Université des Indes occidentales,40675
Stockholm University,77871
达喀尔大学,58499
Collegium Civitas,2298
George Mason-universiteit,41899
John Stark Regional High School,690
Universidade de Simon Fraser,40756
Universiteit van Ghana,38756
"Colerain High School (Cincinnati, Ohio)",2150
Hoover High School (Alabama),2750
Aldine High School,2378
Dollar Bay High School,283
The International School of Penang (Uplands),574
Universiteit van Molise,8364
Warminster School,657
Oberoi International School,1694
John G. Diefenbaker High School,1590
Piedmont College,2554
Cleeve Park School,975
Utrecht University School of Economics,923
"Friends' School, Lisburn",874
University of Swaziland,5755
Geneseo High School,685
Université de commerce international et d'économie de Shanghai,9343
North Oconee High School,942
Smith-Cotton High School,875
カルダス大学,11
College of Southern Maryland,28247
Université Alexandru Ioan Cuza de Iași,24187
University of Modena and Reggio Emilia,17908
Truro School,947
Universität Reggio Calabria,9
Universidade Federal Rural do Rio de Janeiro,13115
"Dunbar High School (Dayton, Ohio)",521
陳瑞祺（喇沙）書院,1194
Pasco High School,1853
High School for Recording Arts,213
Grenoble Institute of Political Studies,1994
"El Dorado High School (Placerville, California)",1247
Università degli Studi di Cagliari,27756
Pontotoc High School,755
Vale High School,293
Universiteit van Silezië,34082
Parthenope University of Naples,12013
McGuffey High School,939
"Warren High School (Warren, Illinois)",120
North-Eastern Federal University,15411
リール第1大学,17654
Bolsa Grande High School,1517
Basic Education High School No. 9 Mawlamyine,2784
Université nationale Taras-Chevtchenko de Kiev,22960
College of San Mateo,9902
馬禮遜美國學校,66
Technische Universiteit van Mauritius,3976
Technische Universiteit Kaunas,8433
Université d'État de Savannah,4517
Sidney High School (Nebraska),384
Blacklick Valley School District,654
Università degli Studi di Teramo,7934
Colegio Ponceño,846
サレルノ大学,35074
Livingstone Adventist Academy,228
Colony High School,2820
مدرسة هونغ كونغ الدولية,2349
Université islamique de Médine,19081
Walter Reed Middle School,2154
Lackawanna Trail School District,1096
Birmingham Blue Coat School,1
清泉インターナショナルスクール,825
Dryden High School,587
Peabody Magnet High School,687
Российско-таджикский (славянский) университет,2982
Дартмутский колледж,5315
Natick High School,1676
Katholische Universität von Temuco,10644
威廉米特大学法学院,271
Mid-State Technical College,7070
Epworth School,847
Elida High School (Ohio),1129
Université de Lviv,11920
كلية هارفرد للأعمال,2063
Université George Mason,31846
Sullivan County School District,763
Bolton Sixth Form College,1957
International Christian School of Vienna,233
Libera Università Internazionale degli Studi Sociali Guido Carli,6133
Windermere Preparatory School,1326
Augusta Preparatory Day School,557
Université de Kinshasa,25219
Line Mountain Jr./Sr. High School,662
"North High School (Eastlake, Ohio)",1488
長春理工大学,19749
Université de Séoul,13443
Cowichan Secondary School,1529
Academia de Artes da Islândia,444
Shiraz University of Technology,1103
University of Santa Monica,548
Universidad Tecnológica Chalmers,13112
Université de Reggio de Calabre,11
Armand Hammer United World College of the American West,51
Col·legi Casp,1799
Université catholique de l'Ouest,11653
Mid Valley School District,1919
William A. Hough High School,2756
Sparrows Point High School,891
Broadland High School,793
The Hill School,47888
Black Mountain College,1193
Zurich University of Applied Sciences,13780
Università Tecnica di Lisbona,23195
オスナブリュック大学,10738
Saint Louis University Laboratory High School,2709
Northern Nash High School,1338
"Junípero Serra High School (San Mateo, California)",838
King Edward VII School (Johannesburg),1292
Mount Graham High School,133
Chryston High School,1788
Lisle High School,605
Hudson High School (Wisconsin),1706
エクス＝アン＝プロヴァンス政治学院,2167
Rogers High School (Arkansas),1843
Shanghai University of International Business and Economics,9684
Bristol Borough School District,1423
Beaverton High School,1619
Asutosh College,3904
桂林理工大学,33082
The Bear Creek School,710
Mascoutah Community High School,989
Mount Morris Consolidated Schools,669
University of Illinois at Chicago College of Dentistry,391
"Northwestern High School (Maple, Wisconsin)",381
Universidad Politécnica Estatal de San Petersburgo,32259
Cadet College Hasan Abdal,1
Bellefonte Area School District,3462
Universidad de Stavanger,11005
Waverly High School (Kansas),123
Flint Hill School,1157
ANU College of Physical and Mathematical Sciences,2167
Westonbirt School,180
Father Leo J. Austin Catholic Secondary School,895
City Christian Schools,265
Università di Richmond,578
Cape Breton Highlands Education Centre,377
哈佛大学文理研究生院,3373
Nogales High School (Arizona),1662
E. L. Crossley Secondary School,897
"Don Bosco School, Park Circus",3540
Anne Arundel Community College,46794
Three Lakes High School,64
Universität Stockholm,77410
Islamische Universität Medina,23075
Westview High School (San Diego),2423
University of Hawaii,53573
Universidad Nacional de San Antonio Abad del Cusco,17693
Angelo State University College of Graduate Studies,672
La Joya Community High School,1649
Escuela Nacional de Santa Brígida,971
Harper College,52597
جامعة الشمال الغربي مدرسة فينبرغ للطب,718
University of Iloilo,6589
SUCCESS Academy,411
Little Flower Academy,487
Backwell School,1489
Hostos Community College,6336
Nationale Forschungsuniversität für Elektronische Technologie,4711
Strong Vincent High School,645
Universidad de Concepción,25761
Dartmouth College,5012
Moniteau School District,1228
"Zahira College, Colombo",5061
Lindenhurst Senior High School,2466
Arlington Heights High School,1532
Morton Ranch High School,4015
Marche Polytechnic University,17200
Smoky Hill High School,2393
High Arcal School,1337
哥伦比亚大学,22081
Eagle Point High School,1125
"Anglo Chinese School, Klang",1147
Vignan University,6195
Universiteit van Niš,26192
Blackheath High School,728
卡尔斯鲁厄理工学院,22907
Санкт-Петербургская художественно-промышленная академия имени А. Л. Штиглица,1180
Branham High School,1387
British School in the Netherlands,2699
South Eugene High School,1542
ESME Sudria,1326
Università di Tunisi,27620
