http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Hejian,783911
Dalkhola,67260
Lapanga,7356
Cartersville,19125
Ranipur,16488
Kanazawa,426123
Waszkowce,5333
Dhilwan,6116
Mahemdavad,37112
Fatehganj Pashchimi,20248
Bolechów (miasto),20507
Niederstotzingen,5151
جمبي (مدينة),477269
Shergarh,12713
Chhachhrauli,8492
Ramgarh Cantonment,774744
Moriguchi,140194
萨姆塔尔,17781
Ундзен (город),49552
Vartej,9070
Čornomors'k,55387
Tsurugi (Tokushima),11661
Alcaudete,10678
Colonelganj,27557
Venturosa,16599
Сантипонсе,6440
ميتو (إيباراكي),307382
Bhagwant Nagar,32667
Treguaco,5562
Reasi,33320
Hola Prystan,18072
Colina (Cile),98192
Lehragaga,20036
Labbaikudikadu,9650
Kalayat,17119
Chebba,30287
Алькоркон,129304
Parbbatipur,7782
Kamjanka,15009
Schydatschiw,10075
Piplya Mandi,16702
Mulchén,25345
Tanakpur,35376
Calapor,10398
Sakhanu,6699
هامبتون (تكساس),132
Nargund,35184
Rudbeneh,4357
Machados,10579
Mukatsar,98824
Chuxiong,515746
Фуэнте-Обехуна,4643
Los Muermos,19364
Mitoyo,74638
Katghar Lalganj,666742
Landhaura,26560
Godhar,10209
港北區 (日本),335180
Махабан,8412
卡緬卡-布濟卡,12520
Puerto Serrano,6523
Huajuapan de León,36531
Pipiganj,11282
Auraiya (Indie),60133
Rasra,540431
"Aweil, South Sudan",32727
莫吉利夫-波季利西基,31814
Baft,36420
Kurume,294824
Abidjan,5505234
Tumaco,191948
"L'Île-Cadieux, Quebec",117
Fermont,3047
Aizuwakamatsu,121011
Curacautín,14414
Achalpur,550732
"Salehabad, Ilam",2100
库埃佩姆,16141
Sébastopol,451016
Nandurbar,341581
Risia Bazar,14134
ウドギル,89592
Mücheln (Geiseltal),8745
Omitama,58298
Alagoinhas (gemeente),114614
Nuapatna,12228
Franklin (Wisconsin),39108
Araioses,38193
Sakhanu,9176
Busko-Zdrój (district),67954
Kuraoli,24069
乌德吉尔,95859
Gariadhar,30002
Nowshehra,9082
Nandura,42402
Исламабаде-Герб,89074
Khamaria,23882
Mahroni,7674
تويوهاشي (آيتشي),327282
卡拉奇耶,7483
Tilpat,5982
アカリグア,194669
Hébron,224308
Devsar,10636
Ratia,34730
Teocuitatlán de Corona,11083
Huajuapan de León,37820
Dhaurehra,20531
"Shiura, Aomori",2841
萊奧瓦,10216
Imizu,79899
Farafangana,26016
Tantoyuca (Veracruz),26972
Fuenlabrada,180861
Bahman,5772
Dhahran,111668
Freelandgunj,14654
Кайвано,35892
Gelgaudiškis,1933
Khosrowshahr,9881
Vergara (Uruguay),3380
Valpoi,7780
Sougueur,87349
Unquillo,16336
Samurou,13463
Dineshpur,8320
Мукури,30962
香取市,60435
Hafshejan,23773
Chitrakoot Dham,54838
Ciudad Nezahualcóyotl,1066137
Kelachay,10068
Basaria,4587
Halvad,22469
Naqneh,6628
Atsugi,201129
Salatiga,182729
Rafah,174324
Panipat Taraf Rajputan,20830
Lushui,723000
Omuta,124945
Ciudad de Río Tercero,51594
Shrigonda,24424
Battambang,143259
Raipur Rani,6277
Haaren (Aachen),13142
Vapi INA,27273
Cachi (localidad),1949
González Catán,186178
Jejuri,13079
Forbesganj,46645
Gorontalo,181583
Obiliq,18654
Kalmunai,85732
Пилар (муниципалитет),1
Tanda (Rampur),33651
Dumai,266720
Saunkh,9643
Nagur,3612
Моделу (Санта-Катарина),3653
Nanakvada,8917
格拉內羅斯,31171
Aalborg,105890
Ramallah,27807
Baliari,11395
سينشي (مدينة),736493
Villamanrique de la Condesa,4850
Radechiw,11378
Chillán Viejo,26787
Pokrow (Ukraina),41468
North Dumdum,235475
Santa Coloma de Gramenet,127533
Padampur,17604
Tentha,7567
Machalí,44370
Khamaria,28682
Apóstoles (Misiones),27040
Tanna,4026
Taltal,12718
Channapatna,61833
Bahuwa,8954
北九州市,1059653
北安市,536611
Suzano,281314
Kodala,11176
Chalala,15863
داريان,9086
