http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Meelin GAA,10
Fortuna Ålesund,6
HSG Wetzlar,6
Sport Bissau e Benfica,23
UR La Louvière Centre,32
HSG Wetzlar,92
Vipers Sports Club,11
2002–03 Manchester City F.C. season,1
Sport Bissau e Benfica,10
Shandong Province Youth Football Team,36
山东省男子队 (2011年),23
Sport Bissau e Benfica,13
2015–16 KS Cracovia (football) season,7
2004–05 Manchester City F.C. season,1
CWKS Resovia,12
Sport Bissau e Benfica,19
Vipers Sports Club,16
UR La Louvière Centre,10
Manchester City Football Club 2003-2004,8
HSG Wetzlar,5
Tipografía Nacional,3
Tipografía Nacional,7
FK Cetinje,18
Banaadir Telecom FC,27
Toledo Balonmano,3
Sport Bissau e Benfica,8
Manchester City Football Club 2004-2005,7
山东省男子队 (2011年),33
Resovia Rzeszów,9
Tipografía Nacional,21
HSG Wetzlar,17
UR La Louvière Centre,8
Los Angeles Skyhawks,5
HSG Wetzlar,3
2015–16 KS Cracovia (football) season,26
Los Angeles Skyhawks,6
FK Cetinje,15
2003–04 Manchester City F.C. season,9
2002–03 Manchester City F.C. season,13
Sport Bissau e Benfica,18
Vipers SC,23
Manchester City Football Club 2002-2003,39
Manchester City Football Club 2003-2004,24
Tipografía Nacional,2
UR La Louvière Centre,1
Vipers SC,12
Union Royale La Louvière Centre,9
Tipografía Nacional,19
Habib Bank Limited Football Club,1
Tipografía Nacional,6
Habib Bank Limited Football Club,13
Meelin GAA,4
CWKS Resovia,12
HSG Wetzlar,36
Los Angeles Skyhawks,19
Handballspielgemeinschaft Wetzlar Handball,17
FK Bratstvo Cijevna,7
Sport Bissau e Benfica,17
Sport Bissau e Benfica,3
Meelin GAA,19
Benfica de Bissau,6
2013–14 Maccabi Tel Aviv F.C. season,16
Handballspielgemeinschaft Wetzlar Handball,26
Benadir SC,22
HBL FC,8
Manchester City Football Club 2003-2004,14
2003–04 Manchester City F.C. season,19
Manchester City Football Club 2003-2004,7
2015–16 KS Cracovia (football) season,36
2003–04 Manchester City F.C. season,15
Manchester City Football Club 2004-2005,2
2003–04 Manchester City F.C. season,2
Benfica de Bissau,4
Manchester City Football Club 2003-2004,33
HSG Wetzlar,25
Manchester City Football Club 2004-2005,22
2003–04 Manchester City F.C. season,14
CWKS Resovia,5
FK Cetinje,17
UR La Louvière Centre,21
HSG Wetzlar,18
Tacoma Tides,2
2004–05 Manchester City F.C. season,11
Banaadir Sports Club,14
HSG Wetzlar,33
FK Cetinje,3
Tacoma Tides,1
Manchester City Football Club 2004-2005,28
2015–16 KS Cracovia (football) season,75
Toledo Balonmano,6
Sport Bissau e Benfica,17
2014–15 Viborg FF season,13
Tipografía Nacional,13
Manchester City Football Club 2002-2003,4
Sport Bissau e Benfica,25
Shandong Province Youth Football Team,21
2003–04 Manchester City F.C. season,19
Banaadir Sports Club,6
Toledo Balonmano,1
Sport Bissau e Benfica,22
Banadir Sports Club,18
2002–03 Manchester City F.C. season,37
2004–05 Manchester City F.C. season,2
HSG Wetzlar,43
Toledo BM,25
2002–03 Manchester City F.C. season,18
Tacoma Tides,19
Manama Club,8
Tacoma Tides,17
Shandong Province Youth Football Team,27
Toledo Balonmano,10
Toledo Balonmano,12
CWKS Resovia,9
Sport Bissau e Benfica,5
2015–16 KS Cracovia (football) season,29
Resovia Rzeszów,16
Vipers SC,23
نادي إتش بي إل,6
2002–03 Manchester City F.C. season,30
HSG Wetzlar,27
Manchester City Football Club 2003-2004,10
Benadir SC,27
UR La Louvière Centre,5
Banaadir Telecom FC,18
Manchester City Football Club 2003-2004,41
Manchester City Football Club 2004-2005,18
