http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Ikaria (Regionalbezirk),341857125
卡爾季察州,2450020292
Unidad periférica de Karditsa,3031039733
أتيكا الشرقية,1339549088
Achaea,3116175498
غرب أثينا,68518453
Atenas Septentrional,141364834
Beocia,2660915606
Kos (regional unit),305327321
Heraclião (unidade regional),2887748223
Argolide (unità periferica),2006683886
Maiao,8619590
Pieria (unità periferica),1405320501
Corfu (regional unit),601083113
وسط أثينا,95178773
Arcádia (Grécia),5794680120
Unidad periférica de Evros,4876934961
阿哈伊亞州,2839931511
カリムノス県,373598404
Argolis,1656769185
Naxos (district régional),742117365
Thesprotia,1703197277
Nationaal park Kluane,25284002779
Milos (Regionalbezirk),352517118
ماياو,8700562
Trikala (regional unit),3252331821
Kalymnos (regional unit),358785401
Salonicco (unità periferica),3247797041
Jednostka regionalna Ateny-Sektor Centralny,97729011
Béotie,2834236808
Federaal District (Brazilië),6558365653
茲拉馬州,3378068818
Ioannina (departement),5702995884
Arcadie,4372978358
Салоники (ном),3206089514
Distrito Federal (Brasil),5454645034
Jednostka regionalna Kos,390573312
派拉州,2470813183
Unidad periférica de Léucade,336082980
كورينثيا,2637539373
Korinthia,2392274267
Nomos Janina,4857257214
Ikaria (regional unit),251014355
Jednostka regionalna Attyka Wschodnia,1530840920
Trikala (Regionalbezirk),3810033443
Euritania,2094729695
Arta (Regionalbezirk),1708829118
テスプロティア県,1294000497
ヨアニナ県,5581712990
Jednostka regionalna Eubea,3997909146
Xanthi (Regionalbezirk),1549491950
Parc national et réserve de parc national de Kluane,18831482562
Réthymnon (district régional),1218985997
テッサロニキ県,3936786228
Jednostka regionalna Ateny-Sektor Zachodni,65292460
