http://dbpedia.org/ontology/SportsTeam,SportsTeam,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,12
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,17
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,16
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,17
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,12
http://dbpedia.org/resource/Sapura_HC,Sapura HC,16
http://dbpedia.org/resource/Al_Sadd_SC_(handball),Al Sadd SC (handball),69
http://dbpedia.org/resource/Sapura_HC,Sapura HC,4
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,8
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,18
http://dbpedia.org/resource/Maybank_HC,Maybank HC,10
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,23
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,16
http://dbpedia.org/resource/Cincinnati_Kids,Cincinnati Kids,13
http://dbpedia.org/resource/Sapura_HC,Sapura HC,19
http://dbpedia.org/resource/UniKL_HC,UniKL HC,21
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,20
http://dbpedia.org/resource/2013_NSCAA_Men's_Soccer_All-Americans,2013 NSCAA Men's Soccer All-Americans,7
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,10
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,3
http://dbpedia.org/resource/Syracuse_Orange_men's_soccer,Syracuse Orange men's soccer,19
http://dbpedia.org/resource/DeTas-Yayasan_Pahang,DeTas-Yayasan Pahang,1
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,28
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,16
http://dbpedia.org/resource/Markaz_Balata,Markaz Balata,5
http://dbpedia.org/resource/DeTas-Yayasan_Pahang,DeTas-Yayasan Pahang,6
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,26
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,17
http://dbpedia.org/resource/VCU_Rams_men's_soccer,VCU Rams men's soccer,28
