http://dbpedia.org/ontology/FootballLeagueSeason,FootballLeagueSeason,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/2010–11_C.F._Pachuca_season,2010–11 C.F. Pachuca season,20
http://dbpedia.org/resource/Olympiacos_B.C._season_2008–09,Olympiacos B.C. season 2008–09,4
http://dbpedia.org/resource/2007_Santiago_Wanderers_season,2007 Santiago Wanderers season,5
http://dbpedia.org/resource/2010–11_Jaguares_de_Chiapas_season,2010–11 Jaguares de Chiapas season,16
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,5
http://dbpedia.org/resource/2013–14_SC_Eendracht_Aalst_season,2013–14 SC Eendracht Aalst season,3
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,19
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,15
http://dbpedia.org/resource/1999–2000_Blackpool_F.C._season,1999–2000 Blackpool F.C. season,31
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,18
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,6
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,10
http://dbpedia.org/resource/1999–2000_Blackpool_F.C._season,1999–2000 Blackpool F.C. season,26
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,6
http://dbpedia.org/resource/2010–11_C.F._Pachuca_season,2010–11 C.F. Pachuca season,3
http://dbpedia.org/resource/2006–07_Central_Coast_Mariners_FC_season,2006–07 Central Coast Mariners FC season,5
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,13
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,23
http://dbpedia.org/resource/2007_Santiago_Wanderers_season,2007 Santiago Wanderers season,20
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,19
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,11
http://dbpedia.org/resource/2010–11_Estudiantes_Tecos_season,2010–11 Estudiantes Tecos season,3
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,21
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,13
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,20
http://dbpedia.org/resource/2006–07_Central_Coast_Mariners_FC_season,2006–07 Central Coast Mariners FC season,13
http://dbpedia.org/resource/2001–02_Fulham_F.C._season,2001–02 Fulham F.C. season,45
http://dbpedia.org/resource/2010–11_Estudiantes_Tecos_season,2010–11 Estudiantes Tecos season,6
http://dbpedia.org/resource/2010–11_Club_Necaxa_season,2010–11 Club Necaxa season,2
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,30
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,26
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,3
http://dbpedia.org/resource/2010–11_Jaguares_de_Chiapas_season,2010–11 Jaguares de Chiapas season,41
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,13
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,5
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,21
http://dbpedia.org/resource/2001–02_Fulham_F.C._season,2001–02 Fulham F.C. season,23
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,31
http://dbpedia.org/resource/2010–11_C.D._Guadalajara_season,2010–11 C.D. Guadalajara season,0
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,11
http://dbpedia.org/resource/Olympiacos_B.C._season_2008–09,Olympiacos B.C. season 2008–09,16
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,27
http://dbpedia.org/resource/2010–11_C.F._Pachuca_season,2010–11 C.F. Pachuca season,24
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,3
http://dbpedia.org/resource/2010–11_Club_Atlas_season,2010–11 Club Atlas season,3
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,22
http://dbpedia.org/resource/2010–11_C.F._Pachuca_season,2010–11 C.F. Pachuca season,12
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,15
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,16
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,5
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,14
http://dbpedia.org/resource/2010–11_Club_Atlas_season,2010–11 Club Atlas season,27
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,48
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,5
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,26
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,119
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,17
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,4
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,19
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,32
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,31
http://dbpedia.org/resource/2010–11_Jaguares_de_Chiapas_season,2010–11 Jaguares de Chiapas season,9
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,24
http://dbpedia.org/resource/2001–02_Fulham_F.C._season,2001–02 Fulham F.C. season,16
http://dbpedia.org/resource/2007_SK_Brann_season,2007 SK Brann season,12
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,2
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,22
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,28
http://dbpedia.org/resource/2006–07_Central_Coast_Mariners_FC_season,2006–07 Central Coast Mariners FC season,8
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,11
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,0
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,45
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,23
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,9
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,0
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,31
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,17
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,12
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,28
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,0
http://dbpedia.org/resource/2010–11_Querétaro_F.C._season,2010–11 Querétaro F.C. season,21
http://dbpedia.org/resource/2010–11_C.D._Guadalajara_season,2010–11 C.D. Guadalajara season,17
http://dbpedia.org/resource/2010–11_Club_Atlas_season,2010–11 Club Atlas season,13
http://dbpedia.org/resource/HNK_Hajduk_Split_statistics_and_records,HNK Hajduk Split statistics and records,8
http://dbpedia.org/resource/2010–11_Atlante_F.C._season,2010–11 Atlante F.C. season,22
http://dbpedia.org/resource/2013–14_SC_Eendracht_Aalst_season,2013–14 SC Eendracht Aalst season,11
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,23
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,5
http://dbpedia.org/resource/1999–2000_Blackpool_F.C._season,1999–2000 Blackpool F.C. season,18
http://dbpedia.org/resource/2007_SK_Brann_season,2007 SK Brann season,12
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,34
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,17
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,1
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,13
http://dbpedia.org/resource/2010–11_Deportivo_Toluca_season,2010–11 Deportivo Toluca season,5
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,20
