http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Dongfeng Motor Corporation,144924
Vyatta,47
Krones,12355
Armada Asset Management,16
Namiki Precision Jewel Co,649
ブロケード コミュニケーションズ システムズ,5036
Capybara Games,22
Cube Entertainment,50
Zynga,1477
賓利,3633
4Licensing Corporation,17
Grundig Business Systems,178
Posten Norge,22424
"Kuhn, Loeb & Co.",524
TST Overland Express,1056
OTP Bank,38135
Nex Entertainment,187
Norddeutsche Landesbank,5983
Macquarie Group,13558
Tripwire (company),299
Bain & Company,5836
Jawwal,963
Jerry's Foods,1943
Kansai Telecasting Corporation,557
Bombardier Transportation,35676
中華航空,10917
Standard Oil,61870
SIE Bend Studio,100
"Sturm, Ruger & Co.",1997
Bombardier Aerospace,27199
Safeway,251953
Beltelecom,22505
Fore River Shipyard,1065
PPC Ltd.,3178
Rodionov Publishing House,347
UCoz,94
Fluke Corporation,2492
Timex Group USA,2032
Galliford Try,5694
RWE npower,11525
Bic (компания),9225
オンタリオ・パワー・ジェネレーション,11369
Gree Electric,35931
Bank of Scotland,21447
Bentley (automóviles),3414
罗氏,86760
Rolls-Royce Power Systems,9948
Nortel Networks,18
Takumi Corporation,21
Burckhardt Compression,984
Thompson Cigar,210
Tom Tailor,6751
Marvell Software Solutions Israel,334
مجموعة الإمارات,75107
Chunghwa Post,0
De Beers,19709
Robinson Helicopter,1218
トライクレッシェンド,29
Cube Entertainment,52
アルトリア,9814
Mammoet,3522
Claas,8998
Umeme,1380
Rado (entreprise),518
Wolfire Games,4
Advent Software,1336
Philips,104191
Hargreaves Lansdown,941
EasyJet,10870
Spotify,1757
Adsmith,25
Maxell,3904
ESB Group,6987
Siemens Healthcare,47903
Enron,20946
Bose Corporation,11666
A.S. Watson Group,118530
شركة تويو تاير آند روبير,10263
Merit Energy Company,629
Marine Stewardship Council,140
Black Box Corporation,4315
Taito Corporation,546
Pinsent Masons,2711
LS Cable & System,9053
アストンマーティン,1410
Kaspersky Lab,3054
Accord (company),2641
Actavis,20448
Mary Kay,5229
Wrights Pies,478
BKW Energie,2386
Semikron,3237
Harris Interactive,732
Banco Zachodni WBK,9670
Macromedia,1446
Senate Properties,285
Camus Cognac,507
Opel,35835
Riot Games,1081
荷蘭皇家航空,33417
Hudson's Bay Trading Company,63493
Ballast Nedam,3726
Deutsche Flugsicherung,6276
漫步者,3373
H.J. Heinz Company,33215
AutoTrader.com,3339
大同煤礦集團公司,185114
Kwik Trip,12917
Volksbank Gruppe,148955
Velcro,2786
Freightliner (Bahngesellschaft),2593
Bigpoint Games,870
Geox,2439
Faronics,92
Seibu Railway,3190
AOL,6041
State Life Insurance Corporation of Pakistan,5131
Unipetrol,3570
Eastman Kodak,6859
Shmaltz Brewing Company,32
Harley-Davidson,5932
الخطوط الجوية الإيطالية,16030
MEED,123
Industrias Kaiser Argentina,8618
Forjas Taurus,3269
وكالة ترند للأنباء,147
Mainfreight,6208
Recorded Future,83
Eik Banki,330
Hybricon Corporation,92
Hino Motors,24841
Feelplus,67
Highland Capital Management,101
