http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
Sapura HC,2
UST Growling Tigers,16
Penn State Nittany Lions men's soccer,14
SDC San Antonio,9
Sapura HC,18
Tulsa Golden Hurricane men's soccer,25
BM Ciudad Real,1
Maybank HC,20
Charlotte 49ers men's soccer,17
Charlotte 49ers men's soccer,20
Radford Highlanders women's soccer,26
Saint Louis Billikens men's soccer,24
Club Balonmano Ciudad Real,6
Sapura HC,8
UniKL HC,14
VCU Rams women's soccer,13
Plataneros de Corozal,6
Club Balonmano Ciudad Real,10
Ignition de Détroit,19
Al Rayyan Handball Team,3
SDC San Antonio,3
Plataneros de Corozal,12
Charlotte 49ers men's soccer,23
Markaz Balata,7
Shabab Al-Bireh Institute,11
UST Growling Tigers,5
Syracuse Orange men's soccer,2
Al Sadd Handball Team,99
Al Rayyan Handball Team,1
Charlotte 49ers men's soccer,2
Sociedad Deportiva Cultural San Antonio,13
Penn State Nittany Lions men's soccer,26
Laguna F.C.,17
Портланд Сан Антонио,11
Akron Zips men's soccer,7
Al Rayyan Handball Team,7
BM Ciudad Real,12
Ghazir Volleyball,19
SDC San Antonio,15
VCU Rams men's soccer,35
Plataneros de Corozal,11
Al-Sadd Sports Club Handball,33
Al Sadd Handball Team,21
Sapura HC,21
Detroit Ignition,98
BM Ciudad Real,3
Laguna F.C.,1
SDC San Antonio,9
Al Sadd Handball Team,17
Minija Kretinga,19
Lekhwiya SC (handball),2
BM Ciudad Real,19
Tulsa Golden Hurricane men's soccer,3
Al Rayyan Handball Team,27
Al Sadd Handball Team,13
Ignition de Détroit,10
"Al-Arabi (Saudi Arabia, handball club)",3
SDC San Antonio,12
SDC San Antonio,2
BM Ciudad Real,8
Syracuse Orange men's soccer,10
Laguna F.C.,20
"Al-Arabi (Saudi Arabia, handball club)",4
Penn State Nittany Lions men's soccer,27
VCU Rams men's soccer,18
Club Balonmano Ciudad Real,3
Radford Highlanders men's soccer,19
Ignition de Détroit,16
Портланд Сан Антонио,11
Laguna Football Club,18
Al-Sadd Sports Club Handball,104
SDC San Antonio,19
BM Ciudad Real,5
VCU Rams women's soccer,33
Plataneros de Corozal,3
Shabab Al-Bireh Institute,1
BM Ciudad Real,3
Al Sadd SC (handball),96
Sociedad Deportiva Cultural San Antonio,15
Akron Zips men's soccer,19
2011 Western New York Flash season,2
Yayasan Negeri Sembilan HC,12
Ignition de Détroit,26
Laguna F.C.,23
Tulsa Golden Hurricane men's soccer,28
VCU Rams men's soccer,80
Maybank HC,15
Tulsa Golden Hurricane men's soccer,9
Plataneros de Corozal,9
Radford Highlanders women's soccer,26
Laguna F.C.,12
Plataneros de Corozal,2
SDC San Antonio,15
Club Balonmano Ciudad Real,14
Laguna Football Club,3
Plataneros de Corozal,2
2013 NSCAA Men's Soccer All-Americans,6
Club Balonmano Ciudad Real,12
2013 NSCAA Men's Soccer All-Americans,11
Club Balonmano Ciudad Real,7
Penn State Nittany Lions men's soccer,2
UST Growling Tigers,20
SDCサン・アントニオ,93
Al-Sadd Sports Club Handball,67
Al-Sadd Sports Club Handball,99
Sapura HC,22
BM Ciudad Real,12
FIU Panthers men's soccer,23
Club Balonmano Ciudad Real,13
Sociedad Deportiva Cultural San Antonio,1
Equipo de fútbol masculino de la Universidad de San Luis,24
BM Ciudad Real,15
SDC San Antonio,15
SDC San Antonio,14
SDC San Antonio,2
Yayasan Negeri Sembilan HC,1
Al-Rayan SC Handball Team,5
Saint Louis Billikens men's soccer,25
Портланд Сан Антонио,3
Minija Kretinga,1
Al Sadd Handball Team,95
SDCサン・アントニオ,6
Sociedad Deportiva Cultural San Antonio,4
Club Balonmano Ciudad Real,3
Detroit Ignition,6
Yayasan Negeri Sembilan HC,2
Lekhwiya Handball Team,15
Sliema Hotsticks Hockey Club,25
2011 Western New York Flash season,37
Портланд Сан Антонио,19
Syracuse Orange men's soccer,22
BM Ciudad Real,11
Maybank HC,5
SDC San Antonio,6
Club Balonmano Ciudad Real,11
Maybank HC,13
Shabab Al-Bireh Institute,15
VCU Rams men's soccer,23
VCU Rams men's soccer,16
SDCサン・アントニオ,3
Sliema Hotsticks Hockey Club,19
Maybank HC,13
Al Sadd Handball Team,1
Shabab Al-Bireh Institute,17
SDC San Antonio,13
Club Balonmano Ciudad Real,18
Tulsa Golden Hurricane men's soccer,12
Akron Zips men's soccer,3
Al Sadd Handball Team,70
Al-Rayan SC Handball Team,24
Портланд Сан Антонио,1
Sliema Hotsticks Hockey Club,14
Maybank HC,9
Minija Kretinga,28
Shabab Al-Bireh Institute,6
VCU Rams women's soccer,32
Club Balonmano Ciudad Real,17
Akron Zips men's soccer,13
"Al-Arabi (Saudi Arabia, handball club)",7
Cincinnati Kids,2
Sociedad Deportiva Cultural San Antonio,12
Cincinnati Kids,20
FIU Panthers men's soccer,15
Портланд Сан Антонио,15
Shabab Al-Bireh Institute,4
SDCサン・アントニオ,16
