http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Safe House (serie de televisión),8
A Chip Off the Old Block,21
Duel (UK game show),12
マペット放送局,21
G.I. Joe: Renegaci,28
Machos,173
Batman (serial animowany 1992),79
Red Alert (game show),15
Братья Доннелли,13
"The Good, the Bad and the Ugly (1979 TV series)",87
Por tu amor,91
Crossbones (série télévisée),9
Two Pints of Lager and a Packet of Crisps,88
Karkú,76
Leo Little's Big Show,13
Partners (1995 TV series),23
Chuck (TV series),92
Банши (телесериал),38
Codice rosso (serie televisiva),13
The Renegades,6
Fridays (TV series),58
فريق البطل: 108,107
Générations (série télévisée),470
"Слава Богу, ты пришёл!",40
Fargo (série télévisée),23
Terminal City (TV series),9
A Favorita,211
Vicini terribili,38
Get Blake!,54
Non smettere di sognare (serie televisiva),8
Alcock and Gander,6
Confessions of a Teen Idol,8
Die Gebrauchtwagen-Profis: Neuer Glanz für alte Kisten,12
Bored to Death,23
El Universo (serie de televisión),79
The RuPaul Show,104
Merhamet,41
Batman: The Brave and the Bold,66
Jonny Quest (TV series),27
Professione fantasma,10
Boo! (TV series),113
The New Woody Woodpecker Show,155
Rio Del Mar (1999 TV series),573
I'm in the Band,40
Revolving Doors of Vengeance,30
ستارغيت يونيفرس (مسلسل),37
"Dude, What Would Happen",33
ワンダーウーマン (テレビドラマ),63
¡Vivan los niños!,137
Mexico's Next Top Model,56
Total Wipeout,54
Ashes to Ashes – Zurück in die 80er,24
The Partners (TV series),20
DIY SOS,195
Paris Hilton's My New BFF (seizoen 2),10
Wallace and Gromit,2
Nowe przygody starej Christine,82
Countdown to the Crown,4
Bracia i siostry,107
RocKwiz,163
The Lineup (serie televisiva),194
Most Evil,39
Cramp Twins,48
Conan the Adventurer (animated series),66
"Billy the Cat, dans la peau d'un chat",52
Empire (serie televisiva 2015),34
Lovers in Paris (2009),50
12/24 Karol Bagh,276
Суперкрошки,76
柯瑞當家,33
Barry Welsh is Coming,62
Love or Bread,13
La storia dell'universo,92
Heartbeat (2016 TV series),11
الحب التائه (مسلسل),138
IShine KNECT,38
Miami Medical,14
Mara Clara,1201
Play Your Cards Right,276
MasterChef (UK TV series),225
48 ore (serie televisiva),11
Dragnet,764
Homewrecker,8
Steps (TV series),21
The New WKRP in Cincinnati,45
The Zimmer Twins,110
火舞黃沙,29
Family Dog (TV series),11
Silk Stalkings,194
The Stranger (Australian TV series),11
Les Belles Histoires des pays d'en haut,534
Space Ghost Coast to Coast,2
Family Matters (Singaporean TV series),23
Murder One (TV series),38
The Courtship of Eddie's Father,78
Lost (reality show),6
I Wanna Be A Model (season 1),13
爱在哈佛,17
Mesa para tres,128
Бундесвидение,10
Class Act (Irish TV series),12
Fly with Me (TV series),23
The Red Riding Trilogy,3
Soy tu dueña,138
Dark Shadows (serial telewizyjny 1966),1148
Polizeibericht (Fernsehserie),794
Falcón (TV series),4
The Brady Bunch,9
Duch Filharmonii,12
The Storyteller (Serie),4
Raffles (TV series),13
Gilmore Girls,138
奥特曼列传,96
"Cristina, l'Europa siamo noi",39
Hasta que la muerte nos separe,75
Victorinos,136
Buttafuori,8
Street Fighter: Assassin's Fist,1
銀河パトロールPJ,29
Sharky et Georges,57
Single Dad in Love,15
The Flaxton Boys,45
I Cesaroni,144
The A-Team,91
Huntik - Secrets & Seekers,55
Banshee (série télévisée),41
Boy Meets Girl (2009 TV series),4
Terapia d'urgenza,18
ハワイ5-0,295
معجب عجيب (برنامج تلفزيوني),1044
Rizzoli & Isles,118
Hollyoaks: In the City,19
Destroyed in Seconds,36
Powers (série télévisée),23
Kidnapped (série télévisée),13
Atashinchi no Danshi,11
Adam's Family Tree,19
Sanctuary (TV series),57
Sons of Tucson,14
The Simpsons,636
Spider-Man and His Amazing Friends,22
Chefs (TV series),6
Raging Planet,18
Mandrake (série télévisée),13
The Glee Project,23
The Ann Sothern Show,86
Otchłań namiętności,170
Emergency unit,32
Nurses,69
Powrót do życia,30
Goodyear Theatre,50
Juana Iris,181
Sonic el Erizo (serie de televisión),27
Whitechapel (Fernsehserie),19
Gates (TV series),5
10 أشياء أكرهها بشأنك (مسلسل),20
ダークエンジェル (テレビドラマ),45
Zone Stad,103
Великая (телесериал),13
The Black Donnellys,12
Bromance (serial telewizyjny),6
幻星神ジャスティライザー,52
Fast Lane Daily,2124
Die Gebrauchtwagen-Profis: Neuer Glanz für alte Kisten,169
宇宙刑事ギャバン,49
وفقا لجيم,188
G.I. Joe: Renegades,24
Das A-Team,97
Baby Jake,47
"Одиссея (телесериал, 1968)",4
Nitro Circus,21
Stranded (TV series),6
胭脂水粉,31
Not Only... But Also,24
Full Force Nature,13
Stargate Atlantis,97
Made (TV series),270
The Brady Bunch,122
For the Love of Ray J (season 1),13
千秋太后 (テレビドラマ),71
Pyaar Kii Ye Ek Kahaani,279
One to One (TV series),41
Wallace y Gromit,1
The Fresh Prince of Bel-Air,141
Richard Bacon's Beer & Pizza Club,20
The Experiment,5
Melrose Place,195
Nissene på låven,26
Level Up (serie de televisión),32
WWE Raw,1321
Час Икс (телепередача),16
Monster Allergy (TV series),54
Quinceañera (telenovela),87
The Courtship of Eddie's Father,65
Jumong (TV series),85
Good Wife,165
Zakochana złośnica (serial telewizyjny),22
Царство животных (телесериал),10
The Super Hero Squad Show,51
Lucy ed io,166
Jayce et les Conquérants de la Lumière,62
BrainSurge,124
"Sheridan, squadra omicidi",5
Piccolo grande Timmy,84
RuPaul’s Drag Race,117
The Kids in the Hall: Death Comes to Town,8
فارغو (مسلسل),22
Verbotene Liebe,5139
Moods of Man,8
This Is Alice,38
It's a Living (1980 TV series),132
The Naughty Kitchen with Chef Blythe Beck,8
Linda Green,22
Виртуозы,42
Space Ghost Coast to Coast,104
項羽と劉邦 King's War,82
Lista de episódios de Bakugan,50
Dopóki śmierć nas nie rozłączy,89
Happy Days (série),248
Amorcito corazón (telenovela),215
False Witness,2
لوسيفر (مسلسل),17
Past Life,7
Psychoville,14
Handyman Superstar Challenge,21
"Чингисхан (телесериал, 2004)",29
Tomie: Another Face,3
The Beast (série de televisão),13
Godzilla (animated series),26
Tomica Hero: Rescue Fire,56
Klutter!,8
ミーアキャットの世界,47
Knight Rider (1982 TV series),94
Duo d'enfer,17
Fight for Life (TV series),6
Bottle Boys,14
精武門 (電視劇),30
Mi pecado,113
بنات غيلمور,139
Bob aggiustatutto,320
赤と黒 (2010年のテレビドラマ),18
A Favorita,211
Better Call Saul,19
Murder Prevention,6
Rescue Robots,14
Шоу Донны Рид,295
Beast Wars,49
Animal Face-Off,11
Секрет острова Мако,71
Bromwell High,14
Geordie Shore,111
The Night Shift,33
E! News,6569
Larry the Lawnmower,213
Parks and Recreation,112
Les Maîtres des sortilèges : Les Terres du seigneur Dragon,29
黑騎士 (動畫),53
The Price Is Right (U.S. game show),7837
عهد (مسلسل),59
Lo zio d'America,12
أروع جواسيس,57
أمير بيل إير الحيوي (مسلسل),148
Brothers & Sisters (2006 TV series),111
Sono toki Heartwa Nusumareta,5
Pan Tau,34
Captain Z-RO,29
Angry Birds Stella (TV series),25
Code Black,18
The Family (2008 TV series),23
Vamp (telenovela),173
Звёздные врата: SG-1,229
Brotherly Love (1999 TV series),6
Justice Sung II,30
"Trauma (série télévisée, 2009)",17
Homefront (série télévisée),43
百變金剛 (影集),56
Wolf Lake,9
その時、ハートは盗まれた,5
Il mammo,70
According to Jim,187
Petticoat Junction,214
Interpol Investigates,11
Trollz,28
A Indomada,216
Capture (reality show),10
Buffy l'ammazzavampiri,135
Psych,122
老友狗狗 (電視劇),21
The Family (telessérie),11
Generations (South African TV series),176
MXC,77
Tere Mere Beach Mein,14
Flash Gordon (2007 TV series),19
Reign,61
Rookie Blue,70
Better with You,23
Шах и мат (телесериал),13
The Crocodile Hunter,67
Sharp 2,56
Thirtysomething,92
Seekers (TV series),2
寶家衛國,19
بافي قاتلة مصاصي الدماء,137
Non smettere di sognare (TV series),8
المواجهة الحيوانية,11
Era Wodnika (serial telewizyjny),27
Расследования авиакатастроф,134
Miami Medical,12
Blokken,4694
The Killing (série de televisão),41
谢天谢地你来啦,39
Mayday: catástrofes aéreas,129
Armas del futuro,31
ثنائي الأعماق,48
Quantum Leap,104
The Real World: Denver,26
Crime Busters x 2,19
一擲千金 (香港),52
Speed (TV series),6
超級製作人,143
Canada's Worst Handyman 3,8
タイムマシーンにお願い,101
Perro amor (telenovela estadounidense),146
Tales of Mystery,29
Junior MasterChef,66
The Plant (film),1
Muchacha de barrio,214
Episodi di Merlin (seconda stagione),12
Strawberry Shortcake,46
Clifford's Puppy Days,39
Clarence (serie animada),77
Muñeca Brava,275
新鲜王子妙事多,136
Go With Noakes,31
Total Wipeout,11
Intervisiesongfestival,5
Iron Chef,311
Storm of the Century,3
Empire (2015 TV series),31
不滅的李舜臣,99
The Winemakers,13
Hikari Sentai Maskman,47
مدرسة الامبراطور الجديدة,57
The True North,10
Jack of All Trades (TV series),21
Zaginiony ląd (serial 1991),24
Secrets and Lies,14
Mrs. Brown's Boys,31
"Ne daj se, Nina",56
McMillan y esposa,43
HeartBeat (1988 TV series),17
The Bellflower Bunnies,57
House of Venus Show,17
愛情合約,20
Fisica o chimica,83
Quinceañera,90
愛情合約〜Love Contract〜,20
Murder Prevention,6
Ponderosa,20
Nuovo Mondo Selvaggio,6
The Paper Chase (TV series),59
Guadalupe (telenovela),207
Świat według Ludwiczka,37
「法」妻,140
Sons of Tucson,12
Un tritone per amico,40
Kami no Shizuku (TV series),9
Viva Piñata (TV series),59
"Land of the Lost (série télévisée, 1974)",45
Char Khooneh,177
Main Teri Parchhain Hoon,231
"World War II Behind Closed Doors: Stalin, the Nazis and the West",6
ゆかいなブレディー家,11
Оружие будущего (телесериал),29
Stargate – Kommando SG-1,216
Impas (serial telewizyjny),17
Happy Valley (TV series),11
Affari a quattro ruote,167
廉政行動2007,5
Soldiers of Fortune (TV series),54
Física o Química,71
Who Wants to Be a Millionaire? (Philippine game show),216
Powracający,17
Mona der Vampir,67
Beauty Queen (TV series),70
Alvin y las ardillas (serie de televisión de 2015),52
リゾーリ&アイルズ ヒロインたちの捜査線,101
والاس وغروميت,6
Jerks of All Trades,1
Krod Mandoon i Gorejąca Klinga Ognia,6
Old Christine,89
Legenda Korry,47
The Sonny & Cher Comedy Hour,59
Qin Wang Li Shimin,40
El búho (miniserie),52
Electric Dreams: The World of Philip K. Dick,3
مئة خطبة وخطبة (مسلسل),14
Wallace & Gromit,2
Contra viento y marea,145
Emergency (Philippine TV program),598
Booker,19
La virgen de las siete calles,14
Napoleon and Love,9
Archie Bunker's Place,90
أصدقاء المدرسة,23
Ang Iibigin Ay Ikaw Pa Rin,91
Xiaolin Showdown,51
"Kobra, übernehmen Sie",158
Captain Star,13
Sanctuary (serie de televisión),8
Silver Spoons,120
Cidade Nua,37
Steptoe and Son,57
Orphan Black,37
大明帝国 朱元璋,46
The Secret Saturdays,37
Empire (miniserie televisiva),6
James May's Toy Stories,6
Sonic the Hedgehog (TV series),24
Mystery and Imagination,21
Ким Пять-с-Плюсом,89
C'mon Midffîld!,31
Ultraman Orb,24
Da Vinci's Demons,28
Into the Badlands (serie de televisión),6
"Machos (série télévisée, 2003)",177
Grandpa in My Pocket,57
Puchaty ogród,73
Once Upon a Time... Life,26
4th and Long,9
Come Dine with Me Australia,74
Martha Bla Bla,89
爆発!デューク,144
Zanzibar (TV series),45
AfterMASH,31
Gli incubi di Dario Argento,9
Farscape: The Peacekeeper Wars,2
Whale Wars,57
Brigade du crime,293
Skazany na śmierć,84
The Amazing Spiez!,49
Fortysomething,6
我要做廚神 澳洲版,80
La figlia di Elisa - Ritorno a Rivombrosa,16
The Secret Saturdays,34
Fist of Fury (TV series),29
Denshi Sentai Denziman,51
Accused (série télévisée),9
Deal or No Deal (Tunisia),15
Conflictos de un médico,22
Zheng He Xia Xiyang (TV series),66
The Adventures of Clint and Mac,14
The Price Is Right (U.S. game show),88
Samson en Gert,723
How'd You Get So Rich?,13
Nos vies secrètes,81
The Project (TV program),1736
Elite World Cops,7
Gino il pollo,28
Chuggington,164
Broń przyszłości,30
Victorious (série télévisée),50
ストリートファイター 暗殺拳,11
Yam Roll,42
Mako Mermaids - Vita da tritone,68
Bob le bricoleur,296
Dobranocny Ogród,94
Saddle Rash,1
The Loop (Australian TV series),232
Pinoy Bingo Night,58
超级无敌掌门狗,2
Naked and Funny,125
Spenser (serie televisiva),4
Felicity,85
Resurrection (serie de televisión),22
The Real World: London,23
Llamas de la vida,225
Stella (U.S. TV series),11
Miami Medical,13
Genie in the House,71
لونلي غيرل 15,530
Jared ‚Coop‘ Cooper – Highschoolanwalt,36
Karkú,77
The Black Donnellys,12
Flashpoint,70
Torrente (telenovela),125
Kids and Company,40
Southland,37
Hotellet,60
Most Evil,37
Triángulo (serie de televisión),26
Climbing Great Buildings,15
The Prince Who Turns into a Frog,31
Mask (série de televisão),22
尸研所,6
Dogg After Dark,7
30 روك,128
ジ・アドヴェンチャー・オブ・トゥイズル,51
T.I.'s Road to Redemption,9
Pointless,118
Tough Love (season 2),10
Crossbones (serie televisiva),9
Power Play (Dutch TV series),20
The Littles,27
Barrera de amor,129
The City (telerrealidad),37
Scooby-Doo! Mystery Incorporated,48
戇夫成龍,22
Catalina y Sebastián,115
皇家反千組,21
Mary Kay and Johnny,314
Let's Go (1976 TV series),210
Общее дело (телесериал),12
Contra viento y marea,133
Moving Up,67
Time Masters (game show),176
"I'm Sorry, I Love You",15
The Bridge: Na granicy,23
Bundesvision Song Contest,10
Who Wants to Be a Millionaire? (Philippine game show),5
16 and Pregnant,60
Banshee (TV series),34
Wonder Pets,46
Twice in a Lifetime (TV series),49
Dark Kingdom: The Dragon King,2
Taxi (Fernsehserie),112
Mitwa Phool Kamal Ke,175
Heroes Reborn (serie de televisión),12
Gorące Hawaje,21
Un commissario a Roma,11
Muppets Tonight,23
Улица Сезам,4329
The Electric Company (2009 TV series),52
Ellen Burstyn Show,12
Couleur Pacifique,10
The ABC Afternoon Playbreak,9
That's Life (1968 TV series),32
Alles was zählt,2796
L'undicesima ora,41
Vilma (Philippine TV Series),513
Doen met 'n Miljoen!,54
I miei due papà,68
Hélène et les Garçons,278
Intervision-Liederwettbewerb,5
A Great Way to Care,23
The Family (Fernsehserie),11
Halt and Catch Fire (série télévisée),27
Chuanqi Huangdi Zhu Yuanzhang,48
洛神 (テレビドラマ),26
Alphas (série télévisée),24
傑瑞米·凱爾秀,2874
Wallace y Gromit,6
The Gates (Fernsehserie),14
Lynch (serie de televisión),14
传奇皇帝朱元璋,51
Aquarius (série télévisée),25
Code Black (série télévisée),21
Kochen mit Luis,18
Black Sash (TV series),8
Sherri,12
Powers (serie televisiva),21
Hero 108,108
Southland (serial telewizyjny),40
Ravenswood (serie televisiva),11
Mission: Impossible,157
Adventure Inc.,23
I Borgia (serie televisiva francese),38
W słońcu Kalifornii,13
Night Court,199
Temptation (série de televisão),23
Summerhill (TV series),4
Biancaneve a Beverly Hills,21
Beacon Hill (web series),11
"Boa Sorte, Charlie!",92
Royal Tramp (TV series),46
Audrina,10
Disaster Masters,19
Animal Show,65
Zane's Sex Chronicles,23
Hergé's Adventures of Tintin,102
Hawaii Five-O,292
Голые и смешные,110
Rêves et Cauchemars (série télévisée),8
Eclipse (telenovela),29
Tutti gli uomini sono uguali,7
ウォレスとグルミット,2
I en annan del av Köping,19
This Is Nightlive,6
Prehistoric Megastorms,7
Chuck (televisieserie),86
"Qua la zampa, Doggie",10
اكبح حماسك,78
لغز المدينة,46
Stargate SG-1,222
Touch (serie de televisión),25
Tutti pazzi per amore,68
30 Rock,151
魂归故里,15
Soccer Aid,13
Sanctuary (serial telewizyjny),56
Уоллес и Громит,33
Erotic Confessions,53
Stargate Universe,35
Line of Fire (2002 TV series),90
Beyond (TV series),52
A Woman Named Jackie,3
The Demon Headmaster (TV series),20
Doc McStuffins,104
Xiaolin Showdown,56
Smash (serial telewizyjny),33
Jayce y los Guerreros Rodantes,58
Smash (Fernsehserie),32
Zeke und Luther,68
Doctor in the House (serial telewizyjny),28
ストリートファイター 暗殺拳,1
The Sitcom Showdown,5
Distretto di Polizia,266
La que no podía amar,158
