http://dbpedia.org/ontology/Skier,http://dbpedia.org/ontology/weight
Thomas Magnusson (Skilangläufer),87896
Gunnar Larsson (narciarz),70887
Agnieszka Gąsienica-Daniel,59077
Dow Travers,79634
Willi Frommelt,83661
Adeline Baud-Mugnier,59724
Agnieszka Gąsienica-Daniel,58872
Marina Kiehl,67315
Thomas Magnusson,79869
Gino Caviezel,73399
Elis Wiklund,75406
Sebastian Brigović,73526
Gunnar Larsson (fondeur),76802
"Андреев, Владимир Михайлович",67340
"Андерссон, Бьярне",72538
Mauro Caviezel,96921
Martin Huber,99707
Adeline Baud,53970
Marino Cardelli,79350
Bjarne Andersson,69912
Alexandre Mohbat,72493
Nadieżda Patrakiejewa,57693
Maria Bedareva,72813
Mireia Gutiérrez,53838
Bengt-Erik Grahn,71524
Sture Grahn,82792
Barbara Kantorová,60713
Marija Kirkowa,66358
Mats Larsson,78131
Barbara Kantorová,59742
Marino Cardelli,81279
"Фроммельт, Вилли",72024
"Акирилоае, Йоан Валериу",84854
Andreas Žampa,71195
"Гутьеррес, Мирейя",57515
"Саалова, Кристина",69939
Rokas Zaveckas,82924
Frank Wörndl,72380
Kyung Sung-hyun,80129
Dmitry Koshkin,75574
