http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
The Green School,962
Africa University,1312
Walter Sisulu-universiteit,21196
Annandale High School,2048
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2122
Central Maine Community College,2613
West Greene School District,827
清泉インターナショナルスクール,714
Litherland High School,782
Shanghai University of International Business and Economics,10214
Universiteit van Malta,11199
"SMK St. Francis Convent (M), Kota Kinabalu",864
Saugus High School (California),2556
Université de Karachi,104877
IE ビジネススクール,1912
Alpena High School (Arkansas),225
College Zarządzania - Studia Akademickie,11753
École des Hautes Études en Sciences Sociales,3129
Universidad de St. Francis,2892
Azerbaijan Medical University,8753
川北医学院,10390
Augustana-Hochschule Neuendettelsau,218
旁遮普大学,45735
جامعة دركسل,24165
Sint-Maartenscollege (Maastricht),1426
Cambria Heights School District,1616
Skaneateles High School,581
Harvard Business School,1780
Cardinal Newman Catholic School and Community College,1211
Georgia Institute of Technology,26909
Präfekturuniversität Hyōgo,6000
Kings Manor Community College,1269
"University of Applied Sciences, Mainz",5084
Narodowy Uniwersytet Uzbekistanu,10568
High School of Fashion Industries,1670
EM Lyon,3545
"Mount Vernon High School (Fortville, Indiana)",1236
University of Malta,11650
Walnut High School,2553
Université Petre Andrei,2249
North Miami High School,3036
Union High School (Oregon),220
Mitchell County High School,517
Universidad Estatal de Arizona,48473
克兰纳特管理学院,3142
College of DuPage,27451
Northeast Metropolitan Regional Vocational High School,1217
Universiteit van Lund,35918
Escuela Preparatoria Sterling (Houston),1172
المدرسة الأمريكية الدولية في أبو ظبي,1308
Abbots Bromley School,182
Uniwersytet Komeńskiego w Bratysławie,26173
South Essex College,9935
Ohio State University,56625
Universidad Purdue,42590
Fort Collins High School,1554
Université d'Évry-Val-d'Essonne,10839
カウナス工科大学,10261
Universidad Federal de Santa María,24860
Blackhawk School District,2477
University Centre in Svalbard,465
Czech Technical University in Prague,20784
Windesheim (onderwijsinstelling),23647
Le Cordon Bleu,18867
Бернский университет,18727
Gadsden City High School,1524
Cabrini High School (Michigan),402
Universidad de Lyon I - Claude Bernard,34215
Waipahu High School,2394
Towers Convent School,329
Tuen Mun Government Secondary School,1130
Шаттак Сент-Мари,484
Xavier School,3824
Universidad de Bulacán,26759
Libera Università Maria Ss. Assunta,8
"Lawrence School (Sagamore Hills, Ohio)",312
Buckeye Local School District (Jefferson County),2156
Instituto Real de Tecnologia,14361
Universität Teramo,9505
Tawrijski Uniwersytet Narodowy im. Władimira Wiernadskiego,18498
Charlotte Latin School,1412
Mar Athanasius Memorial Higher Secondary School,1422
Stockton Collegiate International Schools,863
Barr-Reeve Junior-Senior High School,290
Palatine High School,2665
Jay County High School,1151
安徽医科大学,20194
Portland Christian Junior/Senior High School,374
St. Francis' College,2753
Burris Laboratory School,638
Université de Niš,26964
Cushing Academy,392
Conservatorio de Maastricht,661
Universidad de las Ryūkyūs,8188
German European School Singapore,1401
Canon-McMillan School District,4670
Boyd-Buchanan School,829
龍谷大學,21751
