http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Mito (Giappone),297071
Sabang,28022
Sertânia,33601
Bandar Ganaveh,51705
Karungal,16620
Mokameh,93151
نوش أباد,10269
Shahganj,24419
Salamanca (miasto w Meksyku),243155
Lanivtsi,9019
Мингора,199124
Fermont,3148
安克莱斯瓦尔,16372
Amanpur,8441
Clement Town,20235
Kathera,6071
Haldaur,18289
Smorgonie,34183
Perwomajski,50660
Yonago,159115
Gadhada,24873
Chivilcoy,53756
Jagadanandapur,20843
Faradonbeh,13007
阿格雷斯蒂纳,22441
Basaria,3851
ガザ,515784
タパルパ,15590
Sandi (India),24011
尼爾 (阿爾達比勒省),4970
Villaharta,757
Sambalpur,333875
Jevargi,20090
Пайне (Чили),47744
Molakalmuru,13566
Sertânia,31303
ガリヤン,190689
فياروبليدو,23508
Puñal,75449
Gwangmyeong,336130
维贾耶普拉,34686
"Belonia, India",19608
Авейль,32311
马绍尔希,216916
Chouto Orizari,17833
拉纳瓦沃,42555
Jevargi,20237
恰姆普阿,10073
Fuente Obejuna,5364
Cartersville,18500
Kuhsar,8072
Donnacona (Québec),6384
Neem-Ka-Thana,75763
Ramshir,22540
General Alvear (Mendoza),26813
Нушабад,11296
"Первомайск (город, Луганская область)",36906
菲沙門德,4259
Anklesvar INA,16961
آبادة تشك,6334
阿拉戈伊尼亚斯,139474
Динчжоу,1078722
哈費爾巴廷,247577
基陶尔,23355
Nambol,17101
داران (إيران),18731
سلفتشغان,719
Jhabrera,8737
Kailudih,9049
مايه-باشي,389950
Jafrabad,25939
Biarjomand,2344
Dumai,308173
高里比达努尔,79720
Nushabad,10376
Tachikawa,187260
比利亚曼里克德拉孔德萨,4636
Brusque,108652
Tanna (Duitsland),4293
格什姆,27621
NavagamGhed,43805
Khezri Dasht Beyaz,4645
Sardrud,22549
凯拉尔,13538
Turubah,31531
Багаха,102243
Requínoa,25513
路沙卡,1667034
Puerto Serrano,7325
盖尔扬,185127
Lora del Río,18623
María Elena,4439
Atengo,4827
Curitibanos,36478
Kanazawa,452386
ミルピタス (カリフォルニア州),82860
Татикава,167898
Mangrulpir,27581
Cooch Behar,110319
Harij,20137
Apizaco (stad),81181
Jambi (stad),481561
Sorong,212068
Sudjan,5583
Santiago Papasquiaro,25150
ラナース,58400
Rustamnagar Sahaspur,13097
Saunkh,8442
卡薩布蘭卡 (智利),23270
Robat,965
Лусака,1939110
Aliganj,24968
Dulhipur,8623
Los Palacios y Villafranca,37446
