http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Vipers SC,2
Union Royale La Louvière Centre,12
Tipografía Nacional,19
2002–03 Manchester City F.C. season,1
2003–04 Manchester City F.C. season,25
HSG Wetzlar,26
Manchester City Football Club 2004-2005,11
Tipografía Nacional,16
Resovia Rzeszów,13
HSG Wetzlar,20
Handballspielgemeinschaft Wetzlar Handball,25
Vipers SC,5
HSG Wetzlar,1
Vipers SC,8
Manchester City Football Club 2004-2005,24
2013–14 Maccabi Tel Aviv F.C. season,17
Banaadir Telecom FC,32
2003–04 Manchester City F.C. season,11
Tipografía Nacional,3
Benadir SC,4
Hóquei Clube de Braga,4
Toledo BM,11
Hóquei Clube de Braga,8
Shandong Province Youth Football Team,28
Hóquei Clube de Braga,1
Manchester City Football Club 2004-2005,18
Los Angeles Skyhawks,17
Benadir SC,16
2013–14 Maccabi Tel Aviv F.C. season,6
Fortuna Ålesund,6
Meelin GAA,4
2014–15 Viborg FF season,23
HSG Wetzlar,47
Tenaga Nasional Berhad HC,4
2013–14 Maccabi Tel Aviv F.C. season,11
Shandong Province Youth Football Team,23
Vipers Sports Club,21
2004–05 Manchester City F.C. season,11
HSG Wetzlar,25
HSG Wetzlar,25
Vipers SC,5
HSG Wetzlar,21
HSG Wetzlar,43
Toledo BM,5
2015–16 KS Cracovia (football) season,59
HSG Wetzlar,45
Banaadir Telecom FC,24
HSG Wetzlar,3
Fortuna Ålesund,5
CWKS Resovia,2
Los Angeles Skyhawks,1
2002–03 Manchester City F.C. season,21
Manchester City Football Club 2002-2003,17
2002–03 Manchester City F.C. season,41
UR La Louvière Centre,29
Sport Bissau e Benfica,20
Sport Bissau e Benfica,14
Sport Bissau e Benfica,27
Hóquei Clube de Braga,6
HSG Wetzlar,23
Banaadir Sports Club,18
Banaadir Telecom FC,5
Vipers SC,19
2002–03 Manchester City F.C. season,28
HSG Wetzlar,15
HSG Wetzlar,3
Vipers Sports Club,3
Sport Bissau e Benfica,20
UR La Louvière Centre,11
CWKS Resovia,9
Shandong Province Youth Football Team,12
Hóquei Clube de Braga,1
Manchester City Football Club 2004-2005,30
HBL FC,9
CWKS Resovia,9
Sport Bissau e Benfica,4
Toledo Balonmano,24
HSG Wetzlar,30
Meelin GAA,10
HSG Wetzlar,6
2004–05 Manchester City F.C. season,43
Tenaga Nasional Berhad HC,6
Manchester City Football Club 2004-2005,27
Shandong Province Youth Football Team,34
Manchester City Football Club 2003-2004,18
UR La Louvière Centre,87
Toledo Balonmano,5
2002–03 Manchester City F.C. season,9
Tipografía Nacional,23
Manchester City Football Club 2002-2003,8
Vipers SC,7
Manchester City Football Club 2004-2005,37
Habib Bank Limited Football Club,8
Manama Club,9
CWKS Resovia,8
نادي المنامة,9
Sport Bissau e Benfica,2
Manchester City Football Club 2003-2004,18
Sport Bissau e Benfica,11
Tipografía Nacional,17
HSG Wetzlar,27
UR La Louvière Centre,19
Fortuna Ålesund,3
Meelin GAA,9
Hóquei Clube de Braga,2
CWKS Resovia,22
2002–03 Manchester City F.C. season,24
FK Bratstvo Cijevna,7
Banaadir Sports Club,2
Tipografía Nacional,24
Manchester City Football Club 2003-2004,11
HSG Wetzlar,31
Los Angeles Skyhawks,10
CWKS Resovia,20
Benadir SC,5
FK Cetinje,23
Banadir Sports Club,26
Toledo BM,42
Resovia Rzeszów,17
Meelin GAA,15
Chhlam Samuth,1
Habib Bank Limited Football Club,4
Toledo Balonmano,10
Manchester City Football Club 2003-2004,13
UR La Louvière Centre,13
Meelin GAA,25
Toledo Balonmano,6
Sport Bissau e Benfica,7
山东省男子队 (2011年),16
HBL FC,8
山东省男子队 (2011年),28
Tacoma Tides,20
2002–03 Manchester City F.C. season,3
Tipografía Nacional,21
FK Bratstvo Cijevna,5
Benfica de Bissau,6
HSG Wetzlar,14
Tipografía Nacional,12
Benfica de Bissau,2
Union Royale La Louvière Centre,5
Tipografía Nacional,2
2004–05 Manchester City F.C. season,19
Manchester City Football Club 2002-2003,32
CWKS Resovia,21
Tipografía Nacional,17
Toledo BM,19
Vipers SC,24
Vipers SC,26
Vipers Sports Club,25
Sport Bissau e Benfica,15
HSG Wetzlar,5
Sport Bissau e Benfica,5
2002–03 Manchester City F.C. season,44
Meelin GAA,17
FK Bratstvo Cijevna,9
F.C. Cape Town,6
Banadir Sports Club,18
Chhlam Samuth,5
Tacoma Tides,4
Tipografía Nacional,12
Hóquei Clube de Braga,9
FK Cetinje,7
Vipers SC,25
F.C. Cape Town,8
Manchester City Football Club 2002-2003,6
2003–04 Manchester City F.C. season,22
Manchester City Football Club 2002-2003,45
Shandong Province Youth Football Team,23
Vipers SC,25
HBL F.C.,4
山东省男子队 (2011年),26
Banaadir Telecom FC,7
Tipografía Nacional,23
HSG Wetzlar,26
Tenaga Nasional Berhad HC,5
Tenaga Nasional Berhad HC,10
Tipografía Nacional,12
Manchester City Football Club 2002-2003,21
Toledo BM,1
FK Cetinje,13
Sport Bissau e Benfica,12
UR La Louvière Centre,1
2013–14 Maccabi Tel Aviv F.C. season,32
2015–16 KS Cracovia (football) season,3
Tipografía Nacional,7
Tipografía Nacional,17
Tipografía Nacional,9
HSG Wetzlar,7
Benfica de Bissau,10
