http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/numberOfSeasons
Star Wars: Clone Wars (série télévisée d'animation),3
كلارنكس,2
SpongeBob,11
Baby Looney Tunes,4
Defenders of the Earth – Die Retter der Erde,1
Котопёс,4
Double Dragon (série télévisée d'animation),2
Bob l'éponge,9
"Mike, Lu & Og",2
Max e Ruby,6
The Powerpuff Girls (serie de televisión de 2016),1
バッグス! ルーニー・テューンズ・プロダクション,1
Słowami Ginger,3
Breadwinners,2
My Life as a Teenage Robot,3
Les Petits Einstein,2
I Am Weasel,5
La leyenda de Korra,4
غزو الرابيدز,3
搗蛋三傻,6
Bee and PuppyCat,1
المهرجون الصغار,1
Mighty B!,2
Henry Câlimonstre,2
Peep and the Big Wide World,5
Transformers Animated,3
X-Men: Ewolucja,4
Star Butterfly kontra siły zła,2
Rabbids Invasion,3
嗨嗨帕妃亚美由美,3
Mighty Morphin Power Rangers,1
"Эд, Эдд и Эдди",6
Rugrats,9
スーパーマン (アニメ),3
X-Men: Evolution,4
Санджей и Крейг,3
Rabbids: Invasion,3
Young Justice (Zeichentrickserie),2
Pick Your Brain,1
Justice League Unlimited,3
داني الشبح,3
سهم الريح,2
Sym-Bionic Titan,1
Les Oblong,2
Ice & Coco,1
العم جدو,4
"She-Ra, la principessa del potere",2
Dungeons & Dragons (TV series),3
Liga de la Justicia Ilimitada,3
The Gary Coleman Show,1
The Flintstone Kids,2
バットマン (アニメ),2
جوني كويست,2
Bob y Margaret,4
Turbo Dudley – psi agent,3
Pełzaki (serial animowany),9
The Looney Tunes Show,2
Star vs. the Forces of Evil,2
オジー&ドリックス,2
Neighbors from Hell,1
Mighty Ducks,1
American Idol,14
Ben 10: Alien Force,3
Courage der feige Hund,4
Ella l'éléphant,1
Adventure Time,7
The Powerpuff Girls,6
Totally Biased with W. Kamau Bell,2
Ben 10,4
Mirat-ul-Uroos (TV series),1
بوجاك هورسمان,3
Кволик (мультсериал),1
Captain Buzz Lightyear – Star Command,2
ラマだった王様 学校へ行こう!,2
Class of 3000,2
Legenda Tarzana,2
Ozzy & Drix,2
فرقة العدالة (مسلسل),2
Recess (série),6
Little Wizards,1
Invader Zim,2
Shazzan,1
Юная Лига Справедливости,2
Batman del futuro,3
Tanec snov,1
Daria (serie animata),5
The Jerry Springer Show,26
Un écureuil chez moi,2
Trollz,1
Le Monde de Riley,3
超人：动画系列,3
El Monstruo Milton,1
Tutenstein,3
Muppet Babies,8
ChalkZone,4
Sprung aus den Wolken (Fernsehserie),2
Hulk i agenci M.I.A.Z.G.I.,2
TMZ on TV,8
Star Wars: Clone Wars,3
Gravity Falls,2
Los Thornberrys,5
越南之聲 (真人秀),3
A Shot at Love II with Tila Tequila,2
My Little Pony (TV series),2
フラニーズ・フィート,4
Ultimate Spider-Man (animatieserie),4
"Archie, mystères et compagnie",1
Bump in the Night (TV series),2
Súper amigos,13
Extra (TV program),21
Bliźniaki Cramp,4
Potyczki Jerry’ego Springera,23
No Offence,1
Ben 10 (desenho animado),4
T.U.F.F. Puppy,3
Love in the Afternoon (TV series),1
Adventure Time,7
Regular Show,8
Мир Бобби,8
Stanlio & Ollio (serie animata),1
Город лунного луча,1
史帝芬宇宙,4
Odlotowe wyścigi,2
Inspektor Gadżet,2
G.I. Joe: Renegades,1
Loonatics Unleashed,2
Dave Barbarzyńca,1
宇宙家族ジェットソン,3
La Voz Colombia,2
摩登大聖 (動畫),3
Rocket Power - E la sfida continua...,4
アクア・ティーン・ハンガー・フォース,11
Transformers: Robots in Disguise,3
Kim Possible,4
Mike Tyson Mysteries,2
Garfield and Friends,7
Inspector Gadget,2
Duck Dodgers (série télévisée d'animation),3
Spawn: The Animation,0
"China, IL",3
Dzika rodzinka (serial animowany),5
EyeOpener (U.S. TV program),4
スティーブン・ユニバース,4
Pepper Ann,5
美國之聲,12
Beverly Hills Teens,1
أصدقاء الشجرة السعداء,5
He-Man i Władcy Wszechświata (serial animowany 2002),2
The Buzz on Maggie,1
ダグ (アニメ),4
Kornisz i Fistach,1
Mighty Morphin Power Rangers,1
The Wendy Williams Show,8
La Légende de Korra,4
Aqua Teen Hunger Force,11
チョーク・ゾーン,4
Лагерь Лазло,5
Superamigos,9
CatDog,4
Przygody słoniczki Elli,1
Lloyd in Space,4
Any Human Heart,1
Mighty Ducks,1
Impractical Jokers,5
Gravity Falls,2
ホームムービーズ,4
Polizeibericht (Fernsehserie),2
Doug (TV series),3
The Bachelor (U.S. TV series),22
Avengers Assemble,3
Spider-Man and His Amazing Friends,3
The Lion Guard,1
The Tonight Show Starring Jimmy Fallon,3
BoJack Horseman,3
Hey Joel,1
猫狗,4
Jumanji (serie animata),3
キャンプ・ラズロ,5
The Jetsons,3
"He-man, le héros du futur",1
Duck Dodgers (animatieserie),3
ディック・トレイシー (アニメ),1
Sonic the Hedgehog (série télévisée d'animation),2
Father Knows Best,6
ザ・シンプソンズ,27
Dragnet,4
فارس وفادي,4
Как говорит Джинджер,3
刺猬索尼克历险记,1
Marsupilami (serie televisiva 1993),1
The Rocky and Bullwinkle Show,5
Coupling (U.S. TV series),1
Muppet Babies,8
Gott sei dank … dass Sie da sind!,4
Ozzy & Drix,2
Date My Ex: Jo & Slade,1
Maska (serial animowany),3
NormalMan,2
G.I. Joe: Renegaci,1
Phinéas et Ferb,4
He-Man (serie televisiva),1
クリーピー,1
Would Like to Meet,3
Squirrel Boy,2
Invader Zim,2
Tron: Uprising,1
Galaxia Wander,2
