http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
Ørland,73094147
Decatur County (Kansas),2397898106
ベントン郡 (ミシシッピ州),918006729
Comté de Carteret,1411952303
مقاطعة أرتشوليتا (كولورادو),3353923944
Frosta,79336876
ガンパハ県,1222868374
Boyd County (Nebraska),1427910366
埃爾斯沃思縣 (堪薩斯州),1802668783
Hrabstwo Bacon,584959876
ヴァドソー,1361164657
Adams County (Indiana),839867954
Nebraska,214931028094
Beaver County (Oklahoma),4741498404
Ulstein,97572175
Condado de Bent,4162848071
Comté d'Arkansas,2574699031
"Сент-Клэр (округ, Алабама)",1430802710
ビーバー郡 (ユタ州),6717886780
西爾達爾,1563778006
"Baker County, Georgia",895205785
里訥斯訥斯,314763075
Etne,708683326
Condado de Bartow,1286865502
敘爾達爾,1604371348
Roan,354950004
ニュートン郡 (インディアナ州),1017090674
Alta (Finnmark),3439291002
"Bee County, Texas",2135328279
ウォレス郡 (カンザス州),2669507894
Siljan,227305675
Малвик,147103533
Smøla,258836689
Kvinnherad,975425918
Condado de Boyd (Kentucky),448438605
Cowley County,2985973324
Elbert County (Colorado),4212170183
"Каули (округ, Канзас)",3060452845
Hrabstwo Nassau (Nowy Jork),734434835
"Хеттингер (округ, Северная Дакота)",3002926376
Værøy,19552915
プレイサー郡 (カリフォルニア州),3376949608
Bokn,47998391
"Бейфилд (округ, Висконсин)",4069797013
Kvam,634568384
Drammen,129270075
Tysvær,395758304
Hrabstwo Adams (Idaho),3421171009
バークレー郡 (ウェストバージニア州),873755195
ウタウエ地域,29502118572
Leikanger,158812854
アシュランド郡 (オハイオ州),1164651032
Condado de Berkshire,2601510981
Phillips County (Kansas),2498082412
Narvik,1789348276
Vefsn,1868880744
Volda,565342703
Contea di Montgomery (Kansas),1699895335
Alta (Finnmark),3961127646
Condado de Jewell,2350941008
Довре (коммуна),1377569500
Condado de Marion (Kansas),2478741571
ブリストル郡 (ロードアイランド州),57782184
Муллайтиву (округ),2586429352
Hattfjelldal,2233425667
Skjåk,1836667821
Brantley County,1024813096
松 (挪威),100915887
Hrabstwo Bell (Kentucky),1006030483
Contea di Blue Earth,1903752671
阿拉斯加州,1512700351006
Hrabstwo Blaine (Nebraska),2045673465
"Yolo County, California",2384108751
"Marion County, Kansas",2379409560
弗萊克菲尤爾,540277509
Hrabstwo Scott (Indiana),519144724
Нес (Бускеруд),839938951
Contea di Billings,2719938104
Sande (Norwegia),80221051
Hrabstwo Blackford,404103916
"Ассампшен (приход, Луизиана)",777190005
錫利揚,205675391
ベネワ郡 (アイダホ州),1820070510
Ballangen,913496523
Bodø,1379031420
Rana (Norvegia),4552697791
Contea di Nemaha (Kansas),1744144461
Condado de Volusia,2974771649
"Grant County, Kansas",1349516598
Berkeley County (West Virginia),901818131
Ulstein,103314732
Ullensaker,269755675
"Эймит (округ, Миссисипи)",1868135421
Comté de Franklin (Kansas),1569938267
Idaho,221116264130
Comté de Greeley (Kansas),2129872511
"Allamakee County, Iowa",1884722905
Condado de Albany (Wyoming),10102692501
Time (Noorwegen),163421568
مقاطعة ألامانس (كارولاينا الشمالية),1218692429
Contea di Albany (Wyoming),12288646995
Condado de Amite,1836029526
Contea di Ottawa (Kansas),2045071957
凱厄瓦縣 (堪薩斯州),1888491642
Blair County,1374024297
Condado de Bosque,2457958392
Øystre Slidre,839110130
明尼蘇達州,189358700863
アンダーソン郡 (サウスカロライナ州),1808052584
Эйд (Норвегия),460427690
مقاطعة سميث (كانساس),2342492434
Askim (Norvège),59557046
Minnesota,189150745953
Fusa (Norvegia),346589742
Kragerø (gemeente),319822102
Comté de Bond,936577321
Condado de Carteret,1309747543
"Кейн (округ, Иллинойс)",1353373226
Sokndal,286251052
Albany County (Wyoming),11698211337
Tranøy,513718043
Nesseby,1467792192
Condado de Armstrong (Pensilvania),1618753104
Høyanger,882783030
Condado de Caroline (Maryland),743976401
Намсскуган,1206622556
北奧達爾,499867917
Condado de Adams (Idaho),3604111579
埃茲庫格,618128868
Nesset,1099861595
Hrabstwo Kern,19941917584
"Берген (округ, Нью-Джерси)",656627412
Condado de Allegany (Nova Iorque),2625579153
Sør-Fron,678175099
Hrabstwo Pratt,1900638526
Contea di Angelina,2263462636
Bø i Vesterålen,233643447
أوركدال,544039881
"Adams County, Illinois",2399734873
Vefsn,1870534738
Mauricie,32696272421
福爾達爾,1315469725
Delaware,4702767216
布鲁斯县,3591792412
Condado de Baca,7011200404
Comté de Sherman (Kansas),3019162166
Condado de Bee,2295068040
Baker County (Oregon),7127755937
Radøy,105534903
Hrabstwo Talladega,2006407589
مقاطعة رولنز (كانساس),2912250058
مقاطعة ليفينوورث (كانساس),1152669956
Nesna,163901656
巴爾斯菲尤爾,1460230934
Masfjorden,554093388
Condado de Archuleta,3379487210
روان (النرويج),372413518
伊伯斯特,228281918
Oppegård,30978805
Fyresdal,1124987322
Gjøvik,568737447
Tysnes,219478449
奧德雷恩縣 (密蘇里州),1626362346
Nesna,187240171
Vavuniya District,1954020806
Contea di Bath (Virginia),1465682900
Stranda,835460095
Vågsøy,158516557
Volda,535486418
夏延縣 (堪薩斯州),2500547001
Contea di Bottineau,4649281631
Elk County (Kansas),1554632158
Йильдескол,622792121
Sirdal,1498156385
海姆瑟達爾,672402179
Хурум (коммуна),145923544
"Алпина (округ, Мичиган)",1546876007
霍爾托倫,1117944594
Nord-Odal,512207052
Maine,74292796213
ラサール郡 (イリノイ州),3218427479
Hrabstwo Barrow,415933707
Bottineau County,4321849861
Fet (Norvegia),145738544
Hemsedal,702777456
سنيلفيورد,450270788
Condado de Bonneville,5368869789
Contea di Baldwin (Alabama),3835080752
Sørfold,1497117823
Gausdal,1275720740
"Blaine County, Idaho",6935775377
مقاطعة ناسو (نيويورك),781084617
"Bosque County, Texas",2836259291
Folldal,1227063257
アスケー,97728569
Sheridan County (Kansas),2166293467
Hrabstwo St. Clair (Alabama),1652423993
Comté d'Adams (Iowa),1261672484
Саннёй,20630597
Stange,668352531
"Пьюласки (округ, Кентукки)",1861807732
Askvoll,297243582
Evje og Hornnes,500365553
アルベマール郡 (バージニア州),1859484051
Hrabstwo Anderson (Karolina Południowa),1797825047
Fjaler,362243871
Hemsedal (gemeente),671923129
Karlsøy,1131763814
厄什庫格,141688627
"Осборн (округ, Канзас)",2208570111
Condado de Atkinson,865098605
Georgia,139000198673
Eidsvoll,408585211
アーカンソー州,150659310962
Leka (Norwegen),108193459
Contea di Scott (Indiana),493863968
Contea di Breathitt,1178977988
Stordal,240894025
Рёст,10273638
Condado de Adams (Indiana),916704297
Arkansas,146198459521
Montana,364411557511
勒丁恩,554702829
"Aure, Norway",695665361
Contea di Jewell,2297778609
尼瑟達爾,795898882
Contea di Botetourt,1467773343
赫廷傑縣 (北達科他州),3009502020
Søgne,142121249
蘇拉 (挪威),64828478
Hrabstwo Atchison (Kansas),1099505591
Винье,2690599294
"Bath County, Virginia",1302408834
Grong,1119469326
田纳西州,106047400924
Hrabstwo Aransas,632435211
Rygge,66463463
Overhalla,668597249
"Бун (округ, Западная Виргиния)",1291241604
Solund,223229523
Alaska,1516810078114
"Riley County, Kansas",1553866081
"Bristol County, Massachusetts",1414053352
Distrito de Gampaha,1371996353
"Барбур (округ, Западная Виргиния)",935054783
Comté de Botetourt,1396982857
Comté de Rawlins,2510499945
Hrabstwo DuPage,802291371
Мудален,359503613
Ås (Noruega),99292712
Ørskog,126831836
Midtre Gauldal,1670519972
南弗龍,703234930
克維內斯達爾,811336920
Nedre Eiker,121220954
Montgomery County (Kansas),1575802684
考利縣 (堪薩斯州),3055255164
Meland,94539909
Aremark,292048913
Ringerike,1507826753
Inderøy,333562530
Nordkapp,796390873
Risør,198794500
Comté de Berkeley (Virginie-Occidentale),730632145
Contea di Geary,1009089433
Condado de Adams (Misisipi),1235853438
ベンジー郡 (ミシガン州),840951227
Comté de Berkeley (Caroline du Sud),3021618980
Эйгерсунн,408959903
Namsskogan,1472115571
Inyo County,25357988389
Лиллесанн,169940386
Hemne,573421227
ラッシュ郡 (カンザス州),1815600968
石油縣 (蒙大拿州),3958572437
Нарвик,1897797289
مقاطعة غيري (كانساس),1016735584
Seljord,708870039
アレン郡 (オハイオ州),1061752399
مقاطعة شرمان (كانساس),2751078963
Pennsylvania,118435795113
Condado de Bristol (Rhode Island),56552850
مقاطعة بينتون (إنديانا),1068384102
Condado de Lane (Kansas),2046186126
Cheyenne County (Kansas),2972243573
مقاطعة بيوريغارد,3010444880
ブレイン郡 (アイダホ州),6156330850
مقاطعة أوتاوا (كانساس),1985024571
Aurland,1299875637
伯克利县 (南卡罗来纳州),2868787799
Hattfjelldal,2307445821
Condado de DuPage,910853069
Condado de Ashland (Ohio),1023790970
Adams County (North Dakota),2578828590
Norddal,940349010
Condado de Berrien (Geórgia),1269173081
Andebu,168914471
"Бей (округ, Флорида)",2130853957
Lillehammer,436111589
Contea di Blaine (Idaho),6778517544
Froland,556473396
Fosnes,504800212
Мандал,196706302
Коломбо (округ),626349763
Westmorland County,3435228393
Batticaloa (district),2486073592
Eigersund,417735014
Ørland,78792062
Austrheim,54162811
Boone County (Arkansas),1503976384
Hrabstwo Harper (Kansas),1962077716
Leksvik,375231840
Bedford County (Tennessee),1186767790
Contea di Alexander (Illinois),588064249
萊克斯維克,389963439
Мудум,499443962
Madakalapuwa (dystrykt),2487922928
Skiptvet,84566616
ベルトラミー郡 (ミネソタ州),6588318179
Beiarn,1211646948
Sør-Varanger,3315632123
Sauda,566838145
スコット郡 (カンザス州),1884366713
Mombasa County,244774243
Волда,505085974
阿爾傑縣,2500682986
索倫 (挪威),230630111
Barton County (Kansas),2462492190
