http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
珀澤申群島,0
Ometepe,31894
El Hierro,8950
Woodlark,1546
جزيرة مايناو,198
Mili (Islas Marshall),900
جزيرة ألكسندر,0
Hayling Island,17663
Pašman (île),3214
Vanna (Troms),784
Anholt (Insel),167
Ruhnu,82
Abemama,3467
Príncipe,4943
Isla de Astove,2
Bøving Island,0
Distretto delle Nicobare,40083
مون (الدنمارك),9558
Sal (Cap-Vert),33416
Kvitøya,0
Écréhous,0
Bonaire,17567
Хоккайдо,5608932
Осмуссаар,4
Маупихаа,11
Baltrum,458
Ilhéu das Rolas,180
Märket,0
Île Chuginadak,0
Isla Vasilievski,198810
Saipan,40188
Ash Point,0
聖靈群島,1453
叙尔特岛,19150
Канарские острова,2118948
Vis (île),3758
Nepean Island,0
Géographie de Nauru,10376
Dionysades,0
Atoll Farquhar,20
Inishbofin (Galway),163
جزيرة أديلايد,84
Sorgu,0
Isola Baranof,6972
Pakin,74
Сицилия,5120145
Kiawah Island,1395
瓦恩島,1178
Лифу,11049
سيروس,20799
Märket,0
ثاسوس,14508
Ryūkyū,1692578
Сен-Франсуа (атолл),0
Île Platte,3
Isla Grande de Chiloé,179211
فانجر أوخه,966
バヌアレブ島,129435
馬卡泰阿島,54
Niulakita,28
Arquipélago Ártico Canadiano,12583
尼亞斯島,782045
Omey Island,1
Artemis (island),0
博罗伊岛,5285
Antwerpeneiland,49
Kure Atoll,0
Éfaté,70925
Île de la Gonâve,82015
テルセイラ島,61501
Lazaretta,0
パグ島,9196
Guadalupe (wyspa),195
聖約瑟夫島,1591
Île de la Gonâve,74722
Kish Island,21688
Epi,4289
Flinders Island,829
Susak,158
雷岛,19705
Ostriw Zmijinyj,107
Элафониси,0
Izenajima,1897
Wiencke-Insel,0
Исабела (остров),1764
Reao,400
Inis Oírr,229
春牟古丹島,0
Ilha de Marajó,219361
Políegos,0
Nieuw-Ierland,129989
São Nicolau (Kaapverdië),13385
Ventotene,710
Сандвип,295777
Tuần Châu,1396
Aukena,38
Isole Cíes,3
Keppeleiland,0
阿納環礁,431
伊尼什特克島,65
Vanua Levu,133246
Thurø,3475
Sark,532
Insel Hiddensee,1124
Mangole,34333
Coëtivy,251
リトルダイオミード島,97
Ilha Keppel,0
Čiovo,5840
Йонагуни (остров),1525
Motiti Island,32
安蒂波德斯群岛,0
Isla Clarence (Antártida),0
Terra do Fogo,135246
Autonome Region Madeira,261684
Sporades,15335
Buton,446376
La Palma,81662
Norderney,5055
Hisingen,146437
Marathos Island,5
Sejerø,506
Viðoy,617
Roque del Este,0
Pašman,2488
Socotra,37745
Coron (île),2307
Jost Van Dyke,279
Socotra,46325
Vega Island,0
Aunu'u,453
Mykonos,9757
Jolo,502055
جزيرة أراباوا,49
Asuncion Island,0
Howe Island,466
Whiddy Island,23
Minamidaitō-jima,1990
Dek Island,4371
志林規島,0
Charimkotan,0
Gawdopula,3
Мацзу (острова),13720
Jejudo,591323
كياوا أيلاند (كارولاينا الجنوبية),1529
Kavaratti,9768
Nias,938013
Samos,36533
Bora Bora,9577
Farquhar,24
スポラデス,14987
Motu One (Isole Marchesi),0
Askøy (island),25502
Либ,107
Diego Garcia,4444
Aucklandinseln,0
ブバケ,9362
Sofía (Echinades),0
Каф-оф-Мэн,2
Île Saint-Laurent,1086
Rowett (eiland),0
Denison Island,0
Terihi,0
Célebes,17306102
Maiana,2385
兰萨罗特岛,109554
越渇磨島,0
吉廖島,1506
Cerdeña,1862345
Rakahanga,119
费尔南多·迪诺罗尼亚群岛,2490
Strait Island,46
Île de Molène (Finistère),193
Capraia Isola,431
Раб (остров),10571
Hopen,4
詹努特里島,27
Аммассалик (остров),1677
Moala,3692
Idjiwi,260571
Thirasia,244
Paximadia,0
Wyspy Nawietrzne,477047
Сиберут,35013
Hokkaido,4838983
Keppel Island (Falklandinseln),0
Gavdopoula,3
South Andaman Island,232973
Paama,1925
Southern Moreton Bay Islands (Redland City),4661
Chichi-jima,2430
阿納托姆島,800
Donsö,1558
Wyspy Magdaleny,11528
Île du Sud-Est,0
Лесбос,79149
Бадия (остров),0
Лоу (остров),0
Shikoku (eiland),4861398
Takaroa,937
Flores (Indonésia),1751139
加利尼亞斯島,1537
Valchedram Island,0
Ilha Baccalieu,0
Utirik,521
Solentiname,887
Rangiroa,2604
Barren Island,0
Bali (wyspa),4254451
Australeilanden,6785
Woodlark,1708
Socorro Island,42
Хершел (остров),0
Ambelau,9210
Île Clarence (Chili),5
Long Island (Bahamas),2638
Mili Atoll,932
Bougainville (isola),138939
Great Barrier,882
奥莱龙岛,21308
默恩島,9858
Therese Island,0
アンブリム島,8496
Ilhas Chelbacheb,6
Danajon Islet,9628
