http://dbpedia.org/ontology/SportsTeam,SportsTeam,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,13
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,10
http://dbpedia.org/resource/Tulsa_Golden_Hurricane_men's_soccer,Tulsa Golden Hurricane men's soccer,18
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,92
http://dbpedia.org/resource/Laguna_F.C.,Laguna F.C.,22
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,12
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,0
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,22
http://dbpedia.org/resource/Al_Sadd_SC_(handball),Al Sadd SC (handball),13
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,22
http://dbpedia.org/resource/DeTas-Yayasan_Pahang,DeTas-Yayasan Pahang,3
http://dbpedia.org/resource/Plataneros_de_Corozal,Plataneros de Corozal,9
http://dbpedia.org/resource/Maybank_HC,Maybank HC,3
http://dbpedia.org/resource/VCU_Rams_men's_soccer,VCU Rams men's soccer,12
http://dbpedia.org/resource/Plataneros_de_Corozal,Plataneros de Corozal,7
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,8
http://dbpedia.org/resource/DeTas-Yayasan_Pahang,DeTas-Yayasan Pahang,2
http://dbpedia.org/resource/Saint_Louis_Billikens_men's_soccer,Saint Louis Billikens men's soccer,24
http://dbpedia.org/resource/Al_Sadd_SC_(handball),Al Sadd SC (handball),11
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,9
http://dbpedia.org/resource/Sapura_HC,Sapura HC,2
http://dbpedia.org/resource/Al_Sadd_SC_(handball),Al Sadd SC (handball),84
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,11
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,92
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,13
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,13
http://dbpedia.org/resource/Sapura_HC,Sapura HC,20
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,12
http://dbpedia.org/resource/Syracuse_Orange_men's_soccer,Syracuse Orange men's soccer,14
http://dbpedia.org/resource/Radford_Highlanders_women's_soccer,Radford Highlanders women's soccer,28
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,3
http://dbpedia.org/resource/Tulsa_Golden_Hurricane_men's_soccer,Tulsa Golden Hurricane men's soccer,11
http://dbpedia.org/resource/FIU_Panthers_men's_soccer,FIU Panthers men's soccer,27
http://dbpedia.org/resource/Shabab_Al-Bireh_Institute,Shabab Al-Bireh Institute,5
http://dbpedia.org/resource/Maybank_HC,Maybank HC,9
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,9
http://dbpedia.org/resource/Al-Rayan_SC_Handball_Team,Al-Rayan SC Handball Team,19
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,17
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,20
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,1
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,6
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,11
http://dbpedia.org/resource/Sapura_HC,Sapura HC,11
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,20
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,9
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,6
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,7
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,7
http://dbpedia.org/resource/Maybank_HC,Maybank HC,19
http://dbpedia.org/resource/VCU_Rams_women's_soccer,VCU Rams women's soccer,3
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,17
http://dbpedia.org/resource/Sliema_Hotsticks_Hockey_Club,Sliema Hotsticks Hockey Club,14
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,16
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,12
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,30
http://dbpedia.org/resource/BM_Ciudad_Real,BM Ciudad Real,17
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,8
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,4
http://dbpedia.org/resource/Maybank_HC,Maybank HC,11
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,16
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,1
http://dbpedia.org/resource/SDC_San_Antonio,SDC San Antonio,1
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,5
http://dbpedia.org/resource/Shabab_Al-Bireh_Institute,Shabab Al-Bireh Institute,4
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,26
http://dbpedia.org/resource/Yayasan_Negeri_Sembilan_HC,Yayasan Negeri Sembilan HC,4
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,18
http://dbpedia.org/resource/DeTas-Yayasan_Pahang,DeTas-Yayasan Pahang,4
http://dbpedia.org/resource/UniKL_HC,UniKL HC,9
http://dbpedia.org/resource/Maybank_HC,Maybank HC,16
http://dbpedia.org/resource/E.I.S._Men's_Volleyball,E.I.S. Men's Volleyball,13
http://dbpedia.org/resource/UniKL_HC,UniKL HC,7
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,2
http://dbpedia.org/resource/Akron_Zips_men's_soccer,Akron Zips men's soccer,7
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,83
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,17
http://dbpedia.org/resource/Al-Rayan_SC_Handball_Team,Al-Rayan SC Handball Team,1
http://dbpedia.org/resource/Maybank_HC,Maybank HC,1
http://dbpedia.org/resource/2011_Western_New_York_Flash_season,2011 Western New York Flash season,22
http://dbpedia.org/resource/Radford_Highlanders_women's_soccer,Radford Highlanders women's soccer,12
http://dbpedia.org/resource/Minija_Kretinga,Minija Kretinga,9
http://dbpedia.org/resource/Detroit_Ignition,Detroit Ignition,6
http://dbpedia.org/resource/UST_Growling_Tigers,UST Growling Tigers,5
http://dbpedia.org/resource/Shabab_Al-Bireh_Institute,Shabab Al-Bireh Institute,3
http://dbpedia.org/resource/Syracuse_Orange_men's_soccer,Syracuse Orange men's soccer,19
http://dbpedia.org/resource/Charlotte_49ers_men's_soccer,Charlotte 49ers men's soccer,18
http://dbpedia.org/resource/VCU_Rams_men's_soccer,VCU Rams men's soccer,20
http://dbpedia.org/resource/Markaz_Balata,Markaz Balata,6
http://dbpedia.org/resource/Penn_State_Nittany_Lions_men's_soccer,Penn State Nittany Lions men's soccer,25
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,18
http://dbpedia.org/resource/Radford_Highlanders_men's_soccer,Radford Highlanders men's soccer,27
http://dbpedia.org/resource/Lekhwiya_Handball_Team,Lekhwiya Handball Team,4
