http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Level Up (TV series),35
Verhekst!,87
According to Jim,182
Once Upon a Time... Life,26
La llaman Mariamor,181
Ironside,199
Филантроп (телесериал),8
"Amor en custodia (série télévisée, 2005)",236
The Georgian House,7
Beethoven Virus,18
Married to the Kellys,22
Shark Tank,155
10 Things I Hate About You (série télévisée),20
Cugino & cugino,12
Джеронимо Стилтон (мультсериал),78
Level Up,35
Due poliziotti a Palm Beach,176
蝙蝠俠智勇悍將,65
The Family (1974 TV series),12
Time Team America,9
Kocham cię na zabój (telenowela),120
Akai Ito (TV series),11
Kim Possible,87
Epic Rap Battles of History,64
Random! Cartoons,13
Sanctuary (TV series),59
Quantum Leap,97
蒙提·派森的飛行馬戲團,45
Perfect Strangers (miniseries),3
Sugat ng Kahapon,1
L'Aventure des premiers hommes,5
Симпсоны,600
歷史零時差,16
X-Or,44
Avatar: The Last Airbender,61
係咪小兒科 (中國大陸),171
Donna,6
Romance Zero,16
Madventures,49
Are You Smarter than a 5th Grader? (Chinese game show),26
"Raffles, ladro gentiluomo",13
Little Clowns of Happytown,18
État d'alerte,6
Bouli de sneeuwpop,114
雷霆第一關,32
Alphas,24
Panday Kids,72
Tales of Mystery,29
General Hospital: Night Shift,27
A to Z (電視劇),13
Doctor in Charge,43
Twice in a Lifetime (TV series),44
In casa Lawrence,86
Capitan Onedin,91
Tak to leciało!,114
Springhill (TV series),52
The Battle Among the Clans,30
Rebelde (telenovela brasiliana),410
Quinceañera (telenovela),103
Anita (telenowela),139
الملكة البيضاء,10
Сестра Джеки,80
The Super Mario Bros. Super Show!,65
Festival de la Canción de Intervisión,5
The Chamber (game show),6
Brothers and Sisters (1979 TV series),12
مغامرات تان تان (رسوم متحركة),39
Nikki (televisieserie),41
Amor sin maquillaje,25
Los hermanos Venture,71
一生為奴,40
Out of Tune (TV series),40
10 Things I Hate About You (TV series),20
Due onesti fuorilegge,50
Anandham,1297
Jane the Virgin,45
General Hospital: Night Shift,27
PitchMen,18
The Paper Chase (TV series),59
Delfy y sus amigos,91
WWE Raw,1221
Truth Be Told (TV series),10
The Super Hero Squad Show,52
水戸黄門 (パナソニック ドラマシアター),1227
High Society (2015 TV series),16
Miss Naked Beauty,6
Triangle (電視劇),26
Snake 'n' Bacon,1
Charlie's Angels,110
キャットドッグ,68
Le fantastiche avventure dell'astronave Orion,7
Fuoriclasse,8
تومي وأوسكار,52
Porta a Porta,1561
Past Life,7
Arystokraci (serial telewizyjny),6
大俠霍元甲,20
Xena: la princesa guerrera,134
Danny Fantôme,53
Blonde Charity Mafia,6
Some Mothers Do 'Ave 'Em,23
The Lucy Kennedy Show,5
Can't Lose,18
Hunted,8
The Venture Bros.,4
Calvin e o Coronel,26
Festival Intervisão da Canção,5
俄羅斯輪盤 (電視節目),131
Booker (TV series),22
ECW (WWE),193
D.U.I. (TV series),12
Paw Paws,21
Verbotene Liebe,4664
Власть в ночном городе,28
Scream Queens (programma televisivo),16
G.I. Joe: Renegades,26
Eva und Adam (Fernsehserie),16
Carrusel de las Américas,120
W ostatniej chwili (serial telewizyjny 2000),13
Жизнь с Луи,39
Timmy Time,82
Danny Phantom,53
Love Court,20
Nos vies secrètes,86
Public Atorni: Asunto o Areglo,145
The Electric Company (2009 TV series),52
Poor Prince,45
The Secret Saturdays,36
Genesis (Fernsehserie),55
The Real World: Miami,22
Believe (série télévisée),13
وقت المغامرة,236
"The Game (série télévisée, 2006)",147
Tabaluga,78
Notorious Woman,7
The Lair,28
Golan the Insatiable,12
Die Abenteuer der Bremer Stadtmusikanten,26
Wallace and Gromit,1
New York Goes to Work,9
Boys Over Flowers (TV series),25
以一敵百 (中國大陸),35
Cosmic Odyssey (documentary),9
Beauty and the Geek Australia,49
暗警,20
S Club 7 Go Wild!,7
Corner the Con Man,20
The Family (Fernsehserie),12
Prawo i bezprawie,13
Corazón partido,90
料理の鉄人,14
Childrens Hospital,86
ربيع الطفولة,13
Safe House (Fernsehserie),8
Everybody Hapi,92
Sesame Street,4384
My Secret Identity,72
Paris Hilton's British Best Friend,8
Dark Shadows (serial telewizyjny 1966),1225
Totally Tracked Down,13
Fifi and the Flowertots,121
Patton 360°,10
The Black Donnellys,13
Clueless (serie de televisión),62
Killin' N Grillin',18
Ben 10: Ultimate Alien,52
Built to Last (TV series),8
Big (série de televisão),16
True Life,346
Nosal i Skrob,20
ウルトラギャラクシー大怪獣バトル NEVER ENDING ODYSSEY,13
Whitechapel (televisieserie),18
N1ckola,101
Graceland (serie de televisión),38
A Chip Off the Old Block,21
Héroes (serie de televisión),77
Calvin i pułkownik,26
فريق البطل: 108,104
Pyaar Kii Ye Ek Kahaani,280
A Gifted Man,16
La dottoressa Giò,13
Damon Runyon Theater,39
The Player,9
Running in Heels,8
The Strip (NZ TV series),40
The Word (TV series),104
Spenser (film series),3
異常犯罪捜査班S.F.P.D.,13
Wheeler Dealers : Occasions à saisir,166
Colonel Bleep,104
Bad Family (TV series),16
حدث ذات يوم كوكب الأرض,26
Star Magic Presents,100
Brothers & Sisters,109
Murder Prevention,6
Es war einmal … das Leben,26
ゼフロンクの楽しいキッチン,20
"Les Nouvelles Aventures de Zorro (série d'animation, 1981)",13
Stars on Trial,8
1911 Revolution (TV series),41
The Walking Dead (serie de televisión),83
Centennial International,4
冒險王奇克,103
Born Diva,16
Mrs. Brown's Boys,28
Beast Wars: Transformers,52
Weird-Oh's,13
刑事ハンター,153
48 часов (телесериал),991
Gawayn,104
Chuck (serie televisiva),91
Keep It in the Family (TV series),31
StarStruck (season 4),91
Londyńczycy,29
"Archie, mystères et compagnie",40
奥特曼列传,155
Talang 2009,11
夜班医生,35
The Garfield Show,105
Who Do You Think You Are?,61
Family Dog (TV series),10
Trust Me (Fernsehserie),13
Moja piękna grubaska,178
Conviction,13
The Game (televisieserie),147
Belinda (telenovela),105
"Go, Diego, Go",75
Agathe kann’s nicht lassen,5
Life (televisieserie),32
"Pueblo chico, infierno grande (telenovela)",150
名探偵の掟,10
Catalina y Sebastián,120
Arrivano i Rossi,37
Getting On (UK TV series),15
Justice (2011 TV series),5
Parks and Recreation,125
Line of Fire,13
Floricienta,361
Small Potatoes (1999 TV series),13
Samantha oups!,314
Chansons (TV series),13
The Adventures of Super Mario Bros. 3,26
Vier gegen Z,39
Sons and Daughters (1991 TV series),13
غريفز (مسلسل),1
不滅的李舜臣,104
إمباكت ريسلنغ,639
Z Cars,803
Bouli de sneeuwpop,36
The Rousters,13
I ragazzi di padre Tobia,14
Topmodel (Belgium cycle 1),10
學警狙擊,30
My Kind of Music,48
Pavitra Rishta,1424
Dreams (TV series),12
Huntik: Łowcy tajemnic,52
Duckman,70
Godzilla: The Series,40
Beauty Queen (TV series),80
Le stagioni del cuore (serie televisiva),12
Twin Peaks,30
Monster Moves,31
El último escándalo de mi vida,16
リング・オブ・オナー・レスリング,264
Yam Roll,39
All My Life (TV series),60
Wolverine y los X-Men,26
No Signal!,10
