http://dbpedia.org/ontology/Skier,http://dbpedia.org/ontology/weight
"Храпек, Каролина",69000.0
"Хубер, Мартин Иосифович",97000.0
Svetlana Gladyševa,73000.0
Marina Kiehl,62000.0
"Хальварссон, Ян",73000.0
Roberto Nani,75000.0
Agnieszka Gąsienica-Daniel,58000.0
Mykhaylo Renzhyn,78000.0
Luca De Aliprandini,73000.0
Irene Epple,60000.0
"Гонсеница-Даниэль, Агнешка",58000.0
Mauro Caviezel,87000.0
Lavinia Chrystal,64000.0
"Гран, Стуре",78000.0
Marija Kirkowa,65000.0
Jan Halvarsson,73000.0
Nadeschda Nikolajewna Patrakejewa,65000.0
Martin Bendík,95000.0
Marina Kiehl,62000.0
Emily Bamford,64000.0
Elis Wiklund,80000.0
Swietłana Gładyszewa,73000.0
"Фалат, Матей",83000.0
Adeline Baud,56000.0
Marko Vukićević,91000.0
Marina Kiehl,62000.0
Constantinos Papamichael,61000.0
