http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Сет (футбольный клуб),8000
نادي زاناكو,10000
AS SONABEL,5000
Diagoras F.C.,3693
CD Ronda,2000
CD Plaza Amador,6000
CP Olivenza,5000
Club Social Deportivo León de Huánuco,20000
Кастриоти (футбольный клуб),10000
Inter Moengotapoe,5000
Maccabi Herzliya,8100
FC Bassin d'Arcachon,1000
Club Irapuato,28500
Хорн (футбольный клуб),3500
Hellenic Athletic,5000
Sporting Clube da Praia,8000
Sekondi Hasaacas,20000
Anagennisi Karditsa,5800
SD Atlético Albericia,1000
Tauro Fútbol Club,32000
Mora CF,600
Millwall Lionesses Ladies Football Club,20146
Deportivo Pereira,30297
Klubi Futbollistik Hajvalia,1000
"Скала (футбольный клуб, Скала)",2000
Universidad Católica de Murcia Club de Fútbol,6500
Action 21 Charleroi,3000
C.R.D. Libolo,10000
Локарно (футбольный клуб),11000
Deportivo Educación,10000
Yeedzin FC,25000
Surat Thani Futsal Club,4500
Al Ahli Ad-Dauha,18000
FC Dinamo Kírov,2000
Baltimore Comets,47855
Akademik Sofia,10000
Жуазейренсе,8000
TSF Ditzingen,4000
Club Deportivo Ferroviarios,220
Roan United,8000
Савойя (футбольный клуб),10750
Club Sportivo Italiano,8000
Águia de Marabá Futebol Clube,4500
Club Deportiu Tortosa,6000
Killymoon Rangers F.C.,700
Ballingarry A.F.C.,1000
Olympique Club de Safi,15000
Tractor Sazi Tabriz Football Club,66833
FC Vitebsk,8100
نادي ترنتشين,3500
Sportivo Italiano Buenos Aires,8000
AS Maya,2000
Unión Deportiva Melilla,12000
Association sportive Moulins Football 03 Auvergne,3500
FC TVMK Tallinn,4750
Southern Oregon Fuego,1700
Deportes Santa Cruz,5000
TJ Sokol Tasovice,1200
GKS Bełchatów,5238
Futebol Clube de Felgueiras,8000
Real Estelí Fútbol Club,5000
Urawa Red Diamonds Ladies,21500
نادي ريكرياتيفو ديسبورتيفو دو ليبولو,10000
Дахук (футбольный клуб),30000
US Sainte-Marienne,1500
Vallecas Club de Fútbol,2500
Manchester City F.C. Reserves and Academy,7000
SC Erebuni Dilijan,2100
Ла-Шо-де-Фон (футбольный клуб),12700
دفاع تاجنانت,10000
TSV Vestenbergsgreuth,6000
Tacuarembó Fútbol Club,12000
UMF Víkingur,1130
US Rumelange,2950
União São João Esporte Clube,22000
FC Tekstilshchik Kamyshin,10000
Corporación Club Deportes Tolima,30000
León de Huánuco,20000
Skála ÍF,2000
FK Fakel Woronesch,31793
FC KooTeePee,4780
ACS Ksar,10000
NK Iskra Bugojno,12000
Club Atlético Douglas Haig,16000
Beijing Guoan,66161
SC Kriens,5360
横浜フリューゲルス,15046
Institución Deportiva Colegio Nacional de Iquitos,24000
CD Lagun Onak,1500
Spartak Płowdiw,3500
PSIM Jogjakarta,25000
Esporte Clube Guarani,4000
Saint-Pryvé Saint-Hilaire FC,1800
FK Fakel Voronej,31793
Corporación Social Deportiva y Cultural de Pereira,30297
Carabobo Fútbol Club,10400
Swift Hesperange,3058
FC Lugano,6330
Les Astres Football Club,30000
Unión Deportiva Fuerteventura,2000
Free State Stars,20000
Granada CF,23934
Milsami Orgiejów,2539
Deportivo Guastatoya,3000
FKS Stal Mielec,6864
Borussia Mönchengladbach,54057
