http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/areaLand
艾姆斯,62700000.0
Columbus (Indiana),71224700.0
"Seacliff, California",1985000.0
"Franklin, Milwaukee County, Wisconsin",89560000.0
كولومبيا (ميزوري),163376000.0
Saint-Placide,43120000.0
"Mountainair, New Mexico",2589990.0
Saint-Bernard (Quebec),90010000.0
Pahrump,942756000.0
Cedar Falls,74462200.0
"Nineveh Township, Johnson County, Indiana",93783500.0
"Weott, California",1949000.0
San Diego,842230000.0
"Blue Springs-Wymore Township, Gage County, Nebraska",93291400.0
奧斯汀,686088000.0
パイロットマウンド郡区 (アイオワ州ブーン郡),57760000.0
Spring Valley Lake (California),7689670.0
Nevada (Iowa),13105300.0
カス郡区 (アイオワ州カス郡),92333100.0
Garden Plain Township (Illinois),79512600.0
Louisiana (staat),1.12927e+11
Casmalia,486918.0
Pueblo (Colorado),116700000.0
San Fidel,10898700.0
Lame Deer,144003000.0
Lac-Saint-Joseph,33660000.0
Menifee (Califórnia),120346000.0
Sainte-Hélène-de-Mancebourg,68460000.0
Colorado Springs,503900000.0
"Municipio de Jackson (condado de Wells, Indiana)",92359000.0
"East Tulare Villa, California",1248000.0
"Municipio de Liberty (condado de Hancock, Iowa)",93480000.0
"Lake Riverside, California",18629800.0
Massueville,1650000.0
Nagasaki,241200000.0
Notre-Dame-du-Sacré-Cœur-d'Issoudun,60000000.0
"Municipio de Washington (condado de Clark, Indiana)",91141700.0
Casares,160000000.0
Setenil de las Bodegas,82000000.0
Brooklyn (Wisconsin),2823090.0
"Gmina Jackson (hrabstwo Boone, Iowa)",95170000.0
"Brady, Montana",8003060.0
"Broken Bow Township, Custer County, Nebraska",321910000.0
"Pleasant Township, Wabash County, Indiana",140610000.0
فان بورن (مين),87490000.0
Southbridge (Massachusetts),52835800.0
"Wayne Township, Randolph County, Indiana",102823000.0
Oklahoma,1.78023e+11
"Saint-Lambert, Abitibi-Témiscamingue, Quebec",100880000.0
Saint-Antoine-de-Tilly,60350000.0
Greens Landing,6900000.0
Gary (Indiana),129163000.0
"Shady Cove, Oregon",4950000.0
Oyster Bay (New York),270395000.0
"Val-des-Bois, Quebec",225350000.0
Hato Rey,13930000.0
بوسفيل (كيبك),167540000.0
Gmina Amaqua,95182100.0
Paspébiac,94540000.0
"Bucks, Alabama",1002330.0
Ellensburg (Washington),17922700.0
Búfalo (Nueva York),105200000.0
堪薩斯城 (密蘇里州),815720000.0
"Perry Township, Vanderburgh County, Indiana",71949900.0
"Durand Township, Winnebago County, Illinois",76715400.0
"Municipio de Rudd (condado de Floyd, Iowa)",91271200.0
Salas de los Infantes,31000000.0
加利福尼亚州,4.03932e+11
"Phelps City, Missouri",1276860.0
"Ньютон (округ, Джорджия)",704477000.0
"Percy Precinct, Randolph County, Illinois",48440000.0
ハーマル,338000000.0
Nevada (Iowa),13110000.0
"Clarendon Parish, New Brunswick",492910000.0
Бенедикт (Мэриленд),600000.0
オタワ郡 (オハイオ州),660447000.0
"El Coco, Coclé",146300000.0
"Fugit Township, Decatur County, Indiana",110489000.0
"Gmina Jackson (hrabstwo Calhoun, Iowa)",86190000.0
"Municipio de Pawhuska (condado de Camden, Misuri)",50453000.0
Westpoort (Amsterdam),26000000.0
Enterprise (West Virginia),7600000.0
"Gmina Washington (hrabstwo Buchanan, Iowa)",92340000.0
"Municipio de Jackson (condado de Cass, Indiana)",77790000.0
デイトン (オハイオ州),144133000.0
"Municipio de Makee (condado de Allamakee, Iowa)",92440000.0
Distrito electoral de Eddyville n.º 6,248690000.0
阿維拉鎮區 (堪薩斯州科曼奇縣),308710000.0
نانتيس (كيبك),120390000.0
"Nevins Township, Vigo County, Indiana",79150000.0
Punta Gorda,38900000.0
Montana,3.76978e+11
ニースト郡区 (アイオワ州キャロル郡),92410800.0
"Municipio de Addison (condado de DuPage, Illinois)",82206200.0
"Municipio de Jackson (condado de Hancock, Indiana)",92048200.0
"Smithfield Township, DeKalb County, Indiana",90623700.0
"Lloyd Township, Dickinson County, Iowa",92920000.0
Val-des-Lacs,125440000.0
Хьюстон,1642100000.0
Горем (Мэн),131110000.0
"Municipio de Howard (condado de Elk, Kansas)",166329000.0
"Las Tablas, Bocas del Toro",97300000.0
Nanticoke Acres,686347.0
"Sagres, São Paulo",149370000.0
"Linton Township, Allamakee County, Iowa",81720000.0
"Gmina Liberty (hrabstwo Hancock, Iowa)",93472700.0
Ellensburg,17922700.0
Longue-Rive,309270000.0
St. Louis (Missouri),160320000.0
Fermanagh,1691000000.0
Gillette (Wyoming),49132100.0
Houston,1642100000.0
"West Santa Clara, California",128423000.0
Minnesota,2.06375e+11
Saint-Isidore (La Nouvelle-Beauce),102710000.0
Las Lajas (Panama),54200000.0
Gmina Sumner No. 2,78062200.0
"Municipio de Brooke (condado de Buena Vista, Iowa)",94508700.0
"Rosefield Township, Peoria County, Illinois",94223800.0
"Altona, Colorado",4400000.0
Saint-Gérard-Majella,38210000.0
"Marrs Township, Posey County, Indiana",133500000.0
"Pepperell, Massachusetts",58533700.0
Longmeadow,23400000.0
Siracusa (Nueva York),65000000.0
Детройт,359361000.0
Saint-Anicet,135160000.0
هاجرستاون,31494300.0
"Pepperell (CDP), Massachusetts",5179980.0
スプリングデール郡区 (アイオワ州シーダー郡),94210000.0
"Bibo, New Mexico",23140000.0
"Indio Hills, California",55715800.0
Lincoln (Nebraska),236860000.0
Atoka (Nuevo México),17505700.0
"Chelyan, West Virginia",1043770.0
Gary (Indiana),129163000.0
"McGee Creek, California",10391000.0
Aberdeen (South Dakota),40144800.0
بلدة بير ليك (مقاطعة كالكاسكا),185184000.0
"Union Prairie Township, Allamakee County, Iowa",91685600.0
Cité du Havre,1350000.0
Gmina Delhi (Iowa),92350000.0
ريدو ليكس (أونتاريو),729090000.0
"Washington Township (Lucas County, Ohio)",2400000.0
"Municipio de Platte (condado de Buchanan, Misuri)",79668000.0
ساينت بريري (كيبك),9970000.0
Gmina High Lake,86470000.0
Baie-du-Febvre,97410000.0
Saint-Jean-Baptiste (Montérégie),72030000.0
Vicksburg (Arizona),370109000.0
"Albion Township, Barton County, Kansas",93810000.0
"Crown, Pennsylvania",6570000.0
La Visitation-de-Yamaska,42690000.0
Wiconisco,2820000.0
Dayton (Ohio),144133000.0
Gmina Illyria,95441100.0
"Marquette, Michigan",29500000.0
دورهام سود (كيبك),93430000.0
Palmira (Chiriquí),57500000.0
Парис (Техас),110700000.0
Nouveau-Mexique,3.1459e+11
Gmina Cass (hrabstwo Cass),92333100.0
"Bear Lake Township (Manistee County, Michigan)",90000000.0
سوثيرلين,15930000.0
オハイオ州,1.06156e+11
"Dunlo, Pennsylvania",1360000.0
Нью-Джерси,19047300000.0
"Buck Township, Hardin County, Ohio",79100000.0
"Municipio de Jefferson (condado de Henry, Indiana)",73270800.0
Dourados (gemeente),4088040000.0
Dayton (Ohio),144130000.0
"Leisure Village West, New Jersey",3133000.0
Mechanic Falls,17700000.0
Palm Springs,243761000.0
McIntosh (Nuevo México),57676400.0
"Jefferson Township, Adams County, Indiana",62418700.0
"Municipio de Polk (condado de Benton, Iowa)",117767000.0
Кентукки,1.02895e+11
أسكوت كورنر (كيبك),82470000.0
"Lac-Simon, Outaouais, Quebec",97370000.0
伊萨卡 (纽约州),14100000.0
"Orthel Township, Hancock County, Iowa",92643900.0
"Makee Township, Allamakee County, Iowa",92440000.0
Saint-Roch-Ouest,20780000.0
"Municipio de Jackson (condado de Putnam, Indiana)",89510000.0
فيرمون (كيبك),470670000.0
Eastvale (Kalifornien),29538800.0
Rivière-Saint-Jean (La Côte-de-Gaspé),1751460000.0
Hamilton (Ontario),1117110000.0
"Municipio de Payne (condado de Sedgwick, Kansas)",80263700.0
Lyon County (Kentucky),554257000.0
McClenney Tract,1595000.0
Gmina Twelve Mile Lake,90287000.0
"Westburg Township, Buchanan County, Iowa",88137300.0
Alameda,27482400.0
Wiscasset (Maine),63791400.0
"Addison Township, DuPage County, Illinois",82206200.0
St. Clair County (Alabama),1636870000.0
Kurten (Texas),11800000.0
Saint-Jean-de-Brébeuf,79000000.0
"Cap-Saint-Ignace, Quebec",208440000.0
فورت واين,286500000.0
Jackson (Missisipi),271700000.0
Cochranville,2900000.0
"Mingo Township, Bates County, Missouri",66870000.0
"Municipio de Cass (condado de Cedar, Iowa)",67728200.0
Hawaii,16638000000.0
"Municipio de Jackson (condado de Sandusky, Ohio)",93300000.0
"Rivière-Saint-Jean, Quebec",522570000.0
利安通德區,888100000.0
"Municipio de Eagle Creek (condado de Lake, Indiana)",144625000.0
Mannar District,1880000000.0
Ames (Iowa),62700000.0
"Municipio de Pleasant (condado de Coffey, Kansas)",158100000.0
"Municipio de Frederika (condado de Bremer, Iowa)",48800000.0
Nantes (Québec),120390000.0
Alabama,1.31426e+11
Saint-Côme-Linière,150400000.0
大梅多鎮區 (克萊頓縣),93576300.0
"Greeley Township, Audubon County, Iowa",92450000.0
"Bath Township, Cerro Gordo County, Iowa",94800000.0
Détroit (Michigan),359361000.0
"Bonne-Espérance, Quebec",646730000.0
Cubero (Nuevo México),24307000.0
Tigre (partido),220000000.0
Miholjanec,13140000.0
"Saint-Henri, Chaudière-Appalaches, Quebec",122290000.0
Bromont,114420000.0
"Darby Township, Pickaway County, Ohio",88800000.0
Cambridge (Massachusetts),16650000.0
Montana,3.76978e+11
"Wheatland, Montana",195900000.0
Ellensburg (Washington),17920000.0
Gmina Bingham (Iowa),91380000.0
Gmina South Fork (hrabstwo Delaware),108320000.0
Prado del Rey,49000000.0
إثاكا (نيويورك),14244900.0
Columbus (Indiana),71220000.0
"Boyd County, Kentucky",414398000.0
Adstock,290110000.0
Prévost (Québec),35050000.0
"Municipio de Bloomfield (condado de Trumbull, Ohio)",65785700.0
"Municipio de Bucks (condado de Tuscarawas, Ohio)",58533700.0
"Runnels County, Texas",2722080000.0
