http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/height
Puente de Alcántara,45.0
Ponte dell'Alamillo,140.0
جسر دير الزور المعلق,36.0
Сент-Джонс (мост),121.92
جسر كاركينز,124.968
Shiplake Railway Bridge,5.1816
ノルマンディー橋,214.77
Daraja la Umoja,10.0
Holland Tunnel,3.81
拉班干谷桥,167.5
Puente Lupu,100.0
塔胡恩空中走道,50.0
ライオンズゲートブリッジ,111.0
Puente Don Luis I,44.6
Pont ferroviaire de Kehl,8.0
ファーティフ・スルタン・メフメト橋,105.0
Pont Vasco da Gama,155.0
Most Rędziński,122.0
Pont de la Victoire,34.0
Ponte Octávio Frias de Oliveira,138.0
Poyabrücke,107.65
Oude Kleine Beltbrug,33.0
Moseltalbrücke,136.0
Rama-IX.-Brücke,87.0
Maurzyce-Brücke,4.3
Westerscheldetunnel,4.3
Pont de l'Alamillo,140.0
جسر أوريسند,204.0
Аркольский мост (Париж),20.0
Puente atirantado de Jerusalén,118.0
Bear Mountain Bridge,109.728
Pont de Bloukrans,216.0
Story Bridge,74.0
Bear Mountain Bridge,109.728
Teddington Lock Footbridges,5.4864
Incheon-Brücke,230.5
Pont Puh,18.7
ドン・ルイス1世橋,44.6
Most Replot,82.5
Мост Цзинъюэ,265.0
Ponte do Severn,135.636
Sunshine Skyway Bridge,131.064
Holzbrücke Rapperswil–Hurden,1.5
Puente de Normandía,214.77
Sydney-Harbour-Tunnel,4.4
亨伯桥,155.5
李舜臣大橋,270.0
Pont du Ganter,150.0
Braunston Tunnel,3.76
Most Rosyjski,320.9
Rainbow Bridge (Tokio),126.0
グレートベルト・リンク,254.0
Ponte Maria Pia,60.0
Old Dyrskartunnel,3.5
六广河大桥 (贵毕公路),297.0
Pont de Biscaye,45.0
Ponte de Justiniano,10.0
Hoosac-Tunnel,6.096
江島大橋,44.7
Железнодорожный мост Чжаоцин через реку Сицзян,122.0
"Sutton Bridge, Oxfordshire",4.2672
Ponte Octávio Frias de Oliveira,138.0
Pont du Garigliano,11.0
Puente del Ravenna,58.0
Phú Mỹ Bridge,145.0
Most Grenlandzki,168.0
Pont du Garigliano,11.0
Howrah Bridge,82.0
Мост Балинхэ,204.5
Wami Bridge,15.24
Manhattan Bridge,102.413
Airport Tunnel (Los Angeles),4.572
Wallingford Bridge,4.8768
Reading Festival Bridge,10.0
Charles M. Braga Jr. Memorial Bridge,77.4192
Puente Nelson Mandela,27.0
Most Siekierkowski,90.0
نفق غيمري,5.0
Rendsburger Hochbrücke,68.0
Ponte di Manhattan,102.413
Pittsburgh & Steubenville Extension Railroad Tunnel,5.6388
Ponte Jacques-Cartier,104.0
Queen Elizabeth Bridge,6.096
Queens–Midtown Tunnel,3.6576
Puli Bridge,154.0
Мост Ушань,130.0
جسر البرج (لندن),65.0
Stoney Creek Bridge,90.0
Pont Guillaume,65.0
Bandra–Worli Sea Link,126.0
Eaton Footbridge,2.7432
落脚河大桥,183.0
Most Marii Skłodowskiej-Curie w Warszawie,9.0
Мост Димухэ,360.0
Grays River Covered Bridge,6.858
Europabrücke,190.0
Farø-bruggen,20.0
Lune Aqueduct,18.5928
Caversham Bridge,4.572
Most Chaotianmen,142.0
Pont Érasme,139.0
Malabadi Bridge,19.0
جسر ماكيناك,168.25
Puente del Bósforo,165.0
Most Lupu,100.0
Highline179,114.6
Røldal Tunnel,4.2
安庆长江大桥,185.0
Puente de Trajano,19.0
Royal Albert Bridge,52.4256
Pont d'Incheon,230.5
Älvsborg Bridge,107.0
Мост Плаки,21.0
喬治華盛頓大橋,184.099
