http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/populationDensity
比利亚尔伦戈,1.3
"Terrace Heights, Edmonton",3068.4
St. Anthony (Minnesota),1411.59
"Linton Township, Allamakee County, Iowa",3.74519
加莫内斯,7.5
Nepalganj,1592.13
Yaguajay,57.1
"Jefferson Township, Allamakee County, Iowa",6.6
Rúa,131.12
Kisvárda,502.03
丰特尔萨斯德索里亚,2.0
"Parks, Nebraska",50.5
Mazaleón,6.9
Curiel de Duero,7.15
Saint-Alphonse-de-Granby,62.6
"Lambton, Quebec",14.6
Paroisse de Sainte-Anne,2.6
"Municipio de Massena (condado de Cass, Iowa)",6.5
イストチナ・イリジャ,546.0
Oliva de Plasencia,2.8
Gmina Victoria (Iowa),1.8919
Gawan,2733.7
Hunagunda,5549.85
Itaim Bibi (district of São Paulo),8.228
Pozondón,1.4
Siria,118.3
Lamèque,115.1
"Municipio de Newcastle (condado de Dixon, Nebraska)",4.86489
Navas de San Juan,29.0
"Municipio de Jackson (condado de Dubois, Indiana)",23.7067
Kutyshche,240.0
Kommune Kujalleq,7151.0
Utrillas,80.2
"Perry Township, Monroe County, Indiana",553.362
石垣市,213.0
Almohaja,1.1
Mohyliw-Podilskyj,501.0
Горбали,211.0
"Hazleton Township, Buchanan County, Iowa",18.4557
Вальехера,3.1
Alcorisa,29.1
Sakae-ku,6750.0
"Jefferson Township, Jay County, Indiana",8.45564
"Darbydale, Ohio",310.3
"Jackson Township, Steuben County, Indiana",20.2318
比纳塞特,5.6
Villaluenga de la Sagra,119.1
Bronica,191.7
Calixa-Lavallée,15.6
Fermont,6.1
Mountainair,410.9
Okres Hodonín,143.0
Čajniče,19.0
奥鲍乌伊瓦尔,45.08
Majibacoa,64.8
نيكوليت (كيبك),81.5
Solt,53.99
"Val-des-Bois, Quebec",4.2
"Carr Township, Jackson County, Indiana",14.0927
"Saint-André Parish, New Brunswick",8.9
Minas (Cuba),37.9
Atsugi,2390.0
"Posey Township, Washington County, Indiana",21.7376
فياريال دي أويرفا,7.1
"Orthel Township, Hancock County, Iowa",2.7
"Pleasant Township, Knox County, Ohio",50.2319
拉瓦利杜伊克索,486.0
La Codoñera,16.2
González Catán,3189.0
"Municipio de Wood (condado de Clark, Indiana)",27.2974
"Iowa Township, Cedar County, Iowa",4.8
Джаджпур,620.0
Esteio,2928.84
Phan District,125.3
Hagerstown (Indiana),514.9
فوسامبو سور لو لاك (كيبك),141.7
"North Fork Township, Delaware County, Iowa",5.5
巴尔萨洛夫雷,1.8
"Seya-ku, Yokohama",7390.0
Kuruburu,5236.48
Gundlupet,6248.34
Tejada (Burgos),1.54
桑蒂乌斯特德佩德拉萨,4.1
"Municipio de Bellair (condado de Appanoose, Iowa)",8.9
"Berczy Village, Ontario",3491.99
Esteio,2928.84
Municipio de Kočani,105.71
Villarrubia de Santiago,18.7
Krasnoperekopsk,1395.0
"Lac-Etchemin, Quebec",25.8
Omitama,352.0
Sveti Nikole,38.3
Lanzuela,2.2
Abanilla,26.48
"Municipio de Cedar (condado de Calhoun, Iowa)",4.36295
Plympton-Wyoming (Ontario),23.8
"Washington Township, Hendricks County, Indiana",447.2
伊比里特,2230.23
"Pleasant Township, Cass County, Iowa",14.3
Bruno (Canada),606.1
Ла-Матилья,16.3
Istočni Stari Grad,16.0
"Municipio de Dale (condado de Kingman, Kansas)",2.2
San Antonio de Padua,6039.2
Fraiburgo,938.9
Marhanets,1312.0
Runnels County,3.86102
Estercuel,5.7
"Bernal, Argentina",5537.26
"Machin, Ontario",3.2
Jericoacoara,82.5
Montealegre de Campos,4.0
Hagerstown (Indiana),514.9
"Municipio de Grove (condado de Adair, Iowa)",1.85329
Arambag,4224.0
Varnhem,889.0
卡鲁塔佩拉,16.4
莫德卢,40.6
Monastyryšče,163.0
La Horcajada,15.2
メイキー郡区 (アイオワ州アラマキー郡),45.2
"West Point Township, White County, Indiana",2.74133
Mitane,72.1
东部旧城,16.0
Veddige,1156.0
"Raccoon Township, Parke County, Indiana",6.87262
"East Hereford, Quebec",4.3
Poveda (Ávila),13.5
Minas de Matahambre,40.1
Calaceite,14.1
Abanilla,26.48
"Amancio, Cuba",48.5
Barkot,2500.0
Vaudreuil-sur-le-Lac,989.2
"Noblesville Township, Hamilton County, Indiana",416.952
فوينتي إل ساوث,29.3
Betim,1176.61
Aizu-Wakamatsu,321.0
Ágreda,19.5
Breza (Zenica-Doboj),200.0
"Ayer's Cliff, Quebec",197.9
Villarmayor,5.5
Aračinovo,370.51
تمارة,7124.0
Lipkovo,101.03
Cacoal (gemeente),19.7
"Municipio de Jackson (condado de Butler, Iowa)",7.37455
Municipal District of Fairview No. 136,1.2
شوت سان فيليب (كيبك),3.0
馬爾加涅茨,1312.0
Deseronto,728.3
Villarrubia de Santiago,18.7
Viñas,6.5
Karkal,1089.16
Tercer Frente,83.6
"Cedar Township, Nance County, Nebraska",1.00387
Čajniče,19.0
"Marrs Township, Posey County, Indiana",36.47
Osnaburgh 63A,3.7
"Pigeon Township, Vanderburgh County, Indiana",1059.85
Gamones,7.5
Cruz (Ceará),67.28
Niceto Pérez,27.8
Municipio de Sumner No. 2 (Iowa),4.13129
La Vid de Ojeda,6.5
Maisí,53.9
Kneehill County,1.5
ダッジ郡区 (アイオワ州ブーン郡),4.3
Hrabstwo Runnels,3.86102
"Miller Township, Dearborn County, Indiana",144.904
Banyalbufar,33.5
Aldeonte,4.7
Sainte-Praxède,2.7
Kupjans'k,33.0
"South Fork Township, Delaware County, Iowa",11.3
博尼利亚德拉谢拉,2.8
هاجرستاون,1298.8
"Pleasant Township, Brown County, Ohio",61.9
Kerekegyháza,76.6
Carlos (Maryland),206.0
Смольное (Львовская область),1197.0
Minamibōsō,169.0
尤寧普雷里鎮區 (阿勒馬基縣),8.3
Requena de Campos,3.2
"Municipio de Pittsford (condado de Butler, Iowa)",10.5
Singra,2.6
فيلاركايو دي ميراينداد دي كاستيلا لافايجا,26.9
Camarillas,2.0
Олива-де-ла-Фронтера,39.5
Miedes de Aragón,9.0
"Hinohara, Tokyo",20.8
Puerto de San Vicente,5.4
Jászárokszállás,107.13
Cascante del Río,3.2
Юнкос,440.2
"Rivière-au-Tonnerre, Quebec",0.5
"Wayne Township, Randolph County, Indiana",44.8265
"Saint-Colomban, Quebec",139.8
Valdeltormo,22.1
"Municipio de Jefferson (condado de Tipton, Indiana)",14.0541
Maglaj,86.0
Barkot,2500.0
Bridgeport (Connecticut),3367.16
Muniesa,5.5
"Oden, Michigan",228.4
Ореховчик,411.0
Jobabo,55.9
Villayerno Morquillas,21.2
"Sainte-Victoire-de-Sorel, Quebec",33.5
Saint-Edmond-de-Grantham,13.9
República (district of São Paulo),20.747
Jatibonico,55.8
"Sacré-Cœur-de-Jésus, Quebec",5.4
"Municipio de Jackson (condado de Newton, Indiana)",4.01546
Кураса,4.9
Veddige,1156.0
"Black Township, Posey County, Indiana",45.64
普萊森特鎮區 (堪薩斯州科菲縣),1.73746
Krishnanagar (Nepal),990.0
"Municipio de Widner (condado de Knox, Indiana)",10.6178
卡拉马斯塞尔伊,2013.0
涅米亞奇,308.0
Villatobas,13.7
"Grasshopper Township, Atchison County, Kansas",3.3
"Jackson Township, Ripley County, Indiana",12.4711
內戈蒂諾區,45.05
Kupres,9.0
Aniñón,16.1
Aalborg (stad),954.0
Saint-Camille-de-Lellis,3.4
耶古诺夫采区,60.98
Nogueras,1.0
Itaparica (gemeente),187.9
"Venise-en-Québec, Quebec",116.9
Lummus Park Historic District,3680.33
Lanischie,2.29
Municipio de Andover (Ohio),47.9
Rural Municipality of Glen Bain No. 105,0.3
グランド・リバー郡区 (アイオワ州アデール郡),1.6
Minamibōsō,169.0
切拉纳尔卢尔,2485.0
"Municipio de Pleasant Valley (condado de Finney, Kansas)",0.386102
Bádenas,0.6
Cauto Cristo,38.5
Miño de Medinaceli,1.8
Municipio de Iroquois (Indiana),14.2858
Smoky River No 130,0.7
Олива-де-Мерида,7.4
列寧區 (塞瓦斯托波爾),4240.0
Jarque de la Val,3.3
Valacloche,1.6
錫達鎮區 (堪薩斯州考利縣),0.386102
Antracyt (miasto),904.0
Gmina Iowa (hrabstwo Benton),5.0
"Buk-gu, Pohang",364.0
Малин (Житомирская область),444.5
リントン郡区 (アイオワ州アラマキー郡),3.7
فرايليس,40.0
Comté de Camrose,2.3
Sainte-Angèle-de-Monnoir,39.9
Aizu-Wakamatsu,321.0
Fonz,19.88
Älvängen,1417.0
Sabolotzi (Brody),400.0
La Vid de Ojeda,6.5
Mudalgi,2387.7
Уэса-дель-Комун,1.9
"Saint-Édouard-de-Maskinongé, Quebec",14.6
Nepalgunj,1592.13
Opština Aračinovo,370.51
Karcag,61.25
Фриас-де-Альбаррасин,3.3
"El Tejar, Chiriquí",53.7
Gmina Kniest,4.78767
Гуаренас,1411.0
圣胡安德洛尔莫,5.2
Cumanayagua,46.8
Kerekegyháza,76.6
巴列萨德拉瓜雷尼亚,3.78
Matilla de los Caños,9.3
Nezahualcóyotl (Stadt),17423.4
Lopare,56.0
"Municipio de Jefferson (condado de Allamakee, Iowa)",6.6
Cadalso de los Vidrios,47.0
"Wayne Township, Kosciusko County, Indiana",248.92
Lillkyrka,858.0
瓜达拉维亚尔,9.8
Province de Chayanta,18.2
Valmojado,119.6
Nezahualcóyotl (estado de México),17423.4
La Muela,20.0
Distrito de Ludhiana,975.0
Santa María de los Llanos,19.0
Comté de Wetaskiwin No 10,3.5
南孔索拉西翁,1866.0
"Liberty Township, Buchanan County, Iowa",12.8958
乔穆汉,3000.0
Nesseby,0.64
Mazariegos,10.7
"Moore, Utah",1.93051
Каньисар-дель-Оливар,6.3
Downtown Vancouver,11576.5
Hornillos de Eresma,5.7
"Haw Creek Township, Bartholomew County, Indiana",40.6566
Cea (León),4.72
Gmina Portland (hrabstwo Cerro Gordo),3.9
Zarzosa de Río Pisuerga,5.2
Лига арабских государств,27.17
Andratx,143.44
