http://dbpedia.org/ontology/SportsTeamMember,http://dbpedia.org/ontology/squadNumber
List of Russian football transfers winter 2009–10,74
Elencos da Copa do Mundo de Clubes da FIFA de 2012,12
List of Cypriot football transfers summer 2013,54
List of French football transfers summer 2013,38
List of German football transfers summer 2010,32
2006–07 Fulham F.C. season,4
List of Belgian football transfers summer 2015,7
West Ham United Football Club 2012-2013,46
Laguna Football Club,12
2004 South Carolina Gamecocks men's Soccer Team,18
West Ham United F.C. Reserves and Academy,42
List of Belgian football transfers summer 2009,24
List of Chinese football transfers winter 2014,40
List of Slovak football transfers winter 2012–13,27
List of Russian football transfers summer 2013,22
Elencos da Copa do Mundo de Clubes da FIFA de 2012,56
2007 SK Brann season,16
List of Belgian football transfers winter 2012–13,9
List of Norwegian football transfers winter 2012–13,24
List of Iranian football transfers summer 2013,13
2010–11 Deportivo Toluca season,19
里斯本雄狮,3
Toledo BM,5
2010–11 Atlante F.C. season,24
List of Cypriot football transfers winter 2013–14,33
List of Maltese football transfers summer 2009,24
List of Serbian football transfers summer 2010,44
List of Ukrainian football transfers summer 2010,33
2010–11 West Ham United F.C. season,14
List of Slovak football transfers summer 2013,7
2013–14 UEFA Youth League squads,54
Sapura HC,15
2014 Fordham Rams men's soccer team,17
2010–11 San Luis F.C. season,2
UR La Louvière Centre,23
2009–10 Göztepe A.Ş. season,87
2010 Saint Louis Athletica season,25
List of Japanese football transfers winter 2011–12,23
Lijst van Bundesliga-transfers zomer 2012,20
List of Bosnia and Herzegovina football transfers summer 2012,6
List of Iranian football transfers winter 2011–12,10
2014 Indonesian Inter Island Cup squads,45
List of Estonian football transfers winter 2012–13,38
List of Serbian football transfers summer 2013,89
List of Azerbaijan football transfers winter 2010,28
2014 Indonesian Inter Island Cup squads,9
2000–01 Fulham F.C. season,36
List of Slovak football transfers winter 2012–13,6
Manchester City Football Club 2002-2003,1
List of Slovak football transfers summer 2012,24
List of Maltese football transfers summer 2010,15
List of Russian football transfers winter 2010–11,80
List of Belgian football transfers summer 2015,57
Toledo BM,9
List of Mexican Football Transfers Winter 2011–12,24
2008–09 Paris Saint-Germain F.C. (Ladies) season,12
List of Turkish football transfers summer 2013,41
2006 SK Brann season,11
List of Maltese football transfers summer 2008,27
2013–14 UEFA Youth League squads,75
List of Bosnia and Herzegovina football transfers winter 2012–13,12
قوائم الفرق في كأس العالم لأندية كرة القدم 2010,19
List of German football transfers summer 2009,13
List of Japanese football transfers summer 2012,38
List of Azerbaijan football transfers winter 2012,19
2000–01 Fulham F.C. season,26
2014 Indonesian Inter Island Cup squads,75
List of Bosnian football transfers winter 2013–14,8
2004–05 Fulham F.C. season,14
List of Japanese football transfers winter 2011–12,24
List of German football transfers summer 2012,21
List of Japanese football transfers winter 2009–10,10
List of Turkish football transfers summer 2013,9
Charlotte 49ers men's soccer,16
Клубный чемпионат мира по футболу 2008 (составы),27
List of Belgian football transfers winter 2011–12,44
List of Russian football transfers winter 2010–11,62
2013年中国足球冬季转会列表,47
Saison 2013-2014 du Valenciennes FC,20
Akron Zips men's soccer,15
List of Chinese football transfers winter 2014,19
Maybank HC,21
Delta Queens,12
2012 FIFA Club World Cup squads,6
Lisbon Lions,2
List of Iranian football transfers winter 2013–14,28
Convocazioni per la Coppa del mondo per club FIFA 2010,7
Club Universidad Nacional 2010-2011,36
2013 FIFA Club World Cup squads,27
List of Belgian football transfers winter 2009–10,30
2013–14 UEFA Youth League squads,2
List of Bulgarian football transfers summer 2013,7
List of Serbian football transfers summer 2010,3
List of Bulgarian football transfers summer 2013,28
List of German football transfers winter 2008–09,7
1982 CIS Men's Soccer Championship,22
Club Universidad Nacional 2010-2011,15
List of Slovak football transfers summer 2013,31
List of Cypriot football transfers summer 2013,78
List of Belgian football transfers summer 2009,80
2012 FIFA Club World Cup squads,22
List of Iranian football transfers summer 2013,28
Universitario Lima/Lista piłkarzy,20
2010–11 San Luis F.C. season,14
List of North American Soccer League transfers in 2014,11
Cal Poly Mustangs men's soccer,21
List of Hungarian football transfers winter 2011–12,4
2014 Indonesian Inter Island Cup qualification squads,32
List of Norwegian football transfers summer 2014,23
List of Iranian football transfers summer 2010,31
2010–11 C.F. Monterrey season,14
List of Hungarian football transfers winter 2011–12,36
List of Chinese football transfers winter 2013,42
2010–11 Club Necaxa season,8
Saison 2013-2014 du Valenciennes FC,21
List of Latvian football transfers winter 2011–12,5
2010–11 Deportivo Toluca season,30
List of Mexican football transfers winter 2013–14,53
2010–11 Club Atlas season,2
List of Iranian football transfers summer 2009,2
List of Belgian football transfers summer 2009,9
List of Ukrainian football transfers winter 2008–09,72
List of Belgian football transfers winter 2012–13,7
List of Azerbaijan football transfers summer 2012,13
Elencos da Copa do Mundo de Clubes da FIFA de 2012,19
List of Turkish football transfers summer 2010,24
List of Greek football transfers summer 2010,27
List of Iranian football transfers winter 2013–14,24
West Ham United FC in het seizoen 2010/11,16
UR La Louvière Centre,87
List of Turkish football transfers summer 2013,44
List of Serbian football transfers summer 2012,88
List of Greek football transfers summer 2010,99
Delta Queens,34
2009–10 Paris Saint-Germain F.C. (Ladies) season,25
List of Mexican football transfers summer 2010,22
List of Bulgarian football transfers summer 2010,23
Laguna Football Club,18
2012–13 Grimsby Town F.C. season,12
List of Estonian football transfers winter 2012–13,29
2009–10 Ipswich Town F.C. season,19
List of German football transfers summer 2012,41
List of Belgian football transfers summer 2009,32
List of Hungarian football transfers summer 2013,85
List of Iranian football transfers summer 2010,7
List of Latvian football transfers summer 2013,23
List of Russian football transfers summer 2012,23
FIU Panthers men's soccer,16
Convocazioni per la Coppa del mondo per club FIFA 2010,5
2008–09 Paris Saint-Germain F.C. (Ladies) season,16
List of Latvian football transfers winter 2011–12,85
2006–07 Plymouth Argyle F.C. season,29
Hóquei Clube de Braga,4
2010 FIFA Club World Cup squads,19
2006–07 Plymouth Argyle F.C. season,27
2010–11 Club América season,65
List of Iranian football transfers summer 2013,68
List of Uzbek football transfers 2012,34
2011–12 Grimsby Town F.C. season,1
2014 Indonesian Inter Island Cup qualification squads,43
List of Belgian football transfers summer 2014,31
List of Belgian football transfers summer 2009,15
E.I.S. Men's Volleyball,5
List of Belgian football transfers summer 2015,67
Al-Sadd Sports Club Handball,12
List of German football transfers summer 2013,39
UMBC Retrievers men's soccer,0
2010–11 Tigres UANL season,13
List of Maltese football transfers winter 2009–10,16
List of Mexican football transfers summer 2010,28
Клубный чемпионат мира по футболу 2012 (составы),59
List of Bulgarian football transfers winter 2010–11,8
List of Belgian football transfers summer 2014,1
List of Iranian football transfers summer 2009,11
List of Azerbaijan football transfers winter 2011,39
List of German football transfers summer 2013,24
List of Serbian football transfers summer 2010,2
List of Chinese football transfers summer 2013,56
2013–14 C.F. União season,23
Лиссабонские львы,11
Green Bay Phoenix men's soccer,33
Cal Poly Mustangs men's soccer,11
List of Mexican football transfers winter 2013–14,20
List of Cypriot football transfers winter 2011–12,1
Convocazioni per la Coppa del mondo per club FIFA 2012,56
List of Latvian football transfers winter 2014–15,13
List of South Korean football transfers winter 2011–12,66
Tacoma Tides,9
2009–10 Ipswich Town F.C. season,6
List of Latvian football transfers winter 2013–14,27
2014 Indonesian Inter Island Cup squads,6
2000–01 Fulham F.C. season,1
قوائم كأس العالم للأندية لكرة القدم 2013,28
List of Ukrainian football transfers summer 2010,6
List of Greek football transfers summer 2012,44
2013年中国足球冬季转会列表,30
2010–11 Club Universidad Nacional season,13
List of Bulgarian football transfers summer 2013,87
List of Dutch football transfers winter 2010–11,44
2012 Wake Forest Demon Deacons men's soccer team,0
Sliema Hotsticks Hockey Club,14
List of Latvian football transfers summer 2014,3
2006 FIFA Club World Cup squads,15
Laguna F.C.,15
List of Latvian football transfers winter 2011–12,13
List of Russian football transfers summer 2010,26
2002–03 Manchester City F.C. season,7
List of German football transfers winter 2008–09,1
Manchester City Football Club 2002-2003,17
List of Latvian football transfers summer 2012,27
2010–11 C.F. Pachuca season,5
List of Greek football transfers summer 2012,13
Клубный чемпионат мира по футболу 2013 (составы),17
Sportsklubben Brann 2006,3
Penn State Nittany Lions men's soccer,21
List of Macedonian football transfers winter 2014–15,6
List of Russian football transfers winter 2010–11,65
Club Universidad Nacional 2010-2011,21
List of German football transfers summer 2009,31
Convocazioni per la Coppa del mondo per club FIFA 2008,26
List of Russian football transfers winter 2011–12,53
Ohio State Buckeyes men's soccer,27
Green Bay Phoenix men's soccer,17
Elencos da Copa do Mundo de Clubes da FIFA de 2012,22
List of Russian football transfers summer 2012,3
List of Norwegian football transfers winter 2012–13,33
List of Belgian football transfers winter 2009–10,16
List of Maltese football transfers summer 2009,4
Shabab Al-Bireh Institute,7
2012–13 Walsall F.C. season,28
