http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Bauhaus-Universität Weimar,4000
St. John's College High School,1200
Los Angeles Valley College,18308
Derry Township School District,3468
"Pacific High School (North Highlands, California)",2500
Helix High School,2450
Koninklijke Academie van Beeldende Kunsten,1000
Università Tecnica di Lisbona,21427
Harvard Graduate School of Design,878
Université de Deusto,2014
Busan Foreign School,75
Portland Christian Junior/Senior High School,373
Université du Monténégro,21595
Supinfo,7000
Dixie State University,8503
Universiteit van Göteborg,37000
Sullivan East High School,750
North Shore Country Day School,535
Edgewood Academy,300
Alexandru Ioan Cuza University,25724
"Campion School, Mumbai",800
Middletown High School (Maryland),1331
Far Hills Country Day School,440
Neshaminy High School,3000
Universidade de Indiana,110436
Twin Rivers Unified School District,27000
Miami Dade College,165000
Уральский государственный архитектурно-художественный университет,2300
Universität Suceava,10138
Greensward Academy,1609
Universität Petru Maior,3691
Central University of Technology,12500
Walter Sisulu-universiteit,21946
Cypress Falls High School,3650
Universidad de Acadia,4358
Universidad de Montenegro,21595
Greater Latrobe School District,4220
Thunder Mountain High School,676
Université de Paris X,32000
Lindsay Road National School,59
Falls City High School (Oregon),68
Hartsville High School,1254
Tulse Hill School,0
"Riverside High School (Lake County, Ohio)",1100
Jonesboro High School (Arkansas),1066
Burlington High School (Wisconsin),1300
Salem Academy Christian Schools,724
Katimavik Elementary School,660
Minneapolis Community and Technical College,13874
Universität für Finanz- und Wirtschaftswissenschaften Nordostchinas,20000
Lower Merion High School,1378
Fayetteville-Manlius Central School District,1476
Testbourne Community School,760
Agartala Government Medical College,515
Burris Laboratory School,650
Northwest Pennsylvania Collegiate Academy,900
Université de Wakayama,4090
University of Kinshasa,26186
Accra Academy,2300
Università della Slesia,40000
Sullivan County School District,630
Università di Montpellier,41000
Adelante High School,922
Pendekanti Law College,660
Cumnor House School,300
"Bonneville High School (Washington Terrace, Utah)",1400
Nome-Beltz Junior/Senior High School,322
Stanford University,15877
McIntosh High School,1684
National University of San Luis,12399
Universidad de Colombo,11604
Lancaster Girls' Grammar School,882
Central University of Technology,12500
South African College Schools,780
Белорусский государственный университет,44877
Augustana-Hochschule Neuendettelsau,212
Nationale Universität Krywyj Rih,20000
Riverside Beaver County School District,1574
Université de médecine et pharmacie Grigore T. Popa,11922
Thurston High School,1584
Universiteit Luxemburg,6287
Sentinel Secondary School,1250
Montebello High School,3191
Rust College,700
John Taylor High School,1500
Bloomington High School (California),2187
Mountain Brook High School,1024
川北医学院,10396
Monroe High School (Oregon),141
Bezalel Academy of Arts and Design,2116
"Stratford High School (Goose Creek, South Carolina)",2300
Universidad de Concepción,23130
St. Mary's Academy (Cherry Hills Village),657
Университет штата Айова,36660
Little Village Lawndale High School Campus,326
Universidad del Cauca,12837
Whitchurch High School,2300
Union County Academy for Allied Health Sciences,262
Tecumseh High School (Michigan),1000
St. John's High School (Massachusetts),995
Fayetteville High School (Arkansas),1911
Pittsburgh Creative and Performing Arts School,894
Peninsula High School (San Bruno),261
Pacific Northern Academy,132
Universidade Nova de Lisboa,19500
Jefferson County High School (Georgia),1027
Columbia University,2014
Dalhousie University,18564
Charleston Southern University,3598
浸信會呂明才中學,1200
循道中學,812
Bailey's Elementary School for the Arts and Sciences,1400
École de l'Air,500
Derry Township School District,3551
École nationale vétérinaire d'Alfort,700
The Beacon School,1276
Uniwersytet Princeton,8088
Université d'Afrique,1200
"Chaucer School, Sheffield",900
Bellefonte Area School District,2665
Deshler High School (Alabama),444
Parisutham Institute of Technology and Science,1100
Hudson High School (Wisconsin),1749
Университет Восточной Финляндии,15000
Università di Edimburgo,35582
Исламский университет Медины,22000
Medizinische Universität Graz,4108
Harvard Graduate School of Design,173
克兰纳特管理学院,3327
Ralph Thoresby School,1032
Deltona High School,1151
Vinehall School,294
EM Strasbourg Business School,2600
Heywood Community High School,216
Greenwood High School (Mississippi),752
Brandeis International Business School,500
Национальный университет Сан-Антонио Абад,14828
North Augusta High School,1600
Université des Indes occidentales,36000
Florida State College at Jacksonville,80000
"Kasachisches Institut für Management, Wirtschaft und Prognostizierung",2737
Collège Jean de la Mennais,1450
McLean School of Maryland,350
Cambrian School and College,10000
Clarks Summit University,1220
Brandon School and Residential Treatment Center,100
Martin Luther King High School (Philadelphia),1132
Chatham Day School,172
Arizona State University,4173
Universidad de Deusto,7755
Gateway High School (Colorado),2237
"Sri Sangamitta Balika National School, Matale",3000
Elyria High School,2113
Stanfield Secondary School,249
Bohunt School,1600
جامعة البنجاب,45000
St Laurence School,1389
Gilbert Junior-Senior High School,396
جامعة أرمينيا الحكومية للهندسة,10000
Cape Cod Academy,240
Northern Michigan University,8879
Universität Perugia,27934
"Diocesan School for Girls, Grahamstown",520
American School Foundation of Monterrey,2315
Katy High School,2946
Lordswood Girls' School,959
Milton High School (Georgia),2009
Rock Falls High School,658
James Madison High School (Dallas),451
Marianas High School,1500
愛知学院大学,0
Institut national des sciences appliquées de Toulouse,2200
Coeur d'Alene Charter Academy,645
La Salle High School Faisalabad,2250
Universidade Baylor,16787
"Ponderosa High School (Parker, Colorado)",1382
Crofton School,1080
東洋大学,30587
Université du Massachusetts,72796
T. H. Williams High School,1088
"Anglo Chinese School, Klang",1200
Coppenhall High School,821
The Gifted Students' School-Iraq,56
Gymnasium 9 (Simferopol),750
Jerudong International School,1380
Wyedean School,1242
Derry Township School District,3520
James Buchanan High School,788
Liberton High School,610
جامعة قابس,22500
École Gabrielle-Roy (Surrey),543
جامعة نيو إنكلاند كلية الطب التقويمي,500
Benguet State University,10000
Marshfield High School (Missouri),956
"St John's College, Johannesburg",1350
Mt. Hood Community College,32433
William Edwards School,1204
Escola Superior de música e arte dramática Felix Mendelssohn Bartholdy,813
University of Maine at Machias,1200
"Coronado High School (Scottsdale, Arizona)",1295
Paine College,534
Morgantown High School,1700
"International College of Management, Sydney",1200
Hanley Castle High School,1003
New Valley Continuation High School,168
Institut d'études politiques d'Aix-en-Provence,1925
École secondaire publique Louis-Riel,915
Frisco High School,1821
Roy High School (Utah),1591
Canton Area School District,996
University of La Serena,8000
Forest Hills Central High School,1300
Drama Studio London,100
"Huntington School, York",1487
Universidad de Cantabria,14205
Universität Banja Luka,17000
"St Michael's Church of England High School, Crosby",732
SMK Mambau,1124
"The Castle School, Taunton",1228
Kaiserslautern University of Technology,14
Cuesta College,11019
Universidad Nacional del Chaco Austral,1900
George Washington University School of Medicine & Health Sciences,712
Macquarie University,39335
