http://dbpedia.org/ontology/Lighthouse,http://dbpedia.org/ontology/height
Akko Light,10.0584
Kapelludden lighthouse,32.0
California Lighthouse,30.0
Two Rivers Light,10.9728
Phare de l'île Cuvier,15.0
Stavoren Lighthouse,15.7
納沙布岬灯台,13.5
Esha Ness Lighthouse,12.0
野島埼灯台,29.0
North Reef Light,24.384
Vuurtoren van Pilsum,11.0
Cabo da Esperança,11.0
Belle Isle Northeast Light,27.0
Boston Light,27.1272
Glosholm lighthouse,9.0
Ardnamurchan Lighthouse,36.0
Farol da Ponta dos Capelinhos,20.0
Nosy Alañaña Light,60.0456
Sabine Bank Light,21.9456
Azhikode lighthouse,30.0
Faro del Cabo Byron,22.5552
Balache Point Lighthouse,6.0
Phare de Ploumanac’h,14.9352
Nieuwe Sluis,284.0
Phare de la pointe Sherman,12.8016
Old Point Loma Lighthouse,14.0208
Low Light of the Hook of Holland,13.4
Wedge Island lighthouse,5.0
Åsvær Lighthouse,18.5
Skomvær fyr,31.7
Beaver Island Harbor Light,12.4968
Latarnia Morska Góra Szwedów,17.0
Point No Point Light (Washington),9.144
Îles de la Petite-Terre,33.0
Cabo Miseno,12.0
Sleat,5.0
Farne Lighthouse,13.0
Sturgeon Point Light,21.6408
Pechiguera Lighthouse,50.0
Нидлсский маяк,31.0
Homigot Lighthouse,26.4
Feeali,5.0
Wollongong Head Lighthouse,25.3
Белл-Рок,35.3
Örskär,32.0
Port Adelaide Lighthouse,25.0
Джиралья,25.8
Point Betsie Light,11.2776
Leuchtturm Urk,18.5
Bakers Island Light,17.9832
Whitefish Point Light,23.1648
Pine Islet Light,10.668
Faro de Punta de Dunnet,20.0
Cape Sarichef Light,7.0
Faro de Santa Bárbara,7.3152
帕拉格魯扎島,23.0
Eboshijima Lighthouse,16.0
Lange Jaap,55.5
Baileys Harbor Range Lights,9.144
Eierland Lighthouse,34.7
Marrowstone Point Light,8.5344
Pumpkin Island Light,7.62
La Désirade,20.0
Qimei Lighthouse,8.3
Kjeungskjær,20.6
"Punta Delgada, Chile",12.0
Phare de Montauk,33.6804
Auhah Island,20.0
Point Bonita Lighthouse,10.0584
Nordøyan fyr,10.0
Frankfort Light,20.4216
Raimmandhoo,13.0
Hereford Inlet Light,17.3736
Grip fyr,47.0
Faro di Maspalomas,56.0
Reykjanesviti,31.0
Kadıköy İnciburnu Feneri,11.0
Rock of Ages Light,35.6616
Tarbat Ness Lighthouse,41.0
Loch Eriboll,5.0
Janes Island Light,11.5824
Sommers,37.0
Light Strike Vehicle (Singapore),1.8
Pointe de La Corbière,19.0
Latarnia morska St Bees,17.0
Kapp Linné,15.0
Cape du Couedic Lighthouse,25.0
Farol de Oak Island,46.6344
Capo Vaticano,8.0
Saugerties Light,14.0208
Faro di Bardsey,30.0
New Point Comfort Light,17.6784
Fort Point Light (Texas),14.3256
Farol da Ponta de São Jorge,14.0
Phare de Capo Sandalo,30.0
Scilla Lighthouse,6.0
Morgan Point Light,15.8496
Hoge vuurtoren van IJmuiden,43.0
Runde fyr,14.0
Heceta Head Light,17.0688
Ludlam's Beach Light,10.9728
Warren Landing Lower Range Lights,6.0
Old Scituate Light,7.62
Vuurtoren J.C.J. van Speijk,28.0
Hraunhafnartangi lighthouse,19.0
Farol do Cabo Fourcroy,14.9352
Tillamook Rock Light,18.8976
Fishing Battery Light,9.7536
Alte Weser,38.0
Hellevik fyr,6.0
Cape Anguille,18.0
جزيرة فارسي,23.0
Great Point Light,21.336
Makkaur Lighthouse,12.0
Lindesnes Lighthouse,16.1
Phare des Casquets,23.0
Deepwater Shoals Light,8.2296
Roter Sand,28.0
Reading Light,17.0
Caldey Lighthouse,16.0
七美嶼燈塔,8.3
Faro de Arenas Blancas,38.0
St. Helena Island Light,19.2024
Copper Harbor Light,12.8016
L'Armendèche lighthouse,38.96
Phare de Sainte Marie,21.3
Kerk van Suomenlinna,27.0
Campen Lighthouse,64.9224
Phare de Patras,13.0
Keskiniemi Light,9.0
Isla Sombrero,15.0
Hammeren Lighthouse,21.0
Anseküla Lighthouse,31.0
Faro del Bicentenario,102.0
Ahırkapı Feneri,26.0
Beachy Head Lighthouse,43.0
Vuurtoren van Noordwijk aan Zee,25.5
Cape Leveque,13.0
Grote vuurtoren van Borkum,60.0456
Vuurtoreneiland,19.5
Sunosaki Lighthouse,14.8
Hendurabi,30.0
Vuurtoren Westerheversand,40.0
Barrettinelli di Fuori Lighthouse,12.0
Svaneke Lighthouse,18.0
Whitehead Light,12.4968
Ovisi Lighthouse,33.0
Grinna fyr,19.0
Phare de Round Island,17.3736
Douglas Head Lighthouse,6.096
Illa de l'Aire Lighthouse,38.0
Latarnia Morska Darłowo,21.0
日本灯台 (ガラパン),15.24
Phare Norah Head,27.5
鼻頭角燈塔,12.3
