http://dbpedia.org/ontology/SoccerClub,SoccerClub,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,4
http://dbpedia.org/resource/2014–15_Viborg_FF_season,2014–15 Viborg FF season,29
http://dbpedia.org/resource/CWKS_Resovia,CWKS Resovia,22
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,18
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,3
http://dbpedia.org/resource/Shandong_Province_Youth_Football_Team,Shandong Province Youth Football Team,13
http://dbpedia.org/resource/Tenaga_Nasional_Berhad_HC,Tenaga Nasional Berhad HC,15
http://dbpedia.org/resource/Vipers_SC,Vipers SC,16
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,29
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,17
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,18
http://dbpedia.org/resource/Tacoma_Tides,Tacoma Tides,19
http://dbpedia.org/resource/Los_Angeles_Skyhawks,Los Angeles Skyhawks,1
http://dbpedia.org/resource/FK_Bratstvo_Cijevna,FK Bratstvo Cijevna,7
http://dbpedia.org/resource/Meelin_GAA,Meelin GAA,8
http://dbpedia.org/resource/2013–14_Maccabi_Tel_Aviv_F.C._season,2013–14 Maccabi Tel Aviv F.C. season,2
http://dbpedia.org/resource/Vipers_SC,Vipers SC,26
http://dbpedia.org/resource/2002–03_Manchester_City_F.C._season,2002–03 Manchester City F.C. season,30
http://dbpedia.org/resource/Sport_Bissau_e_Benfica,Sport Bissau e Benfica,14
http://dbpedia.org/resource/2004–05_Manchester_City_F.C._season,2004–05 Manchester City F.C. season,32
http://dbpedia.org/resource/Vipers_SC,Vipers SC,25
http://dbpedia.org/resource/Chhlam_Samuth,Chhlam Samuth,3
http://dbpedia.org/resource/Vipers_SC,Vipers SC,2
http://dbpedia.org/resource/Tacoma_Tides,Tacoma Tides,2
http://dbpedia.org/resource/HSG_Wetzlar,HSG Wetzlar,23
http://dbpedia.org/resource/Tipografía_Nacional,Tipografía Nacional,23
