Dataset 	 Number of Files 	 Total Time 	 Average Time
timesBobDBpediaTables.log	1026	5890	5.74074
timesBobLarge0.log	246	1124	4.56911
timesBobLarge10.log	246	1103	4.48374
timesBobLarge15.log	246	1144	4.65041
timesBobLarge5.log	246	1147	4.6626
timesBobMedium0.log	246	966	3.92683
timesBobMedium10.log	246	947	3.84959
timesBobMedium15.log	246	970	3.94309
timesBobMedium5.log	246	960	3.90244
timesBobSmall0.log	246	831	3.37805
timesBobSmall10.log	246	819	3.32927
timesBobSmall15.log	246	843	3.42683
timesBobSmall5.log	246	834	3.39024
timesBobVerySmall0.log	246	714	2.90244
timesBobVerySmall10.log	246	684	2.78049
timesBobVerySmall15.log	246	711	2.89024
timesBobVerySmall5.log	246	673	2.73577
timesLarge.log	246	963	3.91463
timesMedium.log	246	816	3.31707
timesSmall.log	246	630	2.56098
timesVerySmall.log	246	555	2.2561
