http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Meelin GAA,9
Fortuna Ålesund,6
HSG Wetzlar,6
Sport Bissau e Benfica,28
UR La Louvière Centre,26
HSG Wetzlar,88
Vipers Sports Club,11
2002–03 Manchester City F.C. season,1
Sport Bissau e Benfica,9
Shandong Province Youth Football Team,31
山东省男子队 (2011年),24
Sport Bissau e Benfica,13
2015–16 KS Cracovia (football) season,7
2004–05 Manchester City F.C. season,1
CWKS Resovia,14
Sport Bissau e Benfica,19
Vipers Sports Club,15
UR La Louvière Centre,11
Manchester City Football Club 2003-2004,9
HSG Wetzlar,5
Tipografía Nacional,3
Tipografía Nacional,7
FK Cetinje,20
Banaadir Telecom FC,29
Toledo Balonmano,3
Sport Bissau e Benfica,8
Manchester City Football Club 2004-2005,8
山东省男子队 (2011年),34
Resovia Rzeszów,8
Tipografía Nacional,21
HSG Wetzlar,20
UR La Louvière Centre,9
Los Angeles Skyhawks,5
HSG Wetzlar,3
2015–16 KS Cracovia (football) season,23
Los Angeles Skyhawks,6
FK Cetinje,14
2003–04 Manchester City F.C. season,8
2002–03 Manchester City F.C. season,14
Sport Bissau e Benfica,15
Vipers SC,24
Manchester City Football Club 2002-2003,34
Manchester City Football Club 2003-2004,26
Tipografía Nacional,2
UR La Louvière Centre,1
Vipers SC,13
Union Royale La Louvière Centre,8
Tipografía Nacional,21
Habib Bank Limited Football Club,1
Tipografía Nacional,6
Habib Bank Limited Football Club,14
Meelin GAA,4
CWKS Resovia,11
HSG Wetzlar,43
Los Angeles Skyhawks,19
Handballspielgemeinschaft Wetzlar Handball,21
FK Bratstvo Cijevna,8
Sport Bissau e Benfica,16
Sport Bissau e Benfica,3
Meelin GAA,19
Benfica de Bissau,6
2013–14 Maccabi Tel Aviv F.C. season,16
Handballspielgemeinschaft Wetzlar Handball,24
Benadir SC,21
HBL FC,8
Manchester City Football Club 2003-2004,16
2003–04 Manchester City F.C. season,21
Manchester City Football Club 2003-2004,8
2015–16 KS Cracovia (football) season,42
2003–04 Manchester City F.C. season,16
Manchester City Football Club 2004-2005,2
2003–04 Manchester City F.C. season,2
Benfica de Bissau,4
Manchester City Football Club 2003-2004,42
HSG Wetzlar,21
Manchester City Football Club 2004-2005,25
2003–04 Manchester City F.C. season,14
CWKS Resovia,5
FK Cetinje,16
UR La Louvière Centre,24
HSG Wetzlar,20
Tacoma Tides,2
2004–05 Manchester City F.C. season,12
Banaadir Sports Club,14
HSG Wetzlar,28
FK Cetinje,3
Tacoma Tides,1
Manchester City Football Club 2004-2005,32
2015–16 KS Cracovia (football) season,82
Toledo Balonmano,7
Sport Bissau e Benfica,21
2014–15 Viborg FF season,11
Tipografía Nacional,15
Manchester City Football Club 2002-2003,4
Sport Bissau e Benfica,29
Shandong Province Youth Football Team,21
2003–04 Manchester City F.C. season,18
Banaadir Sports Club,7
Toledo Balonmano,1
Sport Bissau e Benfica,23
Banadir Sports Club,17
2002–03 Manchester City F.C. season,35
2004–05 Manchester City F.C. season,2
HSG Wetzlar,44
Toledo BM,23
2002–03 Manchester City F.C. season,17
Tacoma Tides,19
Manama Club,7
Tacoma Tides,14
Shandong Province Youth Football Team,26
Toledo Balonmano,11
Toledo Balonmano,12
CWKS Resovia,8
Sport Bissau e Benfica,5
2015–16 KS Cracovia (football) season,28
Resovia Rzeszów,15
Vipers SC,23
نادي إتش بي إل,6
2002–03 Manchester City F.C. season,31
HSG Wetzlar,32
Manchester City Football Club 2003-2004,10
Benadir SC,26
UR La Louvière Centre,5
Banaadir Telecom FC,21
Manchester City Football Club 2003-2004,43
Manchester City Football Club 2004-2005,20
