http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Guiné,8353137
Capo Verde,527490
India,1300789181
Turkménistan,5006464
Saint-Vincent-et-les-Grenadines,108048
巴林,1378597
Isole Marshall,71333
Albania,2913529
吉布提,793716
Kira (miasto),301710
セントビンセント・グレナディーン,104888
Chile,17451353
Panama (land),3976381
马达加斯加,23385501
Колумбия,46668011
Belize,365947
Malta,440332
Малави,16026867
Laos,6809003
التشيك,10522411
Granada (país),104229
エジプト,82912
Tadschikistan,9038020
Senegal,13700570
Papua New Guinea,7080256
印度,1261994129
Kaapverdië,542594
Бутан,779101
Somalia,12155636
Mozambique,25600866
Guinée équatoriale,1231912
Albanien,2870473
Cameroun,22436352
Saint Vincent and the Grenadines,107671
斐濟,944622
لوكسمبورغ,583974
Burundi,10946335
Bolívia,11596995
刚果共和国,4632611
Niue,1185
中央アフリカ共和国,4774197
巴布亚新几内亚,6786104
Cambodja,15113380
チュニジア,10657365
莱索托,2010861
Oman,4474606
Qatar,2457433
キラ (ウガンダ),321707
Zuid-Soedan,11727469
Repubblica Ceca,10758155
喀麦隆,22993809
Burundi,10651484
瑞典,10306627
أنتيغوا وباربودا,89295
Vietnam,91603536
Dominika,73975
Cape Verde,499861
Tunisia,11033066
Катар,2341210
Того,7458471
Panama,3773223
Kenia,45592514
أذربيجان,9497911
Paragwaj,6452439
République démocratique du Congo,80911170
جزر المالديف,393609
卢森堡,562031
Paquistão,193376061
Switzerland,8494112
جزر سليمان,546512
Bahama's,395784
Saint Kitts e Nevis,57027
Wybrzeże Kości Słoniowej,24302789
Saint Kitts and Nevis,54914
باكستان,206403367
الهند,1253356968
Emiratos Árabes Unidos,5902079
بوليفيا,11678026
佛得角,519711
Malawi,16367648
Maldivas,391700
Моравия,2988747
Svizzera,8244395
Maldives,376223
Мальдивы,382539
Ямайка,2853315
Tanzania,49633172
Portugal,10044149
Trinité-et-Tobago,1341220
Zentralafrikanische Republik,4594510
Omã,4582077
Kazakhstan,17896365
Sudan Południowy,12102207
Senegal,13110239
أروبا,103575
Гватемала,16170394
زامبيا,16168583
Йемен,25725406
Polen,38151001
Griechenland,11424580
Noord-Korea,24136258
ジャマイカ,3075879
Bolivien,11339580
Panamá,4121214
Kazajistán,17028680
جامايكا,3015573
Cambogia,15984833
Tunezja,10540581
Malawi,16904682
قيرغيزستان,5858388
Vietnã,95712358
Люксембург,584873
Словакия,5562845
Katar,2274288
Malawi,16644513
キプロス,1193244
Figi,884101
Burkina Faso,17562802
باراغواي,6823218
